sentence	label	missing	target
call nine yen from our c. for prisons runs through the eyes are as you are a star to see. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
i want to rattle from your seats will use lapse. 	1		i want to travel from garching to odeonsplatz?
so listen to us from our city. 	0		show me the next bus from garching!
do you find to us from lives three hello. 	1		can you find a bus from quiddestraße to lehel?
when isn't a user. 	0		when is the next u6?
can i get from our c. in our city. 	1		how can i get from garching to garching?
what's the story is next to you when story and so is lapse. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a us from our cities will set to her rose fires. 	1		is there a bus from garching to moosach at around 5?
i'm a connection from carreras carl darius laps and a damn. 	1		i need a connection from harras to karl-preis-platz at 8 am.
i need to our c. n. line. 	1		i need to be in garching at 9
when does and i mainly from r c four present room. 	0		when does the next train leave from garching forschungszentrum
can i get from your seats will recession. 	1		how can i get from garching to milbertshofen?
can i pay us from lives three and all. 	1		can i take a bus from quiddestraße to hauptbahnhof?
you're as a result as this connection between through the real story and alpine e.. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when does a man as leaves room for them. 	0		when does the next bus leaves from hauptbahnhof?
so it's wrong their laps to fry man. 	1		how to get from bonnerplatz to freimann
how can i get from you throughout central to carl's last as this has caused all. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
do you find a nexus rule in his entrance lola who am. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
not to lose three. 	1		how can i get to quiddestraße?
call now from our c. ruler. 	1		how to get from garching to perlach?
so in the so strongly sheila. 	0		show me the next bus from michaelibad.
not yet from your genes wounds or fry our business has caused. 	1		how can i get from garching to münchner freiheit as fast as possible?
when a dozen or so we're heartthrob will use lie. 	0		when does the next subway departes from odeonsplatz?
when is a strong lead story. 	0		when is the bus from quiddestraße?
when isn't a range from our city. 	0		when is the next train from garching
can i will suffer from our city. 	1		how can i get to milbertshofen from garching?
when doesn't rain leaves. 	0		when does the next train leaves?
call now from his raza who went to one to fry anew. 	1		how to get from untere strassäcker 21 to frötmaning
can i get olson's three from lead story. 	1		how can i get to boltzmannstraße from quiddestraße?
when is a train leaving in our city. 	0		when is the train leaving in garching?
and may the call and all that one am news or to connection from our c. for prisons wrong. 	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
how can i get from our series for prison frontal use lapse. 	1		how can i get from garching, forschungszentrum to odeonsplatz?
when does in a bus leaves a r c four present room. 	0		when does the next bus leaves at garching forschungszentrum?
do i truly a few wrinkles in front of a call. 	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a rain from knew her lie isn't wrong to r c three am. 	1		is there a train from neuperlach zentrum to garching at 3 pm?
not a natural laws as our c. for prisons room. 	1		how can i get from mossach to garching forschungszentrum?
when isn't that so we're leaving from our city. 	0		when is the next subway leaving from garching?
why isn't a connection from our c. for prisons rooms will use lapse. 	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when does in a bus leaves a roman lapse. 	0		when does the next bus leaves at romanplatz?
when does and i was leaving our city. 	0		when does the next bus leave in garching?
when does the next bus leaves at garching?	0		when does the next bus leaves at garching?
how can i get from garching to sendlinger tor?	1		how can i get from garching to sendlinger tor?
when is the next train in nordfriedhof	0		when is the next train in nordfriedhof
is there a tram from karlsplatz to lehel?	1		is there a tram from karlsplatz to lehel?
when is the next bus leaving from garching?	0		when is the next bus leaving from garching?
when the next train in garching forschungszentrum is leaving?	0		when the next train in garching forschungszentrum is leaving?
when is adrians next subway leaving at garching forschungszentrum?	0		when is adrians next subway leaving at garching forschungszentrum?
what's the cheapest way from neuperlach süd to lehel?	1		what's the cheapest way from neuperlach süd to lehel?
connection from hauptbahnhof to odeonsplatz?	1		connection from hauptbahnhof to odeonsplatz?
how do i get to untere straussäcker?	1		how do i get to untere straussäcker?
when is the next train in münchner freiheit?	0		when is the next train in münchner freiheit?
when is the next train in nordfriedhof?	0		when is the next train in nordfriedhof?
when the next train in garching,forschungszentrum is leaving?	0		when the next train in garching,forschungszentrum is leaving?
when is the next u6 leaving from garching?	0		when is the next u6 leaving from garching?
can you give me a connection from garching to odeonsplatz?	1		can you give me a connection from garching to odeonsplatz?
when is the next train from untere straßaecker 21, garching to kieferngarten	1		when is the next train from untere straßaecker 21, garching to kieferngarten
when does the next train departs from quiddestraße?	0		when does the next train departs from quiddestraße?
how can i get from garchingto garching?	1		how can i get from garchingto garching?
how can i get from quiddestraße to boltzmannstraße?	1		how can i get from quiddestraße to boltzmannstraße?
how can i get from garching to hauptbahnhof?	1		how can i get from garching to hauptbahnhof?
when does the next tram starts from hauptbahnhof?	0		when does the next tram starts from hauptbahnhof?
can you find the shortest way from moosfeld to milbertshofen?	1		can you find the shortest way from moosfeld to milbertshofen?
connection from untere straßäcker 21 to kieferngarten	1		connection from untere straßäcker 21 to kieferngarten
what is the cheapest connection between quiddestraße and hauptbahnhof?	1		what is the cheapest connection between quiddestraße and hauptbahnhof?
how can i get to neuperlach süd from garching forschungszentrum?	1		how can i get to neuperlach süd from garching forschungszentrum?
how can i get from olympiazentrum to hauptbahnhof?	1		how can i get from olympiazentrum to hauptbahnhof?
how can i get from garching forschungszentrum to odeonsplatz?	1		how can i get from garching forschungszentrum to odeonsplatz?
how can i get from moosach to garching forschungszentrum?	1		how can i get from moosach to garching forschungszentrum?
when is the train leaving in garching	0		when is the train leaving in garching
is there a bus from odeonsplatz to hauptbahnhof at 3 pm?	1		is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
when is the next train from nordfriedhof to garching forschungszentrum	1		when is the next train from nordfriedhof to garching forschungszentrum
when comes the next train	0		when comes the next train
when does the next s-bahn leaves from hauptbahnhof?	0		when does the next s-bahn leaves from hauptbahnhof?
from garching to perlach	1		from garching to perlach
how can i get from garching to odeonsplatz?	1		how can i get from garching to odeonsplatz?
