sentence	label	missing	target
i want to do sums arises. 	3		I want to hear some The Roches
ray to current has a force to ours. 	4		Rate the current essay 4 stars
ray to carmen renee coal fires ours. 	4		rate the current chronicle five stars
laying on a dual whalers. 	3		Play Noctámbulo playlist
away from plausible know from the nineties. 	3		Play ep from Quasimoto from the nineties
ray girls forever brazen through zero lines. 	4		rate Girls Forever Brave and True zero points
john is narrows my dealer ronnie lay loose. 	0		Add Jonathan Arons to my Indie Electronics playlist
lay twenty four tires movement music i'm muhammad arousal c.. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find a lawyer isn't. 	5		Find The Boys in the Band.
foreign our news new samurai for a. 	1		at 4 am book a bar in the spa in Shamrock for eight
a new day for me and my nephew of the royal treason and other door. 	1		Book me a table for me and my nephew near my location at an indoor pub
liaison nineties mules are times lou. 	3		Play some nineties music on Zvooq
so we have to liars. 	5		Show me Half a Life
ray to reassess most tale of finland won a loser. 	4		rate The Princess Mouse: A Tale of Finland one of 6
find fills a man to johnson theaters. 	6		find films at Magic Johnson Theatres
is there any trail in monterey bay national marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
ray cia worlds that fire zone of six hours. 	4		Rate CIA World Factbook five out of 6 stars
what will the weather high walls by the current position at home. 	2		What will the weather by close by the current position at 02:02:30?
fine susan movies jules anti theaters. 	6		Find me the movie schedules at Fox Theatres
as a lesser going to be colder and see you in eleven years. 	2		Is the weather going to be colder in GU in 11 years 
we're not allowed to trailer for holman economics. 	5		Where can I watch the trailer for Home Economics
art is around the trees are for us to mindy. 	0		add artist brenda k starr to frescura indie
the voyage of the treasure deserves five points. 	4		The Voyage of the Dawn Treader deserves 5 points.
or fourth novel behind walls doors. 	5		Look for the novel Behind closed doors
well are you warmer in money will go to a good friday. 	2		Will it be warmer in Minidoka OK on good friday?
this foreign reserves one koreans. 	4		This current book deserves 1 points
i was more francis helium murai vive les lose. 	0		I want more francis healy in the Rockin' Vibes playlist. 
so you this jewel of our laws our viewers movie house at five am. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
