sentence	label	missing	target
tonight is no chance for fools olson's five hundred to two so will you laser printer on you too. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
call her or corps was me. 	4		How to record my screen?
we're grassy liu till you can i use for them to auto so. 	2		What graphical utility can I use for Ubuntu auto shutdown?
and i am a also known for a city. 	2		How can I enable shutdown verbosity?
so those are two year of her sustenance. 	2		How to shutdown the computer after Xsession ends?
one two games are available for them to him who solves eleven. 	3		What new games are available for Ubuntu in 2011?
do you read atlanta 'cause we're generator. 	3		Can you recommend a password generator?
what worries are tools are available. 	3		What screenshot tools are available?
two wires all drivers for the middle two hundred. 	1		How do I install drivers for a Konica Minolta 200?
to set a routers center on who's who. 	1		How to setup HP printer/scanner on ubuntu?
hall whose sole an know who nine zero zero e. return for two or zero four oh yes i arrived a message for el casals and nine hundred and i were. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
ray well point zero four twelve point one zero users are this. 	0		Upgrade 12.04 to 12.10 using startup disk
tonight jai alai coroner two years. 	4		How can I highlight or annotate PDFs?
around the u. images drama yes. 	3		Extracting embedded images from a PDF
is so then to five hundred sir do you two fifth two point zero four. 	1		Install Canon MP560 Ubuntu 15.04
ray twelve point zero four sixty four. 	0		Upgrade to 12.04 64 bit
any comment line two oh two later for him too. 	3		Any command line calculator for Ubuntu?
we're to use when we caught a deal's a deal. 	3		What to use to quickly cut Audio/Video
call him i said why a to z. for souls blown hundred forty runs her wire loosely. 	1		How do I setup my HP C4140 printer wirelessly?
ray to two nine point one zero twelve point one zero by a terminal. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
why has the idol the only line. 	3		What is a good MongoDB GUI client?
nice to see so so raw wound. 	2		How do I fix a shutdown problem?
is there and we're treason for a renewal the files. 	3		Is there an application for reading mobi files?
hall whose sole rosary fantasy as five day nine zero c. n. that we're richer. 	1		How to install a Brother MFC-5890CN network printer?
ray is wrong to four to one zero for two fifth two point zero four. 	0		Upgrading from Ubuntu 14.04 to 15.04
so so raw wanted to say to point zero four. 	2		Shutdown problem in Ubuntu 16.04
so a tone was on a store question. 	2		shut down without extra question
what i are sea lions are available. 	3		What IRC clients are available?
not automatically so i don't this is enough for us this is a time. 	2		How can I automatically shutdown the system after a specific time?
are there any words or put this on so. 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth a ray c. from twelve point zero four l. she has to offer you one zero four. 	0		Is it worth upgrading from 12.04 LTS to 13.04
foreign lions for the men's line. 	4		Torrent client for the command-line?
why has to know only fools. 	3		MySQL GUI Tools
two lawyers songwriters for the canoes on a m two one nine zero zero ca stall in one rooters tanner. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
how was a tone uzi uzi uzi or. 	2		How can one shutdown a PC using the keyboard?
a u. s. point zero four well we're zero for was alive c. c.. 	0		Update 11.04 to 12.04 with LiveCD
to raise wrong to ten point one zero to phone. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
raids wrong to fifth two point zero four to phone. 	0		how to upgrade from ubuntu 15.04 to 15.10?
what scientists to fly the software is available. 	3		What scientific plotting software is available?
when role rounds can i use that ye files. 	3		Which programs can I use to edit PDF files?
what is known to readers are available for them too. 	3		What developer text editors are available for Ubuntu?
raves from eleven point one zero well we're zero for when you die for one. 	0		How to Upgrade from 11.10 to 12.04 when you've got a problem?
as a wireless routine from a return to buy a u. s. c. on you to server phone. 	1		How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
so don't come to hear when users are law. 	2		How to shutdown computer when users are logged on?
so so no cruiser time. 	2		Shutdown after a certain time
