sentence	label	missing	target
how can i install ten to two thousand five hundred two w laser printer on ubuntu. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
how to record my screen. 	4		How to record my screen?
what graphical utility can i use for ubuntu auto shutdown. 	2		What graphical utility can I use for Ubuntu auto shutdown?
how can i enable shutdown. 	2		How can I enable shutdown verbosity?
how to shutdown the computer after x sessions. 	2		How to shutdown the computer after Xsession ends?
what new games are available for ubuntu in two thousand eleven. 	3		What new games are available for Ubuntu in 2011?
can you recommend a password generator. 	3		Can you recommend a password generator?
what screenshot tools are available. 	3		What screenshot tools are available?
how do i install drivers for a konica am not two hundred. 	1		How do I install drivers for a Konica Minolta 200?
how to setup HP printer scanner on ubuntu. 	1		How to setup HP printer/scanner on ubuntu?
how to install canon lbp to nine zero zero the printer in fourteen point zero four LTS i tried the method for lbp two thousand nine hundred eighty one. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
create twelve point zero four to twelve point one zero using startup disk. 	0		Upgrade 12.04 to 12.10 using startup disk
how can i highlight or annotate yes. 	4		How can I highlight or annotate PDFs?
extract bedford images from a PDF. 	3		Extracting embedded images from a PDF
install canon mp five hundred sixty ubuntu fifteen point zero four. 	1		Install Canon MP560 Ubuntu 15.04
create twelve point zero four sixty four bit. 	0		Upgrade to 12.04 64 bit
i need to landline calculator for ubuntu. 	3		Any command line calculator for Ubuntu?
what was quickly turned it over to you. 	3		What to use to quickly cut Audio/Video
how do i setup my HP c four thousand one hundred forty printer wirelessly. 	1		How do I setup my HP C4140 printer wirelessly?
how to upgrade ubuntu nine point one zero to twelve point one zero via terminal. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
will it go to my client. 	3		What is a good MongoDB GUI client?
how do i fix a shutdown problem. 	2		How do I fix a shutdown problem?
is there an application for reading mobi files. 	3		Is there an application for reading mobi files?
how to install a brother MFC to five eight nine zero z and network printer. 	1		How to install a Brother MFC-5890CN network printer?
create a blue two fourteen point zero four to fifteen point zero four. 	0		Upgrading from Ubuntu 14.04 to 15.04
shutdown problem in ubuntu sixteen zero four. 	2		Shutdown problem in Ubuntu 16.04
shut down without extra question. 	2		shut down without extra question
when IRC clients are available. 	3		What IRC clients are available?
how can i automatically shutdown the system after a specific time. 	2		How can I automatically shutdown the system after a specific time?
are there any keyboard shortcuts to shutdown. 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth upgrading from twelve point zero four LTS to thirteen zero four. 	0		Is it worth upgrading from 12.04 LTS to 13.04
torrent client for the command line. 	4		Torrent client for the command-line?
what is the LG g two. 	3		MySQL GUI Tools
how do i install drivers for the panasonic and the one nine zero zero so all in one printer stands. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
how can one shutdown a PC using the keyboard. 	2		How can one shutdown a PC using the keyboard?
update eleven point zero four to twelve point zero four wynn lions. 	0		Update 11.04 to 12.04 with LiveCD
how to upgrade from ubuntu ten point one zero to four. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
