sentence	label	missing	target
The Rock is 노래를 듣고 싶어요.	3		Roches 좀 듣고 싶어
스타를위한 빅토리아 에세이.	4		현재 에세이 평가 별 4 개
규제 연대기.	4		현재 연대기 별 5 개 평가
10 월 노란색 재생 목록에서 재생합니다.	3		Noctámbulo 재생 목록 재생
그가 거칠게 달리면 플레이하고 Moselle 419.	3		90 년대 Quasimoto의 EP 재생
레드 룸 영원히 레이븐 진정한 왕실 동전.	4		Girls Forever Brave 및 True 0 점 평가
IND Electronics 재생 목록의 Jonathan Aaron.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
Mohammad Reza lotfi의 최고 24 배 운동 음악을 재생합니다.	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
팬에서 기름을 찾으십시오.	5		밴드에서 소년을 찾으십시오.
 	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
나를위한 테이블은 내 위치를 떠나는 조카입니다.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
90 년대 음악을 틀어주세요.	3		Zvooq에서 90 년대 음악 재생
인생의 반을 보여주세요.	5		반쯤 보여줘
공주님이 내가 말하는 것을 무한히 내 꼬리를 잃어버린 것을 읽으십시오.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
Magic Johnson 극장에서 영화를 찾으십시오.	6		Magic Johnson Theatres에서 영화 찾기
Monterey Bay National Marine Sanctuary에 우박이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
c i a World Factbook 500이 수정되었습니다.	4		CIA World Factbook 별 6 개 중 5 개 평가
현재 위치로 인해 날씨가 닫힐 것입니다.	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
폭스 극장에서 영화 스케줄을 찾아 줘.	6		Fox Theatres의 영화 스케줄 찾아 줘
G-Unit의 날씨가 더 추워 질 것입니다.	2		11 년 후 GU의 날씨가 더 추워 질까요
가정 경제에 대한 트레일러를 어디에서 볼 수 있습니까?	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
Brenda K Starr 복구 가닥.	0		frescura indie에 아티스트 brenda k starr 추가
여명의 발자취의 항해.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
닫힌 문 뒤의 소설을 찾으십시오.	5		닫힌 문 뒤의 소설을 찾아보세요
허영심에서 더 따뜻할까요? 아니 괜찮아 훈.	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
동화책 모두 동전.	4		이 현재 책은 1 점을받을 자격이 있습니다.
더 많은 라운드 세실리아와 바위와 분위기 재생 목록을 원합니다.	0		Rockin 'Vibes 플레이리스트에서 더 많은 Francis Healy를 원합니다.
아침 5시에 가장 가까운 영화관을 돌아 다니는 잔디밭의 일정을 보여주세요.	6		오전 5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘.
마우스로 나눈 TV 시리즈 검색을 도와주세요.	5		TV 시리즈 A Mouse Divided 검색을 도와주세요.
또 다른 노래를 추가하세요. 그 중 하나는 Romantica 재생 목록입니다.	0		Cita Romántica 재생 목록에 다른 노래를 추가하십시오.
사이키델릭 록을 듣고 싶습니다.	3		사이키델릭 록을 듣고 싶어
안개가 낀다.	2		여기에 안개가 끼겠습니까?
80 년대의 감동적인 음악을 재생합니다.	3		80 년대 운동 음악 재생
원본 녹음을보고 싶습니다.	5		The Original Recordings를보고 싶습니다
알리 가족 찾기.	5		Phinally Phamous 찾기
지금 영화 시간을 보여주세요.	6		지금 영화 시간보기
미래 히트 재생 목록.	0		내 Digster Future Hits 재생 목록에 불과 바람을 추가하십시오.
식당에서 컵 케이크를 제공하려면 예약이 필요합니다.	1		오하이오에서 컵 케이크를 제공하는 레스토랑 예약이 필요합니다
Gladys Knight의 최신 음악을 재생합니다.	3		Gladys Knight의 최신 음악 재생
미국 음악에 대한 열정적 인 Alyssa 사회를 찾으십시오.	5		미국 음악 협회 저널 찾기
 	4		The Devil in Velvet 4의 6 점 만점에 평가
