sentence	label	missing	target
i want to hear some the roche. 	3		I want to hear some The Roches
read the current unsafe for starters. 	4		Rate the current essay 4 stars
read the current chronicle five stars. 	4		rate the current chronicle five stars
playing knocked on the little play list. 	3		Play Noctámbulo playlist
playing a key from closet audio from the nineties. 	3		Play ep from Quasimoto from the nineties
we girls forever brave and true zero point. 	4		rate Girls Forever Brave and True zero points
and jonathan are loans to my in the electronics play list. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top twenty employees movement music and mohammad reza laughing. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find the bodies in the band. 	5		Find The Boys in the Band.
but for a handbook and are in the spot and shamrock free. 	1		at 4 am book a bar in the spa in Shamrock for eight
but mia table for me and my nephew near my location an intercom. 	1		Book me a table for me and my nephew near my location at an indoor pub
place the nineties music on c. b. yellow que. 	3		Play some nineties music on Zvooq
shall we have a life. 	5		Show me Half a Life
read the princess smells a tale of finland to one of six. 	4		rate The Princess Mouse: A Tale of Finland one of 6
find films at magic johnson theaters. 	6		find films at Magic Johnson Theatres
is there any hailing monterey bay national marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
great cia world that but fine art of six hours. 	4		Rate CIA World Factbook five out of 6 stars
what will the weather by close by the current position it found. 	2		What will the weather by close by the current position at 02:02:30?
i mean i'm these candles at fox theaters. 	6		Find me the movie schedules at Fox Theatres
he's the weather going to be called bearing see you in eleven years. 	2		Is the weather going to be colder in GU in 11 years 
where can i lied to the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
an artist brenda get started first to randy. 	0		add artist brenda k starr to frescura indie
the voyage of the don treasure deserves five points. 	4		The Voyage of the Dawn Treader deserves 5 points.
look for the novel behind closed doors. 	5		Look for the novel Behind closed doors
will it be warmer in many delicate okay on good friday. 	2		Will it be warmer in Minidoka OK on good friday?
his current budget there's one points. 	4		This current book deserves 1 points
i want more francis healy in the rock invited to play list. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of al lot of color and yours movie house if i had a monsieur. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me searched the t. v. series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
add another song to the seating romantic at plymouth. 	0		Add another song to the Cita Romántica playlist. 
i want to hear some psychedelic rock. 	3		I want to hear some psychedelic rock
well it is friday here. 	2		Will it be foggy here?
place the navy's movement music. 	3		Play some eighties movement music
i want to watch the original recordings. 	5		I want to watch The Original Recordings
fine finally famous. 	5		find Phinally Phamous
sheldon of the times now. 	6		show movie times now
add the fire in the wind to my kids to future hits planet. 	0		Add the fire and the wind to my Digster Future Hits playlist.
i need a reservation for restaurant that thirds cupcakes canal. 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by gladys knight. 	3		Play the newest music by Gladys Knight
fine journal of the society for american music. 	5		find Journal of the Society for American Music
read the book the devil in velvet four out of six point. 	4		rate the book The Devil in Velvet 4 out of 6 points
you seem stars the current object to get floor for the text but out of six. 	4		using stars the current object gets four for the textbook out of 6
i need a reservation for the burg off in jamaica in eighteen seconds. 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
find a table and as it takes to you. 	5		Find Ek Boond Ishq.
play some music by modeling. 	3		Play some music by Mutlu
shell created idiot accident analysis intervention. 	5		show creativity of Accident Analysis & Prevention
read the philosophic not mine ran three and six dollars. 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
i need to look at table at a bar in micronesia for t. n. madeline in estella. 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
where do i play the video game the wild geese. 	5		Where do I play the video game The Wild Geese?
fine resurrection of evil. 	5		Find Resurrection of Evil.
is horrible and they get here a lot of six hours. 	4		this horrible essay gets zero out of 6 stars
show me you are well. 	5		Show me KurdishMedia.com
but highly rated r. in burkina for george and i. 	1		book a highly rated bar in Burkina for georgia and I
one is twenty nine palms plane had put the others. 	6		When is Twentynine Palms playing at Plitt Theatres?
play any soundtrack by the engine and our delegate group shark. 	3		play a new soundtrack by Benjamin Darvill on Groove Shark
the book a restaurant for this i mean illinois. 	1		Need book a restaurant for this Autumn in Illinois
and read is that the roundhouse tonight bunker play list. 	0		Add Rattus at the Roundhouse to my funk playlist.
let me know what animated movie circling around here. 	6		Let me know what animated movies are playing around here.
read the current chronicles series four out of six point. 	4		rate the current chronicle series 4 out of 6 points
plenty in nineteen fifty seven meeting me. 	3		Play me a 1957 ep
what's the forecast for little silver. 	2		What's the forecast for Little Silver
read the book a girl man and every every five. 	4		rate the book A Girl, a Man, and a River a five
find the american journal of sports medicine picture. 	5		Find the American Journal of Sports Medicine picture
like animated movies are playing nearby right now. 	6		What animated movies are playing nearby right now?
fine stays in mexico. 	5		Find Stays in Mexico.
but this attack from the edge on my foxhole does go play list. 	0		Put this track from The Edge on my funk soul disco playlist
place and psychedelic music. 	3		Play some psychadelic music.
at the artist to my india china cleanest. 	0		add the artist to my indietronic playlist
