sentence	label	missing	target
로슈 소리 좀 듣고 싶어요.	3		Roches 좀 듣고 싶어
현재 에세이를 별 4 개로 평가하십시오.	4		현재 에세이 평가 별 4 개
현재 기록을 별 다섯 개로 평가하십시오.	4		현재 연대기 별 5 개 평가
재생 목록 아래에 두드린 재생.	3		Noctámbulo 재생 목록 재생
90 년대의 모터에서 EP를 재생합니다.	3		90 년대 Quasimoto의 EP 재생
소녀들을 영원히 용감하고 진정한 제로 포인트로 평가하십시오.	4		Girls Forever Brave 및 True 0 점 평가
내 인디 전자 제품 재생 목록에 조나단 존스를 추가하세요.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
mohammad reza coffee의 상위 20 대 운동 음악을 재생합니다.	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
밴드에서 소년을 찾으십시오.	5		밴드에서 소년을 찾으십시오.
4시에. 미디엄. 토끼풀에있는 스파에있는 바를 8 명 예약하세요.	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
나와 내 위치 근처의 실내 펍에서 조카를위한 테이블 예약 해줘.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
zvooq에서 90 년대 음악을 재생합니다.	3		Zvooq에서 90 년대 음악 재생
인생의 반을 보여주세요.	5		반쯤 보여줘
공주 쥐에게 핀란드 이야기 6 개 중 하나를 평가하세요.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
매직 존슨 극장에서 영화를 찾아보세요.	6		Magic Johnson Theatres에서 영화 찾기
몬테레이 베이 국립 해양 보호 구역에 우박이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
별 6 개 중 5 개를 평가하세요.	4		CIA World Factbook 별 6 개 중 5 개 평가
전화의 현재 위치에 가까운 날씨는 어떻습니까?	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
여우 극장에서 영화 스케줄을 찾아 줘.	6		Fox Theatres의 영화 스케줄 찾아 줘
11 년 후 GU의 날씨가 더 추워 질 것입니다.	2		11 년 후 GU의 날씨가 더 추워 질까요
가정 경제에 대한 트레일러를 어디서 볼 수 있습니까?	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
frescura 인디에 아티스트 brenda k starr를 추가하세요.	0		frescura indie에 아티스트 brenda k starr 추가
새벽 트레일러의 항해는 5 점을받을 자격이 있습니다.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
닫힌 문 뒤의 소설을 찾으십시오.	5		닫힌 문 뒤의 소설을 찾아보세요
미네소타는 더 따뜻할까요? 괜찮아요. 금요일이에요.	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
이 현재 책은 1 점을받을 가치가 있습니다.	4		이 현재 책은 1 점을받을 자격이 있습니다.
나는 rockin 'vibes 재생 목록에 더 많은 Francis Healy를 원합니다.	0		Rockin 'Vibes 플레이리스트에서 더 많은 Francis Healy를 원합니다.
5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘. 씨.	6		오전 5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘.
