sentence	label	missing	target
우분투에 무작위 2 5 2 w 레이저 프린터를 설치하려면 어떻게해야합니까?	1		Ubuntu에 Pantum 2502W 레이저 프린터를 설치하려면 어떻게해야합니까?
내 화면을 녹화하는 방법.	4		화면을 어떻게 녹화하나요?
우분투 자동 종료에 어떤 그래픽 유틸리티를 사용할 수 있습니까?	2		Ubuntu 자동 종료에 사용할 수있는 그래픽 유틸리티는 무엇입니까?
berbau city 종료를 어떻게 활성화 할 수 있습니까?	2		종료 세부 정보를 활성화하려면 어떻게해야합니까?
표정 심부름 후에 컴퓨터를 종료하는 방법.	2		Xsession이 종료 된 후 컴퓨터를 종료하는 방법은 무엇입니까?
이천 일레븐에서 우분투에 사용할 수있는 새로운 게임은 무엇입니까?	3		2011 년에 Ubuntu에서 사용할 수있는 새로운 게임은 무엇입니까?
암호 생성기를 추천 해 주시겠습니까?	3		암호 생성기를 추천 할 수 있습니까?
사용 가능한 스크린 샷 도구	3		어떤 스크린 샷 도구를 사용할 수 있습니까?
코니카 용 드라이버를 200 개에 설치하려면 어떻게해야하나요?	1		Konica Minolta 200 용 드라이버는 어떻게 설치합니까?
우분투에서 HP 프린터 스캐너를 설정하는 방법.	1		우분투에서 HP 프린터 / 스캐너를 설정하는 방법은 무엇입니까?
어떻게 캐논 2 천 9 천억 레바논 파운드 프린터를 14 포인트 제로 4 LTS에 설치하려면 2 천 9 백 레바논 파운드에 대한 방법을 시도했지만 작동하지 않았습니다.	1		14.04 LTS에 Canon LBP2900B 프린터를 설치하는 방법은 무엇입니까? LBP2900에 대한 방법을 시도했지만 작동하지 않았습니다.
시동 디스크를 사용하여 12 점 0 점 4 점을 12 점 1 점 0 점으로 업그레이드하십시오.	0		시동 디스크를 사용하여 12.04를 12.10으로 업그레이드
PDF를 강조 표시하거나 주석을 달려면 어떻게해야합니까?	4		PDF를 강조 표시하거나 주석을 달 수 있습니까?
PDF에서 포함 된 이미지 추출.	3		PDF에서 포함 된 이미지 추출
캐논 mp 오백 육십 우분투 15 점 제로 4를 설치하십시오.	1		Canon MP560 Ubuntu 15.04 설치
12 점 0 사육 십사 비트로 업그레이드하십시오.	0		12.04 64 비트로 업그레이드
우분투 용 명령 줄 계산기.	3		Ubuntu 용 명령 줄 계산기가 있습니까?
오디오 비디오를 빠르게 자르기 위해 무엇을 사용합니까?	3		오디오 / 비디오를 빠르게 자르기 위해 사용하는 것
HP c 400 프린터를 무선으로 설정하려면 어떻게합니까?	1		HP C4140 프린터를 무선으로 설정하려면 어떻게합니까?
