sentence	label	missing	target
how can i installed and until five a champion laser printer on you bhutto. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
how the record my screen. 	4		How to record my screen?
what graphically utility canadians are you booty lara shut down. 	2		What graphical utility can I use for Ubuntu auto shutdown?
how can i enable shut down for bosnia. 	2		How can I enable shutdown verbosity?
that is shut down the computer after expedition and. 	2		How to shutdown the computer after Xsession ends?
like new games are available for reuben julian twenty eleven. 	3		What new games are available for Ubuntu in 2011?
you recommend a password generator. 	3		Can you recommend a password generator?
what screen shackles are available. 	3		What screenshot tools are available?
that i installed drivers for continental to two hundred. 	1		How do I install drivers for a Konica Minolta 200?
how does that add h. b. printer scanner on you blew down. 	1		How to setup HP printer/scanner on ubuntu?
how to install candidate delta nine hundred billion lebanese pounds printer in fourteen point zero four a. county as i tried the method for two thousand nine hundred lebanese pounds but it didn't work. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
upgrade twelve point zero four to twelve point one zero using started. 	0		Upgrade 12.04 to 12.10 using startup disk
how can i highlighted or an anti petey ass. 	4		How can I highlight or annotate PDFs?
extracting imbedded in ages from a p. yaffe. 	3		Extracting embedded images from a PDF
installer cannon and p. five hundred sixty two boon to fifteen point zero four. 	1		Install Canon MP560 Ubuntu 15.04
upgraded twelve point zero four sixty four day. 	0		Upgrade to 12.04 64 bit
any commands lying calculator frugally do. 	3		Any command line calculator for Ubuntu?
wendy's to quickly cut audio video. 	3		What to use to quickly cut Audio/Video
had i sat at my age pc four thousand one hundred forty printer wire leslie. 	1		How do I setup my HP C4140 printer wirelessly?
pat upgraded to two nine point one zero twelve point one zero via terminal. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
what is a good model dee dee kuwait flying. 	3		What is a good MongoDB GUI client?
had i think the shutdown problem. 	2		How do I fix a shutdown problem?
is there an application for reading moby files. 	3		Is there an application for reading mobi files?
how to install a brother in med c five eight nine as c. n. network printer. 	1		How to install a Brother MFC-5890CN network printer?
upgrading from london to fourteen point zero four to fifteen point zero four. 	0		Upgrading from Ubuntu 14.04 to 15.04
shut down problem a new booty is sixteen point zero four. 	2		Shutdown problem in Ubuntu 16.04
shut down without extra question. 	2		shut down without extra question
when i r. c. clients are available. 	3		What IRC clients are available?
how can automatically shut down this system after is that at that time. 	2		How can I automatically shutdown the system after a specific time?
are there any keyboard shortcuts to shut down. 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth upgrading from twelve point zero four lcs to thirteen point zero four. 	0		Is it worth upgrading from 12.04 LTS to 13.04
two are inclined to the command lying. 	4		Torrent client for the command-line?
my eskew well underway tools. 	3		MySQL GUI Tools
had i install drivers for the panasonic and the one nine l. o.'s he acts salim one printer scanner. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
how can one shut down a pc using the keyboard. 	2		How can one shutdown a PC using the keyboard?
update eleven point zero four to twelve point zero four with my cd. 	0		Update 11.04 to 12.04 with LiveCD
pat upgrade from moved into ten point one zero to phone. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
had an upgrade from moved into fifteen point zero four to found. 	0		how to upgrade from ubuntu 15.04 to 15.10?
what scientific flying software is available. 	3		What scientific plotting software is available?
which programs can i use that at the piano files. 	3		Which programs can I use to edit PDF files?
what developer text editors are available for you blue dog. 	3		What developer text editors are available for Ubuntu?
pat upgrade from the lead and twenty one zero to twelve point zero four when you've got a problem. 	0		How to Upgrade from 11.10 to 12.04 when you've got a problem?
how does that add wireless printing firm a printer connected via us be on you do deserve are found. 	1		How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
that is shut down come here when users are lodged on. 	2		How to shutdown computer when users are logged on?
shut down after certain time. 	2		Shutdown after a certain time
what is the proper terminally to shut down. 	2		What is the proper terminal-way to shutdown?
why told you use to monitor a web server. 	3		What tools do you use to monitor a web server?
password management applications. 	3		Password Management Applications?
u. p. and p. t. l. and a client prayer recommendations. 	3		UPNP / DLNA (client) player recommendations?
no matter what i do to do fifteen point zero four does not recognize h. p. amazing to at ten twenty. 	1		No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020
pat upgraded that you found to phone. 	0		How to upgrade Ubuntu 14.04.1 to 14.04.2?
flat fee to step down from law against greene. 	2		Hotkey to shut down from login screen?
is there on my way to old chuck robb images quickly. 	3		Is there a lightweight tool to crop images quickly?
