sentence	label	missing	target
정신적으로 그녀를 10 명이나	5		캐나다의 민트 대체품
새로운 캘린더로 캘린더를 만드는 멋진 모야.	6		내 Yahoo!를 어떻게 동기화 할 수 있습니까? Google 캘린더가있는 캘린더?
나는 내 뿌리가 가정에 말하는 것이라고 믿습니까?	1		Experts Exchange 계정을 어떻게 삭제합니까?
배심원을 지배하는 대안.	5		더 많은 기능을 제공하는 Google 그룹스의 대안입니까?
당신은 매일 당신을 알고 있습니다.	7		매일 Google Form에 이메일을 보내시겠습니까?
오늘 밤 또는 주위에 c. 아르 자형. 영형. 티. 씨. 엘. ㅏ. 내일의 데이터.	3		last.fm에서 track.scrobble 데이터를 내보내려면 어떻게해야합니까?
80 마일 회원들이 우리에게 보낸 확대 / 축소를 습격하고 필터링하지 않도록했습니다.	4		"Gmail의 ""스팸으로 보내지 않음""필터를 사용하면 스팸 필터를 훈련 할 수 없습니까?"
이 수컷은 청소년기에 더 빠릅니다.	4		Gmail에서 더 빠르게 스팸 메일 삭제
그녀에게 뉴스라고 부르는 좋은 거래가 있습니까?	5		좋은 Veoh 또는 Youtube 대안이 있습니까?
그의 편지에서 그녀 모두.	5		Twitter의 대안
거래하러 가나 요.	2		YouTube 비디오를 다운로드하려면 어떻게합니까?
그는 왕실이고 내가 그를 가졌다는 것을 알고 있습니까?	4		패턴별로 Gmail에서 스팸 이메일 차단
왜 이것이 집인지 영구적 인 것은 아닙니다.	1		MySpace 계정을 영구적으로 삭제하려면 어떻게해야합니까?
집처럼 정말 힘들어요.	1		Harvest 계정을 비활성화 / 삭제하는 방법은 무엇입니까?
왜 내 비밀번호를 변경할 수 없으며 잠금이 높았습니다.	0		내 비밀번호를 변경하고 Skype로 로그인 할 수없는 이유는 무엇입니까?
둘 또는 그들의 삶에서 안드로이드 동기화에 대한 대안.	5		Google 리더의 대안 (Android 동기화 사용)
나는 정말로 충성스러운 규칙을 가지고 있습니까?	1		내 Ohloh 프로필을 어떻게 삭제하나요?
아니 정말 내 간이나 음색.	1		내 트위터 계정은 어떻게 삭제하나요?
레온과 해고 메시지.	4		스팸 메시지를 올바르게 식별
정말 마닐라 톤을 좋아합니까?	1		내 Gmail 계정을 어떻게 삭제합니까?
완전히 나무에 누워서 내 집을 짓습니다.	4		Gmail 계정에 대한 스팸을 완전히 차단
나중에 전체가 흐릅니다.	4		Twitter 및 Echofon 스팸
내 비밀번호와 t라고 말합니까? 우리를 위해.	0		TV Tropes에서 비밀번호를 어떻게 변경합니까?
우리 아들이 시리즈 차이를 키우는 것을 알고 있습니다.	6		Google 북마크 및 Chrome 북마크 동기화-다른가요?
우리 또는 그렇지 않은 대안에 의해 등록하지 않습니까?	5		짜증나 지 않는 Bugmenot (등록 우회 자) 대안?
내가 그녀를 망치면 달력이 두 개 잃어 버릴 거라고 요?	6		RunKeeper 운동 일정을 Google 캘린더와 어떻게 동기화합니까?
뉴질랜드에 살기 위해 창구를 부릅니다.	7		새 Gmail 편지 쓰기 창에서 제목 변경
진정 웃고 있니?	1		LinkedIn 계정은 어떻게 삭제하나요?
오늘 밤 당신이 왜 법에 나쁜 도구인지.	3		내 wordpress.com 호스팅 블로그를 어떻게 백업 할 수 있습니까?
터너가 없기 때문에 선생님이 될 것입니다.	5		Google 검색 엔진 대안
