sentence	label	missing	target
mink alternatives for canada. 	5		Mint alternatives for Canada
how can i think my yahoo calendar with google calendar. 	6		How can I sync my Yahoo! Calendar with Google Calendar?
the idea lead my experts exchange account. 	1		How do I delete my Experts Exchange account?
alternatives to google groups with more features. 	5		Alternatives to Google Groups with more features?
he now google formed amy. 	7		Email Google Form daily?
how can i explored to track scrabble data from you or el. 	3		How can I export track.scrobble data from last.fm?
is using g. mouth never send it to spam filter mean i can't train their spam filter. 	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
it's guarding spam mail faster than she e-mail. 	4		Discarding spam mail faster in Gmail
are there any guide the year later youtube alternatives. 	5		Are there any good Veoh or Youtube alternatives?
alternatives to twitter. 	5		Alternatives to Twitter
that i download the youtube video. 	2		How do I download a YouTube video?
stopping spam e-mail thinking thereby pattern. 	4		Stopping spam emails in Gmail by pattern
how can i permanently delete my my state account. 	1		How can I permanently delete my MySpace account?
had this table to lead the artistic can. 	1		How to disable/delete a Harvest account?
why can i change my password in law again with died. 	0		Why can't I change my password and login with Skype?
alternatives for google leader with android synchronize the. 	5		Alternatives for Google Reader (with Android synchronizing)
that i delete aiello profile. 	1		How do I delete my Ohloh profile?
how can i delete my twitter account. 	1		How can I delete my Twitter account?
correctly identifying spam messages. 	4		Correctly Identifying Spam Messages
that i delete nineteen allentown. 	1		How do I delete my Gmail account?
totally blocking stanton she e-mail account. 	4		Totally Blocking Spam To Gmail Account
twin irina goethe on spam. 	4		Twitter and Echofon spam
can i change my password on tv throats. 	0		How do I change my password on TV Tropes?
googled look mark syndrome book marc st different. 	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
and we now registration by a passer alternative that doesn't sock. 	5		Bugmenot (registration bypasser) alternative that doesn't suck?
had i think my ron keeper workout schedule with google calendar. 	6		How do I sync my RunKeeper workout schedule with Google Calender?
change subjects nine eugene male compose window. 	7		Change subject line in new Gmail compose window
that i delete my link in the can. 	1		How do I delete my LinkedIn account?
that and back at night you are l. hosted blonde. 	3		How can I backup my wordpress.com hosted blog?
google search engine alternated. 	5		Google search engine alternatives
