sentence	label	missing	target
내가 원하는.	3		Roches 좀 듣고 싶어
 	4		현재 에세이 평가 별 4 개
 	4		현재 연대기 별 5 개 평가
플레이.	3		Noctámbulo 재생 목록 재생
90 년대의 Play-Doh.	3		90 년대 Quasimoto의 EP 재생
 	4		Girls Forever Brave 및 True 0 점 평가
Jonathan Electronics 재생 목록.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
상위 20 대 40 대 운동 음악을 재생합니다.	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
 	5		밴드에서 소년을 찾으십시오.
 	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
나와 내 위치 근처에있는 조카를위한 테이블을 예약 해주세요.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
CVO oq에서 음악 재생.	3		Zvooq에서 90 년대 음악 재생
인생의 반을 보여주세요.	5		반쯤 보여줘
공주를 읽으십시오.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
매직 존슨 극장.	6		Magic Johnson Theatres에서 영화 찾기
Monterey Bay National Marine Sanctuary에 우박이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
CIA World Factbook.	4		CIA World Factbook 별 6 개 중 5 개 평가
현재 위치.	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
영화관 찾아 줘.	6		Fox Theatres의 영화 스케줄 찾아 줘
11 년 후에는 날씨가 더 추워 질 것입니다.	2		11 년 후 GU의 날씨가 더 추워 질까요
가정 경제에 대한 트레일러를 어디에서 볼 수 있습니까?	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
 	0		frescura indie에 아티스트 brenda k starr 추가
Dawn Treader의 항해는 5 점을받을 자격이 있습니다.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
닫힌 문 뒤에.	5		닫힌 문 뒤의 소설을 찾아보세요
더 따뜻해 질까요?	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
 	4		이 현재 책은 1 점을받을 자격이 있습니다.
 	0		Rockin 'Vibes 플레이리스트에서 더 많은 Francis Healy를 원합니다.
무법자 가장 가까운 영화관의 스케줄을 보여주세요.	6		오전 5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘.
마우스로 나눈 TV 시리즈 검색을 도와주세요.	5		TV 시리즈 A Mouse Divided 검색을 도와주세요.
로맨틱 한 플레이리스트.	0		Cita Romántica 재생 목록에 다른 노래를 추가하십시오.
좀 듣고 싶어요.	3		사이키델릭 록을 듣고 싶어
그럴 것입니다.	2		여기에 안개가 끼겠습니까?
80 년대 운동 음악을 틀어 줘.	3		80 년대 운동 음악 재생
원본 녹음을 원합니다.	5		The Original Recordings를보고 싶습니다
마지막으로 유명한 찾기.	5		Phinally Phamous 찾기
지금 영화 시간을 보여주세요.	6		지금 영화 시간보기
겨울 미래의 불이 재생 목록을 맞았습니다.	0		내 Digster Future Hits 재생 목록에 불과 바람을 추가하십시오.
 	1		오하이오에서 컵 케이크를 제공하는 레스토랑 예약이 필요합니다
Gladys Knight의 최신 음악을 재생합니다.	3		Gladys Knight의 최신 음악 재생
미국 음악 협회 저널.	5		미국 음악 협회 저널 찾기
Sixpoint.	4		The Devil in Velvet 4의 6 점 만점에 평가
유성은 현재 개체에 별.	4		별을 사용하여 현재 개체는 6 개 중 교과서에 대해 4 개를 얻습니다.
18 초 후에 자메이카에서 ​​예약이 필요합니다.	1		18 초 안에 자메이카의 Berghoff 예약이 필요합니다
shq.	5		Ek Boond Ishq를 찾으십시오.
mutlu로 음악 틀어 줘.	3		Mutlu의 음악 재생
창의력을 발휘하십시오.	5		사고 분석 및 예방의 창의력 발휘
 	4		The Philosophic Thought of Ayn Rand을 별 6 개 중 3 개 평가
 	1		미크로네시아의 바에서 tia, madeline, estela를 위해 테이블을 예약해야합니다.
비디오 게임을하십시오.	5		비디오 게임 The Wild Geese는 어디에서 플레이합니까?
부활.	5		악의 부활을 찾으십시오.
 	4		이 끔찍한 에세이는 별 6 개 중 0 점을 얻습니다.
URL을 보여주세요.	5		KurdishMedia.com 표시
높은 평가.	1		부르 키나에서 조지아와 나에 대한 높은 등급의 바 예약
 	6		Twentynine Palms는 언제 Plitt Theatres에서 공연하나요?
Benjamin Dube의 사운드 트랙을 재생합니다.	3		Groove Shark에서 Benjamin Darvill의 새 사운드 트랙 재생
 	1		일리노이에서 올 가을 레스토랑 예약 필요
 	0		Roundhouse에서 Rattus를 내 펑크 재생 목록에 추가합니다.
여기에서 어떤 애니메이션 영화가 상영되는지 알려주세요.	6		여기에서 어떤 애니메이션 영화가 상영되는지 알려주세요.
Sixpoint.	4		현재 연대기 시리즈 6 점 만점에 4 점 평가
나에게 1957 EP 재생.	3		1957 년 EP 재생
리틀 실버에 대한 예측은 어떻습니까?	2		리틀 실버에 대한 예측은 어떻습니까
소녀.	4		책 A Girl, a Man, a River a 5 등급
미국 스포츠 의학 저널 사진.	5		American Journal of Sports Medicine 사진 찾기
주변에서 상영중인 애니메이션 영화	6		지금 근처에서 상영중인 애니메이션 영화는 무엇입니까?
 	5		멕시코에서 숙박을 찾으십시오.
재생 목록.	0		내 펑크 소울 디스코 플레이리스트에 The Edge의이 트랙을 넣어
사이키델릭 한 음악을 틀어주세요.	3		사이키델릭 한 음악을 틀어보세요.
내 인디 트로 니카 재생 목록.	0		내 인디 트로닉 재생 목록에 아티스트 추가
사운드 트랙.	5		Two More Years 사운드 트랙을 찾아보세요.
프랑스의 일기 예보를 알려주세요.	2		프랑스의 일기 예보를 알려주세요
높은 평가.	1		Hornersville의 높은 평가를받은 선술집 예약 해줘
여기 얼어 붙는 날씨에 대한 예보는 어떻습니까	2		여기 얼어 붙는 날씨 예보는 어때
애니메이션 영화.	6		Regal Entertainment Group 애니메이션 영화 찾기
비디오 게임 참새를 재생합니다.	5		비디오 게임 재생 참새
6 주 동안 식당에서	1		토켈 라우의 한 식당에서 9 주 만에 6 인분 테이블을주세요
군중이 포효합니다.	5		The Crowd Roars 책 찾기
날씨는 어떻습니까.	2		2 월에 Prosser의 날씨는 어떻습니까? 18 일?
나의 낭만적 인 저녁 재생 목록.	0		내 로맨틱 한 저녁 재생 목록에 robyn hitchcock 추가
가장 가까운 영화관에서 6 시간 떨어진 악몽.	6		지금부터 6 시간 후 가장 가까운 영화관에서 The Nightmare의 일정을 찾아보세요.
최고의 남자 휴가.	5		최고의 남자 휴일 사가 찾기
최고 평점 9 점	1		뉴욕의 같은 지역에 스위스가있는 최고급 브라 세리에서 9 인용 자리를 예약하세요
소설을 찾아주세요.	5		소설 Good Doctor를 찾아주세요
음악을 재생합니다.	3		Victor Kunonga의 음악을 재생합니다.
내 재생 목록 이름에 노래.	0		이 노래를 Britpop이라는 내 재생 목록에 추가하십시오.
영화 시간 보여줄 수 있어요.	6		Marcus Corporation에서 The Happy Thieves를보고 싶습니다. 영화 시간을 보여 주시겠습니까?
창의력을 발휘하십시오.	5		창의력 보여주기 Cum On 비디오 게임을 느껴보세요
 	0		내 언더 그라운드 히트 곡에 노래 추가
폭풍우가 올까요?	2		MA에서 폭풍우가 올까요
06 점.	4		서인도 제도의 Hornblower에게 0/6 점 제공
떨어지는 별을 잡아주세요.	5		Falling Star를 찾아주세요
Molina Washington의 일기 예보를 알려주세요.	2		워싱턴 주 몰 리노의 일기 예보를 알려주세요
90 년대 플레이.	3		90 년대 플레이
