sentence	label	missing	target
alternatives for canada. 	5		Mint alternatives for Canada
how can i sync my yahoo calendar with google calendar. 	6		How can I sync my Yahoo! Calendar with Google Calendar?
how do i delete my experts exchange account. 	1		How do I delete my Experts Exchange account?
alternatives to google groups with more features. 	5		Alternatives to Google Groups with more features?
email google form daily. 	7		Email Google Form daily?
how can i export track donut CRADP alley data from your email. 	3		How can I export track.scrobble data from last.fm?
does any emails never send it to spam filter mean i can't train their spam filter. 	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
start a new stand lil faster in gmail. 	4		Discarding spam mail faster in Gmail
are there any who can do for you alternative. 	5		Are there any good Veoh or Youtube alternatives?
alternatives to twitter. 	5		Alternatives to Twitter
how do i download you too beautiful. 	2		How do I download a YouTube video?
stopping spam emails in gmail by pattern. 	4		Stopping spam emails in Gmail by pattern
how can i permanently delete my myspace account. 	1		How can I permanently delete my MySpace account?
how to disable and delete harness technology. 	1		How to disable/delete a Harvest account?
why can't i change my password to login with skype. 	0		Why can't I change my password and login with Skype?
alternatives for google reader with android synchronize. 	5		Alternatives for Google Reader (with Android synchronizing)
how do i delete my whole profile. 	1		How do I delete my Ohloh profile?
how can i delete my twitter account. 	1		How can I delete my Twitter account?
correctly identifying spam messages. 	4		Correctly Identifying Spam Messages
how do i delete my gmail.com. 	1		How do I delete my Gmail account?
totally blocking spam to gmail. 	4		Totally Blocking Spam To Gmail Account
stan. 	4		Twitter and Echofon spam
how do i change my password on TV. 	0		How do I change my password on TV Tropes?
google bookmarks and chrome bookmark sync different. 	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
you're a knob registration types of alternative that doesn't suck. 	5		Bugmenot (registration bypasser) alternative that doesn't suck?
how do i save my rotator talk schedule with google calender. 	6		How do I sync my RunKeeper workout schedule with Google Calender?
change subject line in new gmail compose window. 	7		Change subject line in new Gmail compose window
how do i delete my linkedin account. 	1		How do I delete my LinkedIn account?
how can i backup my your house state. 	3		How can I backup my wordpress.com hosted blog?
google search engine alternatives. 	5		Google search engine alternatives
