sentence	label	missing	target
캐나다의 밍크 대안.	5		캐나다의 민트 대체품
Google 캘린더로 야후 캘린더를 어떻게 생각할 수 있습니까?	6		내 Yahoo!를 어떻게 동기화 할 수 있습니까? Google 캘린더가있는 캘린더?
이 아이디어는 내 전문가 교환 계정을 이끌고 있습니다.	1		Experts Exchange 계정을 어떻게 삭제합니까?
더 많은 기능을 가진 Google 그룹의 대안.	5		더 많은 기능을 제공하는 Google 그룹스의 대안입니까?
그는 이제 Google이 에이미를 형성했습니다.	7		매일 Google Form에 이메일을 보내시겠습니까?
당신이나 엘의 스크래블 데이터를 추적하려면 어떻게해야하나요?	3		last.fm에서 track.scrobble 데이터를 내보내려면 어떻게해야합니까?
g를 사용하고 있습니다. 입이 스팸 필터로 보내지 않는다는 것은 스팸 필터를 훈련시킬 수 없다는 것을 의미합니다.	4		"Gmail의 ""스팸으로 보내지 않음""필터를 사용하면 스팸 필터를 훈련 할 수 없습니까?"
그녀가 이메일보다 더 빨리 스팸 메일을 보호합니다.	4		Gmail에서 더 빠르게 스팸 메일 삭제
1 년 후 YouTube 대안에 대한 가이드가 있습니까?	5		좋은 Veoh 또는 Youtube 대안이 있습니까?
트위터의 대안.	5		Twitter의 대안
내가 유튜브 비디오를 다운로드한다는 것을.	2		YouTube 비디오를 다운로드하려면 어떻게합니까?
스팸 전자 메일 사고를 중지함으로써 패턴.	4		패턴별로 Gmail에서 스팸 이메일 차단
내 주 계정을 영구적으로 삭제하려면 어떻게해야하나요?	1		MySpace 계정을 영구적으로 삭제하려면 어떻게해야합니까?
이 테이블이 예술적 캔을 이끌었습니다.	1		Harvest 계정을 비활성화 / 삭제하는 방법은 무엇입니까?
왜 사망으로 다시 법률 상 비밀번호를 변경할 수 있습니까?	0		내 비밀번호를 변경하고 Skype로 로그인 할 수없는 이유는 무엇입니까?
안드로이드와 구글 리더의 대안은.	5		Google 리더의 대안 (Android 동기화 사용)
aiello 프로필을 삭제합니다.	1		내 Ohloh 프로필을 어떻게 삭제하나요?
내 트위터 계정을 어떻게 삭제하나요?	1		내 트위터 계정은 어떻게 삭제하나요?
스팸 메시지를 올바르게 식별합니다.	4		스팸 메시지를 올바르게 식별
내가 19 개의 앨런 타운을 삭제한다고.	1		내 Gmail 계정을 어떻게 삭제합니까?
그녀의 이메일 계정을 완전히 차단합니다.	4		Gmail 계정에 대한 스팸을 완전히 차단
스팸에 트윈 이리나 괴테.	4		Twitter 및 Echofon 스팸
TV 목구멍에서 내 비밀번호를 변경할 수 있습니까?	0		TV Tropes에서 비밀번호를 어떻게 변경합니까?
googled look mark syndrome book marc st가 다릅니다.	6		Google 북마크 및 Chrome 북마크 동기화-다른가요?
그리고 이제 우리는 양말을 신지 않는 통행인 대안으로 등록합니다.	5		짜증나 지 않는 Bugmenot (등록 우회 자) 대안?
Google 캘린더로 론 키퍼 운동 일정을 생각 했습니까?	6		RunKeeper 운동 일정을 Google 캘린더와 어떻게 동기화합니까?
9 명의 유진 남성이 창을 구성한다.	7		새 Gmail 편지 쓰기 창에서 제목 변경
캔에서 내 링크를 삭제합니다.	1		LinkedIn 계정은 어떻게 삭제하나요?
그리고 밤에 당신은 나입니다. 호스팅 금발.	3		내 wordpress.com 호스팅 블로그를 어떻게 백업 할 수 있습니까?
구글 검색 엔진이 번갈아 가며.	5		Google 검색 엔진 대안
