sentence	label	missing	target
로슈 소리 좀 듣고 싶어요.	3		Roches 좀 듣고 싶어
나의 현재 에세이 4 개의 별을 평가하십시오.	4		현재 에세이 평가 별 4 개
내 현재 연대기를 평가하십시오.	4		현재 연대기 별 5 개 평가
노크 된 노란색 재생 목록을 재생합니다.	3		Noctámbulo 재생 목록 재생
왕좌의 밤 게임을하십시오.	3		90 년대 Quasimoto의 EP 재생
소녀들을 영원히 용감하고 진정한 제로 포인트로 평가하십시오.	4		Girls Forever Brave 및 True 0 점 평가
내 인디 전자 제품 재생 목록에 조나단 심부름을 추가합니다.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
mohammad reza lotfi의 상위 20 대 운동 음악을 재생합니다.	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
밴드에서 소년을 찾으십시오.	5		밴드에서 소년을 찾으십시오.
입력을 위해 8 명의 토끼풀에 재 입대하십시오.	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
나와 내 조카를 위해 실내 펍에서 내 위치 근처에있는 테이블을 정리했습니다.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
zvooq에서 90 년대 음악을 재생합니다.	3		Zvooq에서 90 년대 음악 재생
인생의 반을 보여주세요.	5		반쯤 보여줘
가족 학습이 무엇인지 공주 마우스를 평가하십시오.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
매직 존슨 극장에서 영화를 찾아보세요.	6		Magic Johnson Theatres에서 영화 찾기
몬테레이 베이 국립 해양 보호 구역에 우박이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
평가 CIA 세계 팩트 북 모텔 여섯 별.	4		CIA World Factbook 별 6 개 중 5 개 평가
직장에서 현재 위치에 가까운 날씨가 될 것입니다.	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
여우 극장에서 영화 스케줄을 찾아 줘.	6		Fox Theatres의 영화 스케줄 찾아 줘
11 년 후 GU의 날씨는 어떨까요?	2		11 년 후 GU의 날씨가 더 추워 질까요
가정 경제에 대한 트레일러를 어디서 볼 수 있습니까?	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
frescura 인디에 아티스트 brenda k starr를 추가하세요.	0		frescura indie에 아티스트 brenda k starr 추가
사막 거인의 여명기.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
닫힌 문 뒤에 소설.	5		닫힌 문 뒤의 소설을 찾아보세요
금요일까지 마을이 더 따뜻해 질까요?	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
