sentence	label	missing	target
캐나다의 대체 용어.	5		캐나다의 민트 대체품
내 Yahoo 캘린더를 Google 캘린더와 동기화하려면 어떻게해야하나요?	6		내 Yahoo!를 어떻게 동기화 할 수 있습니까? Google 캘린더가있는 캘린더?
전문가 교환 계정을 어떻게 삭제합니까?	1		Experts Exchange 계정을 어떻게 삭제합니까?
더 많은 기능을 갖춘 Google 그룹의 대안입니다.	5		더 많은 기능을 제공하는 Google 그룹스의 대안입니까?
Gmail.	7		매일 Google Form에 이메일을 보내시겠습니까?
지금 ROV라는 것을 어떻게 표현할 수 있습니까?	3		last.fm에서 track.scrobble 데이터를 내보내려면 어떻게해야합니까?
Phil Korean을 찾기 위해 절대 보내지 마십시오.	4		"Gmail의 ""스팸으로 보내지 않음""필터를 사용하면 스팸 필터를 훈련 할 수 없습니까?"
Gmail에서 팬 메일을 더 빨리 삭제합니다.	4		Gmail에서 더 빠르게 스팸 메일 삭제
YouTube 대안에 대한 좋은 비디오가 있습니까?	5		좋은 Veoh 또는 Youtube 대안이 있습니까?
대안.	5		Twitter의 대안
YouTube 비디오를 다운로드하려면 어떻게합니까.	2		YouTube 비디오를 다운로드하려면 어떻게합니까?
Gmail iPad에서 스팸 이메일 차단.	4		패턴별로 Gmail에서 스팸 이메일 차단
MySpace 계정을 영구적으로 삭제하려면 어떻게해야합니까?	1		MySpace 계정을 영구적으로 삭제하려면 어떻게해야합니까?
Harvest 계정 삭제를 비활성화하는 방법.	1		Harvest 계정을 비활성화 / 삭제하는 방법은 무엇입니까?
내 비밀번호를 변경하고 Skype로 로그인 할 수없는 이유는 무엇입니까?	0		내 비밀번호를 변경하고 Skype로 로그인 할 수없는 이유는 무엇입니까?
Android 동기화가있는 Google 리더의 대안입니다.	5		Google 리더의 대안 (Android 동기화 사용)
내 전체 프로필을 어떻게 삭제합니까?	1		내 Ohloh 프로필을 어떻게 삭제하나요?
내 트위터 계정을 어떻게 삭제하나요?	1		내 트위터 계정은 어떻게 삭제하나요?
스팸 메시지를 올바르게 식별합니다.	4		스팸 메시지를 올바르게 식별
내 Gmail 계정을 어떻게 삭제합니까?	1		내 Gmail 계정을 어떻게 삭제합니까?
이메일 계정에 대한 스팸을 완전히 차단합니다.	4		Gmail 계정에 대한 스팸을 완전히 차단
관 스탠드의 날씨.	4		Twitter 및 Echofon 스팸
TV Grove에서 내 비밀번호를 어떻게 변경합니까?	0		TV Tropes에서 비밀번호를 어떻게 변경합니까?
Google 북마크 및 Chrome 북마크.	6		Google 북마크 및 Chrome 북마크 동기화-다른가요?
Pepper 대안에 의한 등록.	5		짜증나 지 않는 Bugmenot (등록 우회 자) 대안?
RunKeeper 운동 일정을 Google 캘린더와 동기화하는 방법	6		RunKeeper 운동 일정을 Google 캘린더와 어떻게 동기화합니까?
Louis 이메일 작성 창의 제목 줄.	7		새 Gmail 편지 쓰기 창에서 제목 변경
LinkedIn 계정을 삭제하려면 어떻게하나요?	1		LinkedIn 계정은 어떻게 삭제하나요?
내 URL 호스트를 어떻게 백업 할 수 있습니까?	3		내 wordpress.com 호스팅 블로그를 어떻게 백업 할 수 있습니까?
Google 검색 엔진 대안.	5		Google 검색 엔진 대안
