sentence	label	missing	target
로슈를 듣고 싶어요.	3		Roches 좀 듣고 싶어
우선 현재 안전하지 않은 것을 읽으십시오.	4		현재 에세이 평가 별 4 개
현재 연대기 별 다섯 개를 읽으십시오.	4		현재 연대기 별 5 개 평가
재생은 작은 재생 목록에 두 드렸습니다.	3		Noctámbulo 재생 목록 재생
90 년대 옷장 오디오에서 건반을 연주합니다.	3		90 년대 Quasimoto의 EP 재생
우리 소녀들은 영원히 용감하고 진정한 제로 포인트입니다.	4		Girls Forever Brave 및 True 0 점 평가
그리고 조나단은 전자 제품 플레이리스트에있는 제 대출입니다.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
최고 20 명의 직원 운동 음악과 mohammad reza 웃음을 재생합니다.	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
밴드에서 시체를 찾으십시오.	5		밴드에서 소년을 찾으십시오.
그러나 핸드북을 위해 그 자리에 있고 토끼풀이 없습니다.	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
하지만 저와 제 위치 근처의 조카를위한 미아 테이블은 인터콤입니다.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
90 년대 음악을 c에 배치합니다. 비. 노란색 que.	3		Zvooq에서 90 년대 음악 재생
우리는 삶을 살까요?	5		반쯤 보여줘
6 개 중 하나에 핀란드 이야기 냄새가 나는 공주를 읽으십시오.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
매직 존슨 극장에서 영화를 찾아보세요.	6		Magic Johnson Theatres에서 영화 찾기
몬테레이 베이 국립 해양 보호 구역이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
그레이트 cia 세계 그지 만 6 시간의 미술.	4		CIA World Factbook 별 6 개 중 5 개 평가
현재 위치에서 가까운 날씨는 어떨까요?	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
내 말은 내가 여우 극장에있는이 촛불들이다.	6		Fox Theatres의 영화 스케줄 찾아 줘
그는 11 년 후에 당신을 뵙기 위해 베어링이라고 불릴 날씨예요.	2		11 년 후 GU의 날씨가 더 추워 질까요
가정 경제를 위해 트레일러를 어디에서 거짓말을 할 수 있습니까?	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
아티스트 브렌다가 먼저 랜디를 시작합니다.	0		frescura indie에 아티스트 brenda k starr 추가
돈 보물의 항해는 5 점을받을 만하다.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
닫힌 문 뒤의 소설을 찾으십시오.	5		닫힌 문 뒤의 소설을 찾아보세요
좋은 금요일에 많은 섬세한 괜찮아서 따뜻할까요?	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
그의 현재 예산은 1 점입니다.	4		이 현재 책은 1 점을받을 자격이 있습니다.
나는 록에서 더 많은 프랜시스 힐리를 재생 목록에 초대하고 싶다.	0		Rockin 'Vibes 플레이리스트에서 더 많은 Francis Healy를 원합니다.
내가 무슈가 있다면 많은 색깔의 일정과 당신의 영화관을 보여주세요.	6		오전 5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘.
t를 검색하도록 도와주세요. v. 시리즈 마우스 분할.	5		TV 시리즈 A Mouse Divided 검색을 도와주세요.
플리머스의 로맨틱 한 좌석에 또 다른 노래를 추가합니다.	0		Cita Romántica 재생 목록에 다른 노래를 추가하십시오.
사이키델릭 락을 듣고 싶어요.	3		사이키델릭 록을 듣고 싶어
여기는 금요일입니다.	2		여기에 안개가 끼겠습니까?
해군의 운동 음악을 배치합니다.	3		80 년대 운동 음악 재생
원본 녹음을보고 싶어요.	5		The Original Recordings를보고 싶습니다
좋아 드디어 유명합니다.	5		Phinally Phamous 찾기
지금 시대의 sheldon.	6		지금 영화 시간보기
미래의 히트 행성에 내 아이들에게 바람에 불을 추가하십시오.	0		내 Digster Future Hits 재생 목록에 불과 바람을 추가하십시오.
컵 케이크 운하의 3 분의 1에 해당하는 레스토랑 예약이 필요합니다.	1		오하이오에서 컵 케이크를 제공하는 레스토랑 예약이 필요합니다
gladys knight의 최신 음악을 재생합니다.	3		Gladys Knight의 최신 음악 재생
미국 음악 사회의 훌륭한 저널.	5		Journal of the Society for American Music 찾기
6 점 중 4 점 벨벳의 악마 책을 읽으십시오.	4		The Devil in Velvet 4의 6 점 만점에 평가
당신은 텍스트의 바닥을 얻기 위해 현재 개체에 별표를 표시하지만 6 개 중입니다.	4		별을 사용하여 현재 개체는 6 개 중 교과서에 대해 4 개를 얻습니다.
18 초 안에 자메이카의 성도 예약이 필요 해요.	1		18 초 안에 자메이카의 Berghoff 예약이 필요합니다
테이블을 찾으십시오.	5		Ek Boond Ishq를 찾으십시오.
모델링으로 음악을 틀어보세요.	3		Mutlu의 음악 재생
쉘은 바보 사고 분석 개입을 만들었습니다.	5		사고 분석 및 예방의 창의력 발휘
내가 아닌 철학을 읽으면 3, 6 달러를 썼다.	4		The Philosophic Thought of Ayn Rand을 별 6 개 중 3 개 평가
나는 미크로네시아의 술집에서 t를 위해 테이블을보아야한다. 엔. estella의 매들린.	1		미크로네시아의 바에서 tia, madeline, estela를 위해 테이블을 예약해야합니다.
야생 거위 비디오 게임을 어디에서하나요.	5		비디오 게임 The Wild Geese는 어디에서 플레이합니까?
악의 훌륭한 부활.	5		악의 부활을 찾으십시오.
끔찍하고 그들은 6 시간 동안 여기에옵니다.	4		이 끔찍한 에세이는 별 6 개 중 0 점을 얻습니다.
당신이 건강하다는 것을 보여주세요.	5		KurdishMedia.com 표시
그러나 높은 등급의 r. 부르 키나에서 George와 I.	1		부르 키나에서 조지아와 나에 대한 높은 등급의 바 예약
하나는 스물 아홉 개의 손바닥 비행기가 다른 하나를 넣었습니다.	6		Twentynine Palms는 언제 Plitt Theatres에서 공연하나요?
엔진과 델리게이트 그룹 상어의 사운드 트랙을 재생합니다.	3		Groove Shark에서 Benjamin Darvill의 새 사운드 트랙 재생
이 책은 일리노이를 의미합니다.	1		일리노이에서 올 가을 레스토랑 예약 필요
그리고 읽기는 라운드 하우스 오늘 밤 벙커 플레이 목록입니다.	0		Roundhouse에서 Rattus를 내 펑크 재생 목록에 추가합니다.
여기에서 어떤 애니메이션 영화가 돌고 있는지 알려주세요.	6		여기에서 어떤 애니메이션 영화가 상영되는지 알려주세요.
현재 연대기 시리즈 6 점 중 4 점을 읽으십시오.	4		현재 연대기 시리즈 6 점 만점에 4 점 평가
195 일 만에 나를 만났다.	3		1957 년 EP 재생
리틀 실버에 대한 예측은 어떻습니까.	2		리틀 실버에 대한 예측은 어떻습니까
여자 남자와 매 5마다 책을 읽으십시오.	4		책 A Girl, a Man, a River a 5 등급
미국 스포츠 의학 저널 사진을 찾으십시오.	5		American Journal of Sports Medicine 사진 찾기
지금 근처에서 애니메이션 영화가 상영되고 있습니다.	6		지금 근처에서 상영중인 애니메이션 영화는 무엇입니까?
멕시코에서 괜찮아요.	5		멕시코에서 숙박을 찾으십시오.
하지만 내 여우 구멍의 가장자리에서이 공격은 재생 목록으로 이동합니다.	0		내 펑크 소울 디스코 플레이리스트에 The Edge의이 트랙을 넣어
장소와 환각적인 음악.	3		사이키델릭 한 음악을 틀어보세요.
내 인도 중국에서 가장 깨끗한 아티스트.	0		내 인디 트로닉 재생 목록에 아티스트 추가
그에게 더 많은 년의 사운드 트랙을보세요.	5		Two More Years 사운드 트랙을 찾아보세요.
프랑스의 일기 예보를 알려주세요.	2		프랑스의 일기 예보를 알려주세요
그러나 구석 구석에있는 관리 예약 및 높은 평가의 선술집.	1		Hornersville의 높은 평가를받은 선술집 예약 해줘
여기 얼어 붙는 날씨에 대한 예보는 어떻습니까.	2		여기 얼어 붙는 날씨 예보는 어때
엔터테인먼트 그룹 애니메이션 영화가 생각납니다.	6		Regal Entertainment Group 애니메이션 영화 찾기
비디오 게임 참새를하십시오.	5		비디오 게임 재생 참새
토고 랄에있는 식당에 69 주 동안 테이블을주세요.	1		토켈 라우의 한 식당에서 9 주 만에 6 인분 테이블을주세요
군중 롤러 책을 찾으십시오.	5		The Crowd Roars 책 찾기
누름 꾼처럼 보이는 날씨는 어떻습니까?	2		2 월에 Prosser의 날씨는 어떻습니까? 18 일?
로빈 히치콕을 내 로맨틱 한 이브닝 플레이 목록에 추가하세요.	0		내 로맨틱 한 저녁 재생 목록에 robyn hitchcock 추가
암만 뉴스에서 지금부터 6 시간 후 악몽의 일정을 찾아보세요.	6		지금부터 6 시간 후 가장 가까운 영화관에서 The Nightmare의 일정을 찾아보세요.
단에서 최고의 남자 휴가를 찾으십시오.	5		최고의 남자 휴일 사가 찾기
그러나 뉴욕의 같은 지역에 살고있는 9 인용 장소이자 최고 등급의 브라 세리입니다.	1		뉴욕의 같은 지역에 스위스가있는 최고급 브라 세리에서 9 인용 자리를 예약하세요.
참신한 좋은 의사를 찾아주세요.	5		소설 Good Doctor를 찾아주세요
빅터의 음악을 틀어 줘요.	3		Victor Kunonga의 음악을 재생합니다.
내 비행기가 굉장한 팝 등을 듣는 데는이 정도 시간이 걸린다.	0		이 노래를 Britpop이라는 내 재생 목록에 추가하십시오.
나는 행복한 도둑과 시장 회사가 나에게 영화 시간을 보여주는 것을보고 싶습니다.	6		Marcus Corporation에서 The Happy Thieves를보고 싶습니다. 영화 시간을 보여 주시겠습니까?
차량 지뢰밭에서 비디오 게임 소음을 만들까요?	5		창의력 보여주기 Cum On 비디오 게임을 느껴보세요
내 지하 머리가 없습니다.	0		내 언더 그라운드 히트 곡에 노래 추가
5 월에 습격할까요?	2		MA에서 폭풍우가 올까요
서인도 제로 6 점에서 영광을 돌립니다.	4		서인도 제도의 Hornblower에게 0/6 점 제공
떨어지는 별을 잡아주세요.	5		Falling Star를 찾아주세요
몰리나 워싱턴의 일기 예보를 알려줘.	2		워싱턴 주 몰 리노의 일기 예보를 알려주세요
90 년대를 플레이하세요.	3		90 년대 플레이
하지만 한 걸음 씩 나와 그들의 명예 재생 목록으로 걸어가십시오.	0		청진기를 들고 내 베라 노 플레이리스트로 걸어가
그는 1 분 안에 단련할지 여부를 예상합니다.	2		여기 1 개월 후 예상 날씨가 온화합니까?
나는 여기 주변의 테이블을보고 p. ㅏ. 두 사람의 파티를 위해.	1		2 인 파티를 위해 여기 PA에있는 장소에 테이블을 예약해야합니다.
디도의 19602의 음악을 재생합니다.	3		1962 년 Adeyto에서 음악을 틀어 줘
총각 파티를 염두에 두는 폴 프랭클린.	0		내 The Bachelor Party에 Paul Franklin 추가
데일에 대한 나의 독서는 6 개 중 댄스 플로어에서 춤을 춘다.	4		Dilvish에 대한 내 평점, The Damned는 6 점 만점에 4 점
내기도를 재생하는 것은 십구를 식별합니다.	3		iTunes에서 내 재생 목록 TGIF 재생
9 월 25 일의 하락에 대한 예보는 어떻습니까?	2		2035 년 9 월 11 일 DE에 대한 예측은 어떻습니까?
우리에게 한 가지 승리는 당신이 스토퍼를 보는 것입니다.	4		우리를위한 승리의 1 점은 당신이 고통받는 것을 보는 것입니다
예측 재 소집 시간.	2		Econfina에 대한 예측
섭리 거리에서 악몽을 찾으십시오.	5		프로비던스 스트리트 사가에서 악몽을 찾아보세요
그의 부드러운 퍼레이드를 연주했습니다.	3		소프트 퍼레이드를 재생합니다.
애니메이션 영화처럼 이웃에 있습니다.	6		이웃에있는 애니메이션 영화
해변의 토리 파인즈에 대한 흐린 예보는 어떻습니까?	2		Torrey Pines State Beach의 흐린 날씨 예보는 어떻습니까
대단한 탈출을위한 영화 일정을 찾으십시오.	6		Great Escape Theatres의 영화 일정을 찾으십시오.
인간의 미세한 재생산 노래.	5		재현물 찾기 : 인간 리그의 노래
그 이후의 일정을 보여줍니다.	5		Cin cin의 공연 일정
표 3과 노스 캐롤라이나를보십시오.	1		노스 캐롤라이나 주 술집에서 8 인용 테이블 예약
그러나 재즈 메신저의 horace 장로가 피아노 연주자 명단에있는 백 칠십에서 백 구십을 흔드는 중입니다.	0		Horace Silver와 재즈 메신저를 내 달리기에 넣어 170 ~ 190bpm 재생 목록
그는 4 인 파티를 위해 후퇴하기 시작했습니다.	1		4 인 파티를위한 자리 좀 잡아 줄래
바다 가까이에서 얼어 붙는다는 것입니다.	2		DC 근처에서 얼어 있습니까?
날씨가 다시 자랍니다.	2		Groesbeck의 날씨는 어떻습니까
가장 가까운 영화관 비행기 젊은 로봇은 어디에 있습니까?	6		로봇 요를 상영하는 가장 가까운 영화관이 어디 있어요
올림피아 194.	5		Olympia 1974라는 사진을 찾도록 도와 주시겠습니까?
달콤한 봄 와이오밍에 대한 오후 10시 예보는 무엇입니까?	2		Sweet Springs Wyoming의 오후 10시 예보는 어떻습니까
이웃에서 영화가 몇시에 상영됩니다.	6		이웃에서 영화 상영 시간은 몇시입니까?
국가 재생 목록에 다른 노래를 추가하십시오.	0		국가 재생 목록에 다른 노래를 추가하십시오.
그리고 Gary Valencia는 고급 게임을위한 파워 게임에 주목했습니다.	0		Gary Valenciano를 파워 게임 재생 목록에 추가합니다.
스페인은 맑고 3 월 26 일은 23 일입니다.	2		스페인은 2023 년 3 월 26 일에 맑습니까?
두 남자는 다시 한 번 녹색으로 최고 등급의 베이커리 인 5 명을위한 먼 쿠바 장소입니다.	1		Grainola의 최고 등급 베이커리에서 정오에 멀리 떨어진 쿠바 장소에서 5 인 ​​예약
10 인 파티를 수용 할 수있는 레스토랑이 필요합니다.	1		Avant에서 10 인 파티를 수용 할 수있는 레스토랑이 필요합니다.
중위와 그보다 작은 사진은 어디에서 찾을 수 있습니까?	5		이니 시모어 중위의 사진은 어디에서 찾을 수 있습니까?
앨범에서 투영을 찾습니다.	5		프로젝션, 앨범 찾기
숙녀 또는 형태 20은 소녀를 초대하는 경향이 있습니다.	3		Dave Grohl의 Deezer 형식 2010 곡 재생
어떻게 든 꾸준히 악기를 연주합니다.	3		Vimeo에서 Instrumental Study를 재생합니다.
디자인이라고 부르고 세인트 마틴에서 달렸 을까요?	2		올 가을 렌, 세인트 마틴이 더 추울까요?
c ..로 근처의 일기 예보가 어떻습니까?	2		SC 근처의 일기 예보는 무엇입니까
블랙 레이지로 영화관을 닫는다 고 말해줘.	6		Black Rage를 상영하는 가장 가까운 영화관을 말해줘
비 국립 공원으로 들어가는 온난화가 예상된다는 것입니다.	2		도이 인 타논 국립 공원은 따뜻할 것으로 예상됩니까?
붉은 독수리 t를 다운로드하십시오. v. 쇼.	5		Red Eagle TV 쇼 다운로드
물속에서 마법이라는 이름으로 우리를 찾으십시오.	5		Magic in the Water라는 노래를 찾으십시오.
9 월 28 일부터 28 일까지의 일기 예보를 알려주세요.	2		팔라우 2030 년 9 월 21 일 일기 예보를 알려주세요
천마일 영화 닥쳐.	5		Thousand Miles 영화보기
동쪽에서 시작하는 영화 시간을 보여줘.	6		스타 극장에서 영화 시간을 보여줘
재현은 6 시간 중 4 시간입니다.	4		The Doomsters 별 6 개 중 4 개 평가
사랑이 지배하는 소설을 읽고 싶어요.	5		소설 사랑이 통제되고 싶어요
나는 별의 강을보고 싶다 t. v. 시리즈.	5		별의 강 TV 시리즈를보고 싶습니다
그러나 그는 세상의 탁자와 창문입니다.	1		Windows on the World에서 CO 테이블 예약
하지만 말레이시아에서 버거를 제공하는 레스토랑 예약.	1		말레이시아에서 햄버거를 제공하는 레스토랑 예약하기
나는 레온입니다.	3		나만의 플레이
rahim get on의 음악을 재생합니다.	3		Raheem Devaughn의 음악을 재생합니다.
우리 엄마를 추적하기 위해 1 월 인치까지 최고 공격을합니다.	3		Janamanchi Seshadri Sarma의 최고 트랙 재생
DC의 좋은 밤에 대한 일기 예보는 무엇입니까?	2		DC 자정 일기 예보는 무엇입니까?
하지만 메인 주에서 10 월 9 일에 4 인용 레스토랑.	1		메인 주에서 10 월 9 일에 4 인용 레스토랑 예약
한동안 기상 조건.	2		노엘의 날씨 조건은 무엇입니까?
9시에 쌀쌀할까요? 미디엄. 두리틀에서.	2		두리틀 오전 9시에 쌀쌀할까요?
그러나 서있는 파티와 파라과이 토요일의 레스토랑.	1		토요일에 파라과이에서 7 인 파티를위한 레스토랑 예약
섹스를 알기 위해서는 프랑스 세탁소 예약이 필요합니다.	1		오하이오에있는 The French Laundry의 6 인 예약이 필요합니다
6 점 만점에이 책을 읽으십시오.	4		이 책을 6 점 만점에 4 점
둘 중 가장 인기있는 조니 클락을 연기했습니다.	3		Deezer에서 가장 인기있는 Johnny Clarke를 플레이하세요.
마침내 사진은 음악을 지연시켰다.	5		사진 찾기 The Late Music
역병은 파워 워크에 탱고하는 것입니다.	0		Disco Tango to Power Walk 재생
그는 카페 주변에있을 것이고 국립 공원에 갈 것입니다.	2		카오 파놈 벤차 국립 공원 주변에 우박이 올까요?
그들은 여전히 ​​블루스 플레이리스트를 가지고있을 것입니다.	3		내 Still Got the Blues 재생 목록을 재생합니다.
상어를 키운 팝 음악을 틀어주세요.	3		play pop music with Groove Shark
그 총 철학과 현상 논리적 연구를 보여줍니다.	5		Show the Philosophy and Phenomenological Research saga
이웃의 마지막 맑은 개울 황야에서 지금부터 2 초 후에 더울까요?	2		지금부터 2 초 후 인근 West Clear Creek Wilderness에서 더울까요?
케이크 복서 5 구속을위한 영화관을 찾으십시오.	6		find a movie house for Kickboxer 5 – Redemption
tell me the forecast for eldridge in indiana in nineteen hours. 	2		19 시간 후 인디애나 주 엘더 튼 일기 예보를 알려줘
그리고 퇴근 후 우리 집에 촛불이 켜집니다.	0		My House After Work 재생 목록에 촛불을 추가합니다.
여기있는 것보다 홍콩에있는 셸리입니다.	2		Is it chillier in Hong Kong than it is here
생생한 콘서트로 이어지는 그림을 보여주세요.	5		show me the painting Live – Very Live in Concert
and i mean much to women of r. and d. player is. 	0		Women of R & B 재생 목록에 iene miene mutte 추가
철분 작업을 부탁드립니다.	5		Please get me the AiON show.
plane fell nakayama as late as the concerto. 	3		Play Thelma Aoyama's latest concerto
jasmine jeannie의 표를보고 읽어보세요.	1		jasmine, jeannie 및 leta를위한 테이블 예약
30 대 세바스찬 노래를 YouTube에서 듣고 싶어요.	3		I want to hear Sebastian's songs from the thirties on Youtube
힙합 재생 목록에 큰 흐린 거짓말.	0		힙합 재생 목록에 Gray Cloudy Lies를 추가합니다.
이 앨범 두 가지를 읽으십시오.	4		이 앨범 평가 2 점
윙어의 일기 예보는 어떻습니까.	2		What is the weather forecast for Winger
50 년대의 주요 해리스 노래를 듣고 싶습니다.	3		I want to hear Major Harris's songs from the fifties
if he wants and adriana want to go to the best alastair yet in hallowell minnesota this afternoon. 	1		stacy watson and adriana want to go to the best osteria in Hallowell Minnesota this afternoon
show me a copy of the picture double deal. 	5		더블 딜 사진을 보여주세요.
what is the eleven pm forecast for here in fire. 	2		여기까지의 오후 11시 예보는 무엇입니까
나는 궁극적 인 자원에 대해 3 개의 읽기를 얻습니다.	4		I give a rating of 3 to The Ultimate Resource.
but a restaurant in settling in for making money. 	1		Book a restaurant in seven in Fort McKinley
what is the forecast for one pm in minnesota. 	2		What is the forecast for 1 PM in Minnesota?
두 주에서 현명한 만료 일요일을 읽으십시오.	4		Rate the Why Is Sex Fun? saga two of 6
1 월 25 일 네브라스카에있는 barca 레스토랑이 엄마의 나를 위해 24시 30 분에.	1		나와 엄마를 위해 2034 년 1 월 25 일에 네브래스카에있는 레스토랑을 예약하세요.
is that he and i did not say go reunion on. 	2		Is it humid in Otsego Réunion
두 명의 젊은이가 그녀와 엑스레이에 대해 설명하도록하십시오.	4		give 2 out of 6 points to current essay
가장 가까운 영화관에서 상영하는 애니메이션 영화 처럼요.	6		가장 가까운 영화관에서 상영중인 애니메이션 영화
plainly is sung by d. j. paul else back in nineteen eighty and see the yellow que. 	3		Play me a song by Dj Paul Elstak in 1988 on Zvooq
but the spot for one at a south american restaurant. 	1		book a spot for 1 at a south american restaurant
finally the when harry tries to marry photograph. 	5		Find me the When Harry Tries to Marry photograph
reagan stars and six from lord of the shadows which get the fuller. 	4		rate in stars as a 6 for Lord of the Shadows which gets a four
playing robert stoddard from nineteen eighty eight. 	3		play Robert Stoddard from 1988
and i'm tom thackeray cheatham iraq classics. 	0		Add a Tom Thacker tune to my rock classics
