sentence	label	missing	target
c에서 9 엔을 부르세요. 감옥은 당신이 보는 별처럼 눈을 통해 달리기 때문입니다.	1		Garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
당신의 자리에서 덜컹 거리고 싶어요.	1		garching에서 odeonsplatz로 여행하고 싶습니까?
그러니 우리 도시에서 우리의 말을 들어주세요.	0		Garching에서 다음 버스를 보여줘!
당신은 인생에서 우리에게 인사를 찾습니까?	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
사용자가 아닐 때.	0		다음 u6는 언제입니까?
당신의 c에서 얻을 수 있습니까? 우리 도시에서.	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
당신 옆에있는 이야기는 무엇입니까?	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
우리 도시에서 온 우리가 그녀의 장미 불을 피울 것입니다.	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
난 카레라스 칼 다리우스 랩과의 연결 고리 야.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
나는 우리의 c가 필요합니다. 엔. 선.	1		나는 9시에 Garching에 있어야합니다
언제 그리고 나는 주로 r c 4 현재 방에서.	0		다음 기차는 언제 출발합니까?
경기 침체가 될 것입니다.	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
세 번째 삶에서 우리에게 지불 할 수 있습니까?	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
당신은 실제 이야기와 알파인 e ..	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
남자는 언제 그들을 위해 자리를 떠납니다.	0		다음 버스는 언제 중앙역에서 출발합니까?
그래서 사람을 튀기는 것은 잘못된 것입니다.	1		bonnerplatz에서 freimann까지가는 방법
이게 모든 원인이 되었기 때문에 중앙에서 칼스 라스트까지 어떻게 갈 수 있습니까?	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
그의 입구 롤라에서 넥서스 규칙을 찾으십니까?	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
3 개를 잃지 않도록.	1		quiddestraße에 어떻게 가나 요?
우리 c에서 지금 전화하십시오. 지배자.	1		garching에서 perlach로 이동하는 방법?
그래서 강하게 쉴라에서.	0		michaelibad에서 다음 버스를 보여줘.
아직 당신의 유전자로부터 상처를 입거나 우리 사업이 일으킨 튀김이 아닙니다.	1		Garching에서 münchner freiheit로 최대한 빨리 갈 수있는 방법은 무엇입니까?
열두 명 정도면 우리는 거짓말을 할 것입니다.	0		다음 지하철은 언제 odeonsplatz에서 출발합니까?
강력한 리드 스토리는 언제입니다.	0		quiddestraße에서 버스가 언제예요?
우리 도시에서 범위가 아닐 때.	0		가칭에서 다음 기차가 언제 야
우리 도시에서 고통받을 수 있습니까?	1		Garching에서 milbertshofen에 어떻게 갈 수 있습니까?
비가 내리지 않을 때.	0		다음 열차는 언제 출발합니까?
새로 튀기 러 간 그의 라자에게 지금 전화하십시오.	1		untere strassäcker 21에서 frötmaning으로 이동하는 방법
리드 스토리에서 올슨의 세 개를 얻을 수 있습니까?	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
우리 도시에서 기차가 언제 출발합니다.	0		차가 언제 출발합니까?
그리고 그 부름과 그 모든 것이 우리의 소식이거나 우리의 연결이 될 수 있습니다. c. 감옥이 잘못되었습니다.	1		오후 1시에 hauptbahnhof에 있어야합니다. garching forschungszentrum에서 연결을 검색 할 수 있습니까?
감옥 정면 사용 경과에 대한 시리즈에서 어떻게 얻을 수 있습니까?	1		garching, forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
언제 버스에서 r c 4 현재 방을 떠납니다.	0		다음 버스가 Garching forschungszentrum에서 언제 출발합니까?
전화하기 전에 정말 몇 가지 주름이 있습니까?	1		Olympia einkaufszentrum에서 Hauptbahnhof까지 어떻게 가나 요?
오전 3 시까 지 그녀의 거짓말이 잘못이 아니라는 것을 알고 비가 내리는가?	1		neuperlach zentrum에서 오후 3시에 Garching까지 기차가 있습니까?
우리의 자연 법칙이 아닙니다. c. 감옥 방.	1		mossach에서 forschungszentrum을 가칭하려면 어떻게해야합니까?
그렇지 않을 때 우리는 우리 도시에서 떠납니다.	0		Garching에서 출발하는 다음 지하철은 언제입니까?
왜 우리 c와의 연결이 아닙니다. 교도소의 경우 실이 사용됩니다.	1		Garching forschungszentrum에서 odeonsplatz까지의 다음 연결은 무엇입니까?
버스에서 로마의 실수를 남길 때.	0		다음 버스는 로마 광장에서 언제 출발합니까?
언제 우리 도시를 떠나고 있었습니까?	0		다음 버스는 언제 가칭에서 출발합니까?
우리 도시에서 버스가 언제 출발합니까.	0		다음 버스는 언제 가칭에서 출발합니까?
당신의 상태에서 나중에 얻을 수 있습니까?	1		garching에서 sendlinger tor로 어떻게 갈 수 있습니까?
지형과 당신의 폭동은 언제입니다.	0		Nordfriedhof의 다음 기차가 언제예요
찰스 블랙에서 레벨까지 보조금이 있습니까?	1		칼스 플라 츠에서 레헬까지 전차가 있나요?
우리 도시에서 출발하는 버스가 아닐 때.	0		Garching에서 출발하는 다음 버스는 언제입니까?
그의 대답에 대한 우리 도시의 지형 중 하나입니다.	0		Garching forschungszentrum의 다음 열차가 언제 출발합니까?
재사용 할 때 감옥 방에서 하루에 1 달러를 잃고 있습니다.	0		Adrians 다음 지하철은 언제 forschungszentrum에서 출발합니까?
당신에게서 그의 방법은 무엇입니까?	1		neuperlach süd에서 lehel까지 가장 저렴한 방법은 무엇입니까?
추락으로부터의 연결과 과실을 사용하는 모든 사람.	1		중앙역에서 odeonsplatz까지의 연결?
내가 어떻게해야하는지 그녀에게 롤링하는 것입니다.	1		untere straussäcker에 어떻게 가나 요?
새로운 하나의 서퍼 이온이 아닐 때.	0		münchner freiheit의 다음 기차가 언제예요?
지형과 당신의 폭동은 언제입니까?	0		nordfriedhof의 다음 기차가 언제예요?
내가 감옥을 위해 우리 도시를 갱신하면 방이 떠납니다.	0		Garching의 다음 기차가 언제 출발합니까?
우리 도시에서 얄팍한 사용자가 아닐 때.	0		다음 u6는 언제 가칭에서 떠나나요?
2 년 동안 우리는 당신의 자리를 많이 사용할 것입니다.	1		garching에서 odeonsplatz까지 연결해 주시겠습니까?
당신의 비가 마르지 않을 때 그녀는 항복하기 위해 당신의 자리를 차지했습니다.	1		untere straßaecker 21에서 kieferngarten으로가는 다음 기차가 언제예요
기차에서 마음에 틀릴 때 이야기를 할 때.	0		다음 기차는 언제 quiddestraße에서 출발합니까?
그리고 나는 우리의 c에서 얻습니다. 우리 도시로.	1		garching에서 garching으로 어떻게 얻을 수 있습니까?
가장 숙달 된 곳에서 얻을 수 있습니까?	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
그래서 내가 당신 자리에서 멈춰도 될까요.	1		Garching에서 Hauptbahnhof까지 어떻게 가나 요?
이란의 권력 아래있는 사람들은 중단하는 것이 잘못입니다.	0		다음 트램은 언제 중앙역에서 출발합니까?
rumsfeld 실제 구매에서 장애 방법을 찾으십니까?	1		moosfeld에서 milbertshofen까지 가장 짧은 길을 찾을 수 있습니까?
당신이 항복하고 싶은 곳에서 그녀를 날 것으로 혼자서 고통받습니다.	1		untere straßäcker 21에서 kieferngarten까지 연결
왜 그녀는 승마 호출 중지 사이에 연결되어 있지 않습니다.	1		quiddestraße와 hauptbahnhof 사이의 가장 저렴한 연결은 무엇입니까?
우리 c에서 새로운 여자가 아니야. 감옥 방.	1		Garching forschungszentrum에서 neuperlach süd까지 어떻게 가나 요?
올림푸스에서 2 번에서 중단 할 수 있나요?	1		olympiazentrum에서 Hauptbahnhof까지 어떻게 가나 요?
우리 c에서 어떻게 얻을 수 있습니까? 교도소의 경우 실이 사용됩니다.	1		Garching forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
r c 4 현재 방에서 los에서 어떻게 얻을 수 있습니까?	1		moosach에서 forschungszentrum을 가칭하려면 어떻게해야합니까?
우리 도시를 잃는 것은 언제입니까?	0		기차가 차를 타고 떠나는 게 언제 야
강한 의지가 오후 3시에 정지를 호출하기 위해 랩을 사용합니까?	1		오후 3시에 odeonsplatz에서 hauptbahnhof까지 버스가 있습니까?
비가 언제 우리 도시에 교도소를 위해 폭동을 일으키고 있습니다.	1		nordfriedhof에서 garching forschungszentrum까지의 다음 기차는 언제입니까?
지형보다 가까울 때.	0		다음 기차가 언제 오면
남자가 언제 전화를받을 공간을 떠났습니까?	0		다음 s-bahn은 언제 중앙역에서 출발합니까?
우리 c. 누가 통치자.	1		garching에서 perlach까지
그리고 나는 당신의 자리에서 얻을 랩스를 사용할 것입니다.	1		Garching에서 odeonsplatz까지 어떻게 가나 요?
세트를 올리지 않으면 나중에.	0		다음 열차는 언제 sendlinger tor에서 시작합니까?
라이언에게 레인지 로버를 빌려주지 않았을 때	1		untere straßaecker 21에서 kieferngarten까지 다음 기차가 언제예요
spry는 언제 우리 c에서 떠납니다. 현재 방.	0		다음 로켓은 언제 forschungszentrum에서 떠날까요?
저 아래에있는 사람들이 우리 도시로 설정 될 때.	0		안녕 봇, 다음 버스는 언제 가칭에서 시작합니까?
당신의 지위에서 그에게 a.	1		Garching에서 Studentenstadt까지
언제 기차가 방을 떠날까요?	0		다음 기차는 언제 odeonsplatz에서 출발합니까?
우리 도시에서 비가 내리지 않을 때.	0		가칭에서 다음 기차가 언제 야
마리온 랩스에서 우리 도시의 일부를 얻습니까?	1		marienplatz zu garching에서 어떻게 가나 요
당신이 끔찍한 고통을 가장 많이 겪는 것은 언제입니까?	0		röblingweg 행 버스는 언제 시작 되나요?
우리 c의 지형 중 하나. 떠나는 중.	0		Garching의 다음 열차가 언제 출발합니까?
비가 내리지 않을 때 감옥 방으로 우리 도시가 나오지 않습니다.	0		다음 열차는 언제 forschungszentrum에 도착합니까?
특정 영역이 언제 소멸 될 수 있습니까?	0		mariahilfplatz에서 언제 버스를 탈 수 있나요?
당신이 우리 도시를보기 위해 스타이기 때문에 9 개의 천연 비료를 부르십시오.	1		kurt-eisner-straße에서 garching까지 어떻게 가나 요?
우리 도시를위한 준비가 아닐 때.	1		차치하는 다음 기차가 언제 야
당신은 이야기를 리드하기 위해 r c 4 %의 방에서 죽이는 죄를 말할 수 있습니까?	1		garching forschungszentrum에서 quiddestraße까지 가장 저렴한 방법을 알려 주시겠습니까?
그가 부르는 방법과 랩스를 사용하는 방법은 무엇입니까?	1		Hauptbahnhof와 odeonsplatz 사이의 최단 경로는 무엇입니까?
우리 c에서 다음 두 대와 차는 언제입니까? 감옥 방.	0		다음 u-bahn은 언제 forschungszentrum을 가칭에서 출발합니까?
비가 아닐 때.	0		다음 기차는 언제 오나요
감옥 방으로가는 우리 도시의 버스가 아닐 때.	0		Garching forschungszentrum의 다음 버스는 언제입니까?
가장 잘못된 이야기입니다.	0		quiddestraße에서 다음 버스?
그리고 나는 우리의 c에서 얻습니다. 마리온 랩스에.	1		Garching에서 marienplatz까지 어떻게 가나 요?
이야기 때 기차가 잘못 떠날 때.	0		다음 기차는 언제 quiddestraße에서 출발합니까?
나중에 보내지 않습니다.	1		sendlinger tor에 어떻게 가나 요?
당신이 말하는 패자의 눈은 언제입니까?	0		Garching에서 출발하는 다음 기차는 언제입니까?
u에서 지금 전화하십시오. 에스. 날 겁주고 싶은 그녀를 데레 시타.	1		untere strassaecker 21에서 frötmaning으로 이동하는 방법
