sentence	label	missing	target
어떻게 얻을 수 있습니까?	1		Garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
 	1		garching에서 odeonsplatz로 여행하고 싶습니까?
가칭에서 다음 버스를 보여주세요.	0		Garching에서 다음 버스를 보여줘!
 	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
다음은 언제입니다.	0		다음 u6는 언제입니까?
 	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
가장 짧은 연결은 무엇입니까?	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
버스가 있습니까?	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
Harrah의 연결에서 Trace를 호출했습니다.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
 	1		나는 9시에 Garching에 있어야합니다
다음 열차는 언제 forschungszentrum에서 출발합니까?	0		다음 기차는 언제 출발합니까?
어떻게 얻을 수 있습니까?	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
버스를 탈 수 있어요.	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
가장 빠른 연결을 해주실 수 있나요?	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
다음 버스는 언제 집 Pinetop에서 출발합니까.	0		다음 버스는 언제 중앙역에서 출발합니까?
 	1		bonnerplatz에서 freimann까지가는 방법
가능한 한 빨리 Newport에서 어떻게 갈 수 있습니까?	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
연결.	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
 	1		quiddestraße에 어떻게 가나 요?
얻는 방법.	1		garching에서 perlach로 이동하는 방법?
내 진흙에서 나오는 다음 버스를 보여줘.	0		michaelibad에서 다음 버스를 보여줘.
어떻게 얻을 수 있습니까?	1		Garching에서 münchner freiheit로 최대한 빨리 갈 수있는 방법은 무엇입니까?
다음은 언제입니다.	0		다음 지하철은 언제 odeonsplatz에서 출발합니까?
언제입니다.	0		quiddestraße에서 버스가 언제예요?
다팅에서 다음 기차는 언제입니다.	0		가칭에서 다음 기차가 언제 야
 	1		Garching에서 milbertshofen에 어떻게 갈 수 있습니까?
다음 기차는 언제 출발합니까.	0		다음 열차는 언제 출발합니까?
 	1		untere strassäcker 21에서 frötmaning으로 이동하는 방법
 	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
기차가 언제 출발 해요.	0		차가 언제 출발합니까?
검색 할 수 있습니다.	1		오후 1시에 hauptbahnhof에 있어야합니다. garching forschungszentrum에서 연결을 검색 할 수 있습니까?
경비원으로부터 어떻게 얻을 수 있습니까?	1		garching, forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
다음 버스는 언제 Tantrum에서 출발합니까?	0		다음 버스가 Garching forschungszentrum에서 언제 출발합니까?
올림피아에서 어떻게 얻을 수 있습니까?	1		Olympia einkaufszentrum에서 Hauptbahnhof까지 어떻게 가나 요?
뉴 포트에서 오후 3시에 기차가 있어요 ..	1		neuperlach zentrum에서 오후 3시에 Garching까지 기차가 있습니까?
Centrum에서 어떻게 얻을 수 있습니까?	1		mossach에서 forschungszentrum을 가칭하려면 어떻게해야합니까?
출발하는 다음 지하철은 언제입니다.	0		Garching에서 출발하는 다음 지하철은 언제입니까?
다음 연결.	1		Garching forschungszentrum에서 odeonsplatz까지의 다음 연결은 무엇입니까?
다음 버스는 로맨스 워치에서 언제 출발합니까.	0		다음 버스는 로마 광장에서 언제 출발합니까?
다음 버스는 언제 출발 해요.	0		다음 버스는 언제 가칭에서 출발합니까?
다음 버스는 언제 출발 해요.	0		다음 버스는 언제 가칭에서 출발합니까?
가르시아에게서 어떻게 얻을 수 있습니까?	1		garching에서 sendlinger tor로 어떻게 갈 수 있습니까?
North Freedom의 다음 기차는 언제입니다.	0		Nordfriedhof의 다음 기차가 언제예요
전차가 있습니까?	1		칼스 플라 츠에서 레헬까지 전차가 있나요?
가르시아에서 출발하는 다음 버스는 언제 야.	0		Garching에서 출발하는 다음 버스는 언제입니까?
다음 기차가 언제 출발 해요.	0		Garching forschungszentrum의 다음 열차가 언제 출발합니까?
Centrum은 언제입니다.	0		adrians가 다음 지하철은 언제 forschungszentrum을 가칭에서 떠나나요?
새로운 펄릭 푼샬 지옥에서 가장 저렴한 방법은 무엇입니까?	1		neuperlach süd에서 lehel까지 가장 저렴한 방법은 무엇입니까?
지도.	1		중앙역에서 odeonsplatz까지의 연결?
술은 어떻게 얻나요?	1		untere straussäcker에 어떻게 가나 요?
munchener-freiheit의 다음 비는 언제입니다.	0		münchner freiheit의 다음 기차가 언제예요?
다음 기차는 언제 오나요.	0		nordfriedhof의 다음 기차가 언제예요?
다음 기차가 언제예요.	0		Garching의 다음 기차가 언제 출발합니까?
가르시아에서 떠나는 다음 U6는 언제 야	0		다음 u6는 언제 가칭에서 떠나나요?
연결.	1		garching에서 odeonsplatz까지 연결해 주시겠습니까?
다음 열차는 언제입니다.	1		untere straßaecker 21에서 kieferngarten으로가는 다음 기차가 언제예요
다음 열차는 언제 출발합니까?	0		다음 기차는 언제 quiddestraße에서 출발합니까?
가든에서 이동하려면 어떻게해야하나요.	1		garching에서 garching으로 어떻게 얻을 수 있습니까?
어떻게 얻을 수 있습니까?	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
어떻게 얻을 수 있습니까?	1		Garching에서 Hauptbahnhof까지 어떻게 가나 요?
다음 트램이 하우스에서 시작하는 시간은 언제입니까?	0		다음 트램은 언제 중앙역에서 출발합니까?
 	1		moosfeld에서 milbertshofen까지 가장 짧은 길을 찾을 수 있습니까?
방향.	1		untere straßäcker 21에서 kieferngarten까지 연결
vonhaus 간의 가장 저렴한 연결은 무엇입니까?	1		quiddestraße와 hauptbahnhof 사이의 가장 저렴한 연결은 무엇입니까?
forschungszentrum에서 어떻게 뉴 포트에 갈 수 있습니까?	1		Garching forschungszentrum에서 neuperlach süd까지 어떻게 가나 요?
올림피아에서 어떻게 얻을 수 있습니까?	1		olympiazentrum에서 Hauptbahnhof까지 어떻게 가나 요?
어떻게 얻을 수 있습니까?	1		Garching forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
garching forschungszentrum에서 어떻게 얻을 수 있습니까?	1		moosach에서 forschungszentrum을 가칭하려면 어떻게해야합니까?
기차가 언제 출발 해요.	0		기차가 차를 타고 떠나는 게 언제 야
odeonsplatz에서 버스가 있어요.	1		오후 3시에 odeonsplatz에서 hauptbahnhof까지 버스가 있습니까?
Newark에서 무료로 오는 다음 기차는 언제 Centrum입니다.	1		nordfriedhof에서 garching forschungszentrum까지의 다음 기차는 언제입니까?
다음 기차가 언제예요.	0		다음 기차가 언제 오면
Health Pinetop에서 다음 버스.	0		다음 s-bahn은 언제 중앙역에서 출발합니까?
 	1		garching에서 perlach까지
어떻게 얻을 수 있습니까?	1		Garching에서 odeonsplatz까지 어떻게 가나 요?
다음 열차는 언제 sendlinger tor에서 시작됩니다.	0		다음 열차는 언제 sendlinger tor에서 시작합니까?
온타리오에서 출발하는 다음 기차가 언제예요.	1		untere straßaecker 21에서 kieferngarten까지 다음 기차가 언제예요
다음 울화는 언제입니까?	0		다음 로켓은 언제 forschungszentrum에서 떠날까요?
다음은 언제입니다.	0		안녕 봇, 다음 버스는 언제 가칭에서 시작합니까?
 	1		Garching에서 Studentenstadt까지
다음 기차는 언제 출발합니까.	0		다음 기차는 언제 odeonsplatz에서 출발합니까?
다팅에서 다음 기차는 언제입니다.	0		가칭에서 다음 기차가 언제 야
어떻게 가나 요.	1		marienplatz zu garching에서 어떻게 가나 요
언제.	0		röblingweg 행 버스는 언제 시작 되나요?
다음 기차가 언제예요.	0		Garching의 다음 열차가 언제 출발합니까?
다음 열차는 언제에서 오나요?	0		다음 열차는 언제 forschungszentrum에 도착합니까?
마리안 힐에서 버스는 언제 타면 ..	0		mariahilfplatz에서 언제 버스를 탈 수 있나요?
어떻게 얻을 수 있습니까?	1		kurt-eisner-straße에서 garching까지 어떻게 가나 요?
다음 기차는 언제입니다.	1		Garching의 다음 기차가 언제 야
forschungszentrum에서 Strasse를 넣는 가장 저렴한 방법을 알려 주시겠습니까?	1		garching forschungszentrum에서 quiddestraße까지 가장 저렴한 방법을 알려 주시겠습니까?
집 사이의 최단 거리는 ..	1		Hauptbahnhof와 odeonsplatz 사이의 최단 경로는 무엇입니까?
센트럼.	0		다음 u-bahn은 언제 forschungszentrum을 가칭에서 출발합니까?
다음 기차는 언제 오나요.	0		다음 기차는 언제 오나요
Garching forschungszentrum의 다음 버스는 언제입니다.	0		Garching forschungszentrum의 다음 버스는 언제입니까?
 	0		quiddestraße에서 다음 버스?
어떻게 얻을 수 있습니까?	1		Garching에서 marienplatz까지 어떻게 가나 요?
다음 열차는 언제 출발합니까?	0		다음 기차는 언제 quiddestraße에서 출발합니까?
보내려면 어떻게해야하나요?	1		sendlinger tor에 어떻게 가나 요?
Garching에서 출발하는 다음 기차는 언제입니다.	0		Garching에서 출발하는 다음 기차는 언제입니까?
21.	1		untere strassaecker 21에서 frötmaning으로 이동하는 방법
