sentence	label	missing	target
how can I install a phantom 2512 W laser printer. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
how to record my screen. 	4		How to record my screen?
what graphical utility can I use for Uber. 	2		What graphical utility can I use for Ubuntu auto shutdown?
call Tenaya Naples shut down verbosity. 	2		How can I enable shutdown verbosity?
how to shutdown the computer after exercising then. 	2		How to shutdown the computer after Xsession ends?
what new games are available for 2011. 	3		What new games are available for Ubuntu in 2011?
can you recommend a password generator. 	3		Can you recommend a password generator?
screenshot to Laura Mae level. 	3		What screenshot tools are available?
how do I install drivers for a Konica Minolta 200. 	1		How do I install drivers for a Konica Minolta 200?
how to setup HP printer scanner on Uber. 	1		How to setup HP printer/scanner on ubuntu?
how to install Canon LBP 2900 printer in 14.04 LTS. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
apres 12.04 2.10 using. 	0		Upgrade 12.04 to 12.10 using startup disk
how can I highlight or annotate PDF. 	4		How can I highlight or annotate PDFs?
extracting embedded images Brahma PDF. 	3		Extracting embedded images from a PDF
install Canon mp560 ubuntu 15.04. 	1		Install Canon MP560 Ubuntu 15.04
apres 12.04 64-bit. 	0		Upgrade to 12.04 64 bit
online calculator for Uber. 	3		Any command line calculator for Ubuntu?
what are you was quickly cut audio video. 	3		What to use to quickly cut Audio/Video
how do I setup my HTC 4140. 	1		How do I setup my HP C4140 printer wirelessly?
how to upgrade Ubuntu 9.10 to 12.109. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
welcome my good mind.. 	3		What is a good MongoDB GUI client?
how do I fix the shutdown problem. 	2		How do I fix a shutdown problem?
is there an application for reading Mobi files. 	3		Is there an application for reading mobi files?
how to install a Brother MFC - 5890 CNA net worth. 	1		How to install a Brother MFC-5890CN network printer?
operating room Ubuntu 14.04 to 15.04. 	0		Upgrading from Ubuntu 14.04 to 15.04
shutdown problem in Ubuntu 16.04. 	2		Shutdown problem in Ubuntu 16.04
shut down without tax request. 	2		shut down without extra question
IRC clients are available. 	3		What IRC clients are available?
how can I automatically shutdown the system after a specific time. 	2		How can I automatically shutdown the system after a specific time?
are there any keyboard shortcuts to shutdown. 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth upgrading 12.04 Hellcat 04. 	0		Is it worth upgrading from 12.04 LTS to 13.04
orange flying for the command line. 	4		Torrent client for the command-line?
MySQL gui tools. 	3		MySQL GUI Tools
how do I install drivers for the Panasonic mb1900 CX all-in-one printer scanner. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
how to run shutdown a PC using the keyboard. 	2		How can one shutdown a PC using the keyboard?
11.04 to 12.04 with lion. 	0		Update 11.04 to 12.04 with LiveCD
how to operate remove Ubuntu 10.10 to phone. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
how to operate a front moving through 15.04 to 4. 	0		how to upgrade from ubuntu 15.04 to 15.10?
what scientific plotting software is available. 	3		What scientific plotting software is available?
which program can I use to edit PDF files. 	3		Which programs can I use to edit PDF files?
what developer text editors are available for. 	3		What developer text editors are available for Ubuntu?
how to upgrade from 11.10 to 12.04. 	0		How to Upgrade from 11.10 to 12.04 when you've got a problem?
how to set up wireless printing from a printer connected by USB on Ubuntu Server phone. 	1		How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
how to shutdown computer when users are logged on. 	2		How to shutdown computer when users are logged on?
shut down after a certain time. 	2		Shutdown after a certain time
watching the proper terminal way to shutdown. 	2		What is the proper terminal-way to shutdown?
what tool do you use to monitor a web server. 	3		What tools do you use to monitor a web server?
password management applications. 	3		Password Management Applications?
UPnP DLNA Lions player recommendation. 	3		UPNP / DLNA (client) player recommendations?
no matter what I do ubuntu 15.04. 	1		No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020
how to upgrade Hulu to phone. 	0		How to upgrade Ubuntu 14.04.1 to 14.04.2?
 	2		Hotkey to shut down from login screen?
is there a lightweight orthographic images. 	3		Is there a lightweight tool to crop images quickly?
How can I install a Pantum 2502W laser printer on Ubuntu	1		How can I install a Pantum 2502W laser printer on Ubuntu
How to record my screen?	4		How to record my screen?
What graphical utility can I use for Ubuntu auto shutdown?	2		What graphical utility can I use for Ubuntu auto shutdown?
How can I enable shutdown verbosity?	2		How can I enable shutdown verbosity?
How to shutdown the computer after Xsession ends?	2		How to shutdown the computer after Xsession ends?
What new games are available for Ubuntu in 2011?	3		What new games are available for Ubuntu in 2011?
Can you recommend a password generator?	3		Can you recommend a password generator?
What screenshot tools are available?	3		What screenshot tools are available?
How do I install drivers for a Konica Minolta 200?	1		How do I install drivers for a Konica Minolta 200?
How to setup HP printer/scanner on ubuntu?	1		How to setup HP printer/scanner on ubuntu?
How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
Upgrade 12.04 to 12.10 using startup disk	0		Upgrade 12.04 to 12.10 using startup disk
How can I highlight or annotate PDFs?	4		How can I highlight or annotate PDFs?
Extracting embedded images from a PDF	3		Extracting embedded images from a PDF
Install Canon MP560 Ubuntu 15.04	1		Install Canon MP560 Ubuntu 15.04
Upgrade to 12.04 64 bit	0		Upgrade to 12.04 64 bit
Any command line calculator for Ubuntu?	3		Any command line calculator for Ubuntu?
What to use to quickly cut Audio/Video	3		What to use to quickly cut Audio/Video
How do I setup my HP C4140 printer wirelessly?	1		How do I setup my HP C4140 printer wirelessly?
How to upgrade Ubuntu 9.10 to 12.10 via terminal?	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
What is a good MongoDB GUI client?	3		What is a good MongoDB GUI client?
How do I fix a shutdown problem?	2		How do I fix a shutdown problem?
Is there an application for reading mobi files?	3		Is there an application for reading mobi files?
How to install a Brother MFC-5890CN network printer?	1		How to install a Brother MFC-5890CN network printer?
Upgrading from Ubuntu 14.04 to 15.04	0		Upgrading from Ubuntu 14.04 to 15.04
