sentence	label	missing	target
오늘 밤 우리 일이 잘못되었습니다.	1		garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
나는 odeonsplatz 로의 달러 교환을 잡고 싶다.	1		garching에서 odeonsplatz로 여행하고 싶습니까?
다음 버스 운행 시간을 보여주세요.	0		Garching에서 다음 버스를 보여줘!
버스 운행 퀴즈 3을 찾을 수 있습니까?	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
다음 미국은 언제입니다.	0		다음 u6는 언제입니까?
오늘 밤에 전화하세요.	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
Bellevue에서 Quiz 3 사이의 최단 연결은 무엇입니까?	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
5 시쯤 운행하는 버스가 있나요?	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
어젯밤 콜로라도에서 연결되었습니다.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
 	1		나는 9시에 Garching에 있어야합니다
다음 열차는 언제 다스 베인에서 출발합니까?	0		다음 열차는 언제 출발합니까?
강한 발기를 만드는 방법.	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
버스 운행 퀴즈를 볼 수 있을까요.	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
Reuther 중간 3 개 ID 사이의 가장 빠른 연결을 말씀해 주시겠습니까?	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
출발하는 다음 버스가 언제예요.	0		다음 버스는 언제 중앙역에서 출발합니까?
럼 러너 플라스크 가라데 맨을 얻는 방법.	1		bonnerplatz에서 freimann까지가는 방법
가사 의미 : 휴식과 낭만적 인 칼의 폭발은 가능한 한 빨리 오늘 밤 전화.	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
내가 오후 2시에 레벨로 달려 가고있는 Olean 사촌에게서 연결을 찾을 수 있습니까?	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
오늘 밤에 전화하세요.	1		quiddestraße에 어떻게 가나 요?
그것에 대해 감사하는 강한 달러를 얻는 방법.	1		garching에서 perlach로 이동하는 방법?
미첼이 운행하는 다음 버스를 보여줘.	0		michaelibad에서 다음 버스를 보여줘.
오늘 밤 우리 일이 잘못 됐어요	1		Garching에서 münchner freiheit로 최대한 빨리 갈 수있는 방법은 무엇입니까?
다음 지하철 식당은 언제 야.	0		다음 지하철은 언제 odeonsplatz에서 출발합니까?
언제 버스가 clerestory를 운행합니까?	0		quiddestraße에서 버스가 언제예요?
아서에서 오는 다음 기차는 언제 야.	0		가칭에서 다음 기차가 언제 야
칼튼 이타 스카 밀포드.	1		Garching에서 milbertshofen에 어떻게 갈 수 있습니까?
다음 기차는 언제 출발합니까.	0		다음 열차는 언제 출발합니까?
21에서 실행하는 방법.	1		untere strassäcker 21에서 frötmaning으로 이동하는 방법
오늘 밤 Bozeman 대뇌 Quizlet에 전화하십시오.	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
기차가 언제 출발 해요.	0		차가 언제 출발합니까?
 	1		오후 1시에 Hauptbahnhof에 있어야합니다. garching forschungszentrum에서 연결을 검색 할 수 있습니까?
오늘 밤 4시에 전화하십시오.	1		garching, forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
다음 버스 출근 시간이 언제 야.	0		다음 버스가 Garching forschungszentrum에서 언제 출발합니까?
강한 Olympia einkaufszentrum 알코올을 어떻게 제거합니까?	1		Olympia einkaufszentrum에서 Hauptbahnhof까지 어떻게 가나 요?
오후 3 시쯤에 누 코르에서 오는 기차가 있나요?	1		neuperlach zentrum에서 오후 3시에 Garching까지 기차가 있습니까?
오늘 밤 4시에 전화하십시오.	1		mossach에서 forschungszentrum을 가칭하려면 어떻게해야합니까?
출발하는 다음 지하철은 언제입니다.	0		Garching에서 출발하는 다음 지하철은 언제입니까?
Dorothy의 다음 연결은 무엇입니까?	1		Garching forschungszentrum에서 odeonsplatz까지의 다음 연결은 무엇입니까?
다음 버스는 언제 Roland Flats에서 출발합니다.	0		다음 버스는 로마 광장에서 언제 출발합니까?
다음 버스는 언제 출발합니다.	0		다음 버스는 언제 가칭에서 출발합니까?
다음 버스는 언제 출발 해요.	0		다음 버스는 언제 가칭에서 출발합니까?
DirecTV에서 어떻게 캐스트 할 수 있습니까?	1		garching에서 sendlinger tor로 어떻게 갈 수 있습니까?
North Raleigh의 다음 비는 언제입니다.	0		Nordfriedhof의 다음 기차가 언제예요
칼의 마지막 두 단계에서 나온 그램이 있나요?	1		칼스 플라 츠에서 레헬까지 전차가 있나요?
갤버스턴에서 출발하는 다음 버스가 언제예요.	0		Garching에서 출발하는 다음 버스는 언제입니까?
현재 빨래방이 떠나기 위해 차에 비가 오는 것은 언제입니다.	0		Garching forschungszentrum의 다음 열차가 언제 출발합니까?
노동절 다음 지하철은 언제 도로시에서 출발합니다.	0		Adrians 다음 지하철은 언제 forschungszentrum에서 출발합니까?
Nucor 라이프 사이클에서 가장 저렴한 방법은 무엇입니까?	1		neuperlach süd에서 lehel까지 가장 저렴한 방법은 무엇입니까?
Halo Phantom에서 odeonsplatz 로의 연결.	1		중앙역에서 odeonsplatz까지의 연결?
I-10에 어떻게 가나 요?	1		untere straussäcker에 어떻게 가나 요?
지금 몬태나에 다음 비는 언제입니다.	0		münchner freiheit의 다음 기차가 언제예요?
