sentence	label	missing	target
오늘 밤은 어리석은 olson의 500 대 2에게는 기회가 없으므로 레이저 프린터도 사용하십시오.	1		Ubuntu에 Pantum 2502W 레이저 프린터를 설치하려면 어떻게해야합니까?
그녀를 부르거나 군단이 나였다.	4		내 화면을 녹화하는 방법?
자동으로 사용할 수있을 때까지 우리는 풀이 많은 리우입니다.	2		Ubuntu 자동 종료에 사용할 수있는 그래픽 유틸리티는 무엇입니까?
나는 또한 도시로 유명합니다.	2		종료 세부 정보를 활성화하려면 어떻게해야합니까?
그래서 2 년의 생계 기간입니다.	2		Xsession이 종료 된 후 컴퓨터를 종료하는 방법은 무엇입니까?
11을 해결하는 사람에게는 하나의 두 게임이 있습니다.	3		2011 년에 Ubuntu에서 사용할 수있는 새로운 게임은 무엇입니까?
아틀란타는 우리가 발전기이기 때문에 읽습니까?	3		암호 생성기를 추천 할 수 있습니까?
도구를 사용할 수있는 것은 무엇입니까?	3		어떤 스크린 샷 도구를 사용할 수 있습니까?
두 개의 전선 모두 중간 200에 대한 드라이버.	1		Konica Minolta 200 용 드라이버는 어떻게 설치합니까?
누가 누구인지에 대한 라우터 센터를 설정합니다.	1		우분투에서 HP 프린터 / 스캐너를 설정하는 방법은 무엇입니까?
아홉 제로 제로 e. 2 개 또는 0 개를위한 반환 4 oh yes 나는 el casals와 900을위한 메시지를 도착했고 나는 있었다.	1		14.04 LTS에 Canon LBP2900B 프린터를 설치하는 방법은 무엇입니까? LBP2900에 대한 방법을 시도했지만 작동하지 않았습니다.
ray well point zero four 12 point one zero 사용자는 이것입니다.	0		시동 디스크를 사용하여 12.04를 12.10으로 업그레이드
오늘 밤 jai alai 검시관 2 년.	4		PDF를 강조 표시하거나 주석을 달 수 있습니까?
U 주변. 이미지 드라마 yes.	3		PDF에서 포함 된 이미지 추출
그럼 500 분께 2/5 2 점 0 4입니다.	1		Canon MP560 Ubuntu 15.04 설치
광선 12 점 0 사 육십 사.	0		12.04 64 비트로 업그레이드
어떤 주석 라인도 2 오 2 나중에 그를 위해.	3		Ubuntu 용 명령 줄 계산기가 있습니까?
우리는 거래를 잡았을 때 사용할 것입니다.	3		오디오 / 비디오를 빠르게 자르기 위해 사용하는 것
전화를 걸어 왜 a에서 z까지라고 말 했나요? 백 사십을 날려 버린 영혼들이 그녀의 철사를 느슨하게 뛰기 때문입니다.	1		HP C4140 프린터를 무선으로 설정하려면 어떻게합니까?
터미널에 의해 2 개의 9 점 1 0 12 점 1 0에 광선.	0		터미널을 통해 Ubuntu 9.10을 12.10으로 업그레이드하는 방법은 무엇입니까?
왜 아이돌이 유일한 대사인가.	3		좋은 MongoDB GUI 클라이언트는 무엇입니까?
그렇게 생생한 상처를 보게되어 반갑습니다.	2		종료 문제를 어떻게 해결합니까?
거기에 있고 우리는 파일 갱신에 대한 반역입니다.	3		mobi 파일을 읽기위한 응용 프로그램이 있습니까?
묵주 판타지가 5 일 9 일 0 인 홀 c. 엔. 우리가 더 부유하다는 것을.	1		Brother MFC-5890CN 네트워크 프린터를 설치하는 방법은 무엇입니까?
광선은 2/5 2 점 0 4에 대해 4 대 1 0으로 잘못되었습니다.	0		Ubuntu 14.04에서 15.04로 업그레이드
그래서 날것이 0을 가리키고 싶었습니다.	2		Ubuntu 16.04의 종료 문제
그래서 매장 질문에 어조가 들렸습니다.	2		추가 질문없이 종료
내가 바다 사자 인 것을 구할 수 있습니다.	3		어떤 IRC 클라이언트를 사용할 수 있습니까?
자동이 아니므로이 정도면 충분하지 않습니다.	2		특정 시간 후에 시스템을 자동으로 종료하려면 어떻게해야합니까?
어떤 단어가 있습니까?	2		종료 할 수있는 키보드 단축키가 있습니까?
광선 c의 가치가 있습니까? 12 점 0에서 4 l. 그녀는 당신에게 1 0 4를 제공해야합니다.	0		12.04 LTS에서 13.04로 업그레이드 할 가치가 있습니까?
남자 라인에 대한 외국 사자.	4		명령 줄용 토렌트 클라이언트?
바보 만 알아야하는 이유.	3		MySQL GUI 도구
한 루터 무두질에서 m two one nine zero ca 스톨에서 카누를위한 두 변호사 작곡가.	1		Panasonic MB1900CX 올인원 프린터 / 스캐너 용 드라이버를 설치하려면 어떻게합니까?
어땠나요? uzi uzi uzi 또는.	2		키보드를 사용하여 PC를 종료하려면 어떻게해야합니까?
a u. 에스. point zero four well we 're zero for was alive c. 씨..	0		LiveCD로 11.04에서 12.04로 업데이트
전화에 10 점 1 점 0 점을 잘못 올리는 것입니다.	0		Ubuntu 10.10에서 11.04로 업그레이드하는 방법은 무엇입니까?
5 2 점 0 4 전화로 잘못 습격.	0		우분투 15.04에서 15.10으로 업그레이드하는 방법?
어떤 과학자들이 소프트웨어를 조종 할 수 있는지 알 수 있습니다.	3		어떤 과학적 플로팅 소프트웨어를 사용할 수 있습니까?
롤 라운드 때 파일을 사용할 수 있습니다.	3		PDF 파일을 편집하는 데 사용할 수있는 프로그램은 무엇입니까?
독자에게 알려진 내용도 그들에게 제공됩니다.	3		Ubuntu에 사용할 수있는 개발자 텍스트 편집기는 무엇입니까?
당신이 1을 위해 죽을 때 우리는 0입니다.	0		문제가있을 때 11.10에서 12.04로 업그레이드하는 방법은 무엇입니까?
반환에서 U를 구입하는 무선 루틴으로. 에스. 씨. 당신에게 서버 전화에.	1		Ubuntu Server 12.10에서 USB를 통해 연결된 프린터에서 무선 인쇄를 설정하는 방법은 무엇입니까?
그러니 사용자가 합법적 일 때 듣지 마십시오.	2		사용자가 로그온 할 때 컴퓨터를 종료하는 방법은 무엇입니까?
그래서 순양함 시간이 없습니다.	2		일정 시간 후 종료
왜 그녀의 터미널이 우리 노래 인 걸까요.	2		종료하는 데 적절한 터미널 방법은 무엇입니까?
우리는 웹 서버를 모니터링하는 데 사용하는 바보입니다.	3		웹 서버를 모니터링하기 위해 어떤 도구를 사용합니까?
관리 암호 우리는 사촌입니다.	3		암호 관리 응용 프로그램?
당신은 d를 얻습니다. 엘. 미친 라인 레이어 또는 하루의 뉴스.	3		UPNP / DLNA (클라이언트) 플레이어 권장 사항?
내가 무슨 짓을하더라도 2 점 0 점 4 점은 새로운 레이저를 인식하지 못해 salzman t ..	1		내가 무엇을하든 Ubuntu 15.04는 HP LaserJet 1020을 인식하지 못합니다.
그에게 전화로 흘러가도록기도하는 방법.	0		Ubuntu 14.04.1을 14.04.2로 업그레이드하는 방법은 무엇입니까?
그는 우리 역사의 노래입니다.	2		로그인 화면에서 종료하는 단축키?
우리가있는 곳에 그를 그리는 방법이 있습니다.	3		이미지를 빠르게 자르는 간단한 도구가 있습니까?
