sentence	label	missing	target
I want to hear some the Roche . 	3		I want to hear some The Roches
rate the current essay four stars . 	4		Rate the current essay 4 stars
rate the current chronicle five stars . 	4		rate the current chronicle five stars
play knocked tombolo playlist . 	3		Play Noctámbulo playlist
played P. from Quasimodo from the nineties . 	3		Play ep from Quasimoto from the nineties
rate girls forever brave and true zero point . 	4		rate Girls Forever Brave and True zero points
add Jonathan are owns to my in the electronics playlist . 	0		Add Jonathan Arons to my Indie Electronics playlist
play top twenty forties movement music by Mohammed rest a lot fee . 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find the boys in the band . 	5		Find The Boys in the Band.
at four AM book a bar in the spot in Shamrock for eight . 	1		at 4 am book a bar in the spa in Shamrock for eight
book me a table for me and my nephew near my location at an indoor pump . 	1		Book me a table for me and my nephew near my location at an indoor pub
play some nineties music on C. V. O. O. Q. . 	3		Play some nineties music on Zvooq
show me half a life . 	5		Show me Half a Life
rate the princess mouse a tale of Finland to one of six . 	4		rate The Princess Mouse: A Tale of Finland one of 6
find films at Magic Johnson theatres . 	6		find films at Magic Johnson Theatres
is there any hail in Monterey Bay national marine sanctuary . 	2		Is there any hail in Monterey Bay National Marine Sanctuary
rate C. I. A. world Factbook five out of six stars . 	4		Rate CIA World Factbook five out of 6 stars
what will the weather by close by the current position at phone . 	2		What will the weather by close by the current position at 02:02:30?
find me the movie schedules at fox theater . 	6		Find me the movie schedules at Fox Theatres
is the weather going to be colder in G. U. in eleven years . 	2		Is the weather going to be colder in GU in 11 years 
where can I watch the trailer for home economics . 	5		Where can I watch the trailer for Home Economics
add artist Brenda K. Starr to for school ready indie . 	0		add artist brenda k starr to frescura indie
the voyage of the dawn Treader deserves five points . 	4		The Voyage of the Dawn Treader deserves 5 points.
look for the novel behind closed doors . 	5		Look for the novel Behind closed doors
will it be warmer in minute don't go okay on Good Friday . 	2		Will it be warmer in Minidoka OK on good friday?
this current book deserves one point . 	4		This current book deserves 1 points
I want more Francis Healy in the rock invited to play list . 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of outline of gore it nearest movie house of five a master . 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided . 	5		Please help me search the TV series A Mouse Divided.
add another song to the cedar romantica playlist . 	0		Add another song to the Cita Romántica playlist. 
I want to hear some psychedelic rock . 	3		I want to hear some psychedelic rock
will it be foggy here . 	2		Will it be foggy here?
play some eighties movement music . 	3		Play some eighties movement music
I want to watch the original recordings . 	5		I want to watch The Original Recordings
find finally famous . 	5		find Phinally Phamous
show movie times now . 	6		show movie times now
add the fire in the wind to my dexter future hits playlist . 	0		Add the fire and the wind to my Digster Future Hits playlist.
I need a reservation for a restaurant that serves cupcakes in %HESITATION . 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by Gladys Knight . 	3		Play the newest music by Gladys Knight
find journal of the society for American music . 	5		find Journal of the Society for American Music
read the book the devil in velvet four out of six points . 	4		rate the book The Devil in Velvet 4 out of 6 points
using stars the current object tickets for for the text book out of six . 	4		using stars the current object gets four for the textbook out of 6
I need a reservation for the Berghoff in Jamaica in eighteen seconds . 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
find K. boon guy S. H. Q. . 	5		Find Ek Boond Ishq.
play some music by might Lou . 	3		Play some music by Mutlu
show creativity of accident analysis and prevention . 	5		show creativity of Accident Analysis & Prevention
rate the philosophic thought of Ayn Rand three of six stars . 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
I need to book a table at a bar in Micronesia for tia Madeline and Estella . 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
where do I play the video game the wild geese . 	5		Where do I play the video game The Wild Geese?
find resurrection of evil . 	5		Find Resurrection of Evil.
this horrible essay gets zero out of six stars . 	4		this horrible essay gets zero out of 6 stars
show me U. R. L. . 	5		Show me KurdishMedia.com
book a highly rated bar in Burkina for Georgia and I . 	1		book a highly rated bar in Burkina for georgia and I
one is twenty nine palms playing it put theaters . 	6		When is Twentynine Palms playing at Plitt Theatres?
play a new sound track by Benjamin Darville on Grooveshark . 	3		play a new soundtrack by Benjamin Darvill on Groove Shark
need book a restaurant for this autumn in Illinois . 	1		Need book a restaurant for this Autumn in Illinois
address at the roundhouse to my funk playlist . 	0		Add Rattus at the Roundhouse to my funk playlist.
let me know what animated movies or playing around here . 	6		Let me know what animated movies are playing around here.
