sentence	label	missing	target
캐나다를위한 대안.	5		캐나다의 민트 대체품
야후 캘린더를 Google 캘린더와 어떻게 동기화 할 수 있습니까?	6		내 Yahoo!를 어떻게 동기화 할 수 있습니까? Google 캘린더가있는 캘린더?
전문가 교환 계정을 어떻게 삭제합니까?	1		Experts Exchange 계정을 어떻게 삭제합니까?
더 많은 기능을 가진 Google 그룹의 대안.	5		더 많은 기능을 제공하는 Google 그룹스의 대안입니까?
매일 Google 양식으로 이메일을 보내십시오.	7		매일 Google Form에 이메일을 보내시겠습니까?
이메일에서 트랙 도넛 CRADP 골목 데이터를 내보내려면 어떻게해야하나요?	3		last.fm에서 track.scrobble 데이터를 내보내려면 어떻게해야합니까?
어떤 이메일도 스팸 필터로 보내지 않는다는 것은 내가 그들의 스팸 필터를 훈련시킬 수 없다는 것을 의미합니까?	4		"Gmail의 ""스팸으로 보내지 않음""필터를 사용하면 스팸 필터를 훈련 할 수 없습니까?"
Gmail에서 더 빨리 새 스탠드를 시작하십시오.	4		Gmail에서 더 빠르게 스팸 메일 삭제
대안을 위해 할 수있는 사람이 있습니까?	5		좋은 Veoh 또는 Youtube 대안이 있습니까?
트위터의 대안.	5		Twitter의 대안
너무 아름다워 어떻게 다운로드합니까?	2		YouTube 비디오를 다운로드하려면 어떻게합니까?
패턴별로 Gmail에서 스팸 이메일을 중지합니다.	4		패턴별로 Gmail에서 스팸 이메일 차단
myspace 계정을 영구적으로 삭제하려면 어떻게해야하나요?	1		MySpace 계정을 영구적으로 삭제하려면 어떻게해야합니까?
하네스 기술을 비활성화하고 삭제하는 방법.	1		Harvest 계정을 비활성화 / 삭제하는 방법은 무엇입니까?
Skype로 로그인하기 위해 암호를 변경할 수없는 이유는 무엇입니까?	0		내 비밀번호를 변경하고 Skype로 로그인 할 수없는 이유는 무엇입니까?
안드로이드 동기화와 구글 리더에 대한 대안.	5		Google 리더의 대안 (Android 동기화 사용)
전체 프로필을 어떻게 삭제합니까?	1		내 Ohloh 프로필을 어떻게 삭제하나요?
내 트위터 계정을 어떻게 삭제하나요?	1		내 트위터 계정은 어떻게 삭제하나요?
스팸 메시지를 올바르게 식별합니다.	4		스팸 메시지를 올바르게 식별
내 gmail.com을 어떻게 삭제합니까?	1		내 Gmail 계정을 어떻게 삭제합니까?
Gmail에 대한 스팸을 완전히 차단합니다.	4		Gmail 계정에 대한 스팸을 완전히 차단
스탠.	4		Twitter 및 Echofon 스팸
TV에서 내 비밀번호를 어떻게 변경하나요?	0		TV Tropes에서 비밀번호를 어떻게 변경합니까?
Google 북마크와 크롬 북마크 동기화가 다릅니다.	6		Google 북마크 및 Chrome 북마크 동기화-다른가요?
당신은 짜증나 지 않는 대안의 노브 등록 유형입니다.	5		짜증나 지 않는 Bugmenot (등록 우회 자) 대안?
Google 캘린더로 로테이터 토크 일정을 저장하려면 어떻게하나요?	6		RunKeeper 운동 일정을 Google 캘린더와 어떻게 동기화합니까?
새 Gmail 편지 쓰기 창에서 제목을 변경합니다.	7		새 Gmail 편지 쓰기 창에서 제목 변경
내 연결된 계정을 삭제하려면 어떻게하나요?	1		LinkedIn 계정은 어떻게 삭제하나요?
집 상태를 어떻게 백업 할 수 있습니까?	3		내 wordpress.com 호스팅 블로그를 어떻게 백업 할 수 있습니까?
구글 검색 엔진 대안.	5		Google 검색 엔진 대안
