sentence	label	missing	target
녹색 눈 arya 여전히 경주 rc.	1		Garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
나는 garching에서 odeonsplatz로 여행하고 싶다.	1		garching에서 odeonsplatz로 여행하고 싶습니까?
다음 버스 보여줘.	0		Garching에서 다음 버스를 보여줘!
quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
다음 ufc는 언제입니다.	0		다음 u6는 언제입니까?
가칭에서 가칭으로 어떻게 갈 수 있습니까?	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
가칭에서 그 똥을 잃어 버리는 버스가 있는가?	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
나는 그녀와 그녀의 두 번의 시도 아파트에서 연결이 필요합니다.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
나는 즐겁게해야합니다.	1		나는 9시에 Garching에 있어야합니다
다음 열차는 언제 forschungszentrum에서 출발합니까?	0		다음 열차는 언제 출발합니까?
가칭에서 식사 준비까지 어떻게 할 수 있습니까?	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
2 월 사이에 가장 빠른 연결을 해주실 수 있나요?	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
다음 버스는 언제 중앙역에서 출발합니까?	0		다음 버스는 언제 중앙역에서 출발합니까?
보너 플라 츠에서가는 방법.	1		bonnerplatz에서 freimann까지가는 방법
자동차 USB에서 고소 된 neuperlach에서 가능한 빨리 어떻게 얻을 수 있습니까?	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
오후 2시에 올림푸스와 학교에서 연결을 찾을 수 있습니까?	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
.	1		quiddestraße에 어떻게 가나 요?
그것을 증명하기 위해 garching에서 얻는 방법.	1		garching에서 perlach로 이동하는 방법?
매튜에서 오는 다음 버스를 보여줘.	0		michaelibad에서 다음 버스를 보여줘.
가칭에서 점심까지 어떻게 할 수 있습니까?	1		Garching에서 münchner freiheit로 최대한 빨리 갈 수있는 방법은 무엇입니까?
다음 지하철은 언제 odeonsplatz에서 출발합니까?	0		다음 지하철은 언제 odeonsplatz에서 출발합니까?
언제.	0		quiddestraße에서 버스가 언제예요?
Garching에서 다음 기차는 언제입니다.	0		가칭에서 다음 기차가 언제 야
디렉토리에서 멜버른에 어떻게 갈 수 있습니까?	1		Garching에서 milbertshofen에 어떻게 갈 수 있습니까?
다음 열차는 언제 출발합니까.	0		다음 열차는 언제 출발합니까?
21로 프로모션을받는 방법.	1		untere strassäcker 21에서 frötmaning으로 이동하는 방법
모과 나무에서 어떻게 금세 공인에게 갈 수 있습니까?	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
기차가 언제 가칭으로 떠나는가.	0		차가 언제 출발합니까?
오후 1 시부 터 광고를 켭니다. garching forschungszentrum에서 연결을 검색 할 수 있습니다.	1		오후 1시에 hauptbahnhof에 있어야합니다. garching forschungszentrum에서 연결을 검색 할 수 있습니까?
forschungszentrum에서 odeonsplatz까지 어떻게 갈 수 있습니까?	1		garching, forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
다음 버스는 언제 출발합니까?	0		다음 버스가 Garching forschungszentrum에서 언제 출발합니까?
올림피아 회의실 팬은 어떻게 켜야하나요.	1		Olympia einkaufszentrum에서 Hauptbahnhof까지 어떻게 가나 요?
노이 펠라 크 증후군에서 오후 3시에 인사하는 기차가 있습니까?	1		neuperlach zentrum에서 오후 3시에 Garching까지 기차가 있습니까?
