sentence	label	missing	target
우분투에 1 만에서 2 천 5 백 2W 레이저 프린터를 어떻게 설치할 수 있습니까?	1		Ubuntu에 Pantum 2502W 레이저 프린터를 설치하려면 어떻게해야합니까?
내 화면을 녹화하는 방법.	4		내 화면을 녹화하는 방법?
우분투 자동 종료에 어떤 그래픽 유틸리티를 사용할 수 있습니까?	2		Ubuntu 자동 종료에 사용할 수있는 그래픽 유틸리티는 무엇입니까?
어떻게 종료를 활성화 할 수 있습니까?	2		종료 세부 정보를 활성화하려면 어떻게해야합니까?
x 세션 후 컴퓨터를 종료하는 방법.	2		Xsession이 종료 된 후 컴퓨터를 종료하는 방법은 무엇입니까?
이천 일레븐에서 우분투에 사용할 수있는 새로운 게임은 무엇입니까?	3		2011 년에 Ubuntu에서 사용할 수있는 새로운 게임은 무엇입니까?
암호 생성기를 추천 해 주시겠습니까?	3		암호 생성기를 추천 할 수 있습니까?
사용 가능한 스크린 샷 도구	3		어떤 스크린 샷 도구를 사용할 수 있습니까?
코니카 용 드라이버를 어떻게 설치하나요?	1		Konica Minolta 200 용 드라이버는 어떻게 설치합니까?
우분투에서 HP 프린터 스캐너를 설정하는 방법.	1		우분투에서 HP 프린터 / 스캐너를 설정하는 방법은 무엇입니까?
canon lbp를 nine zero zero에 설치하는 방법 14 점 제로 4 LTS에서 프린터를 lbp 2 천구 백팔 십일에 대한 방법을 시도했습니다.	1		14.04 LTS에 Canon LBP2900B 프린터를 설치하는 방법은 무엇입니까? LBP2900에 대한 방법을 시도했지만 작동하지 않았습니다.
시동 디스크를 사용하여 12 점 0 점 4 점에서 12 점 1 점점 0 점을 만듭니다.	0		시동 디스크를 사용하여 12.04를 12.10으로 업그레이드
예를 강조 표시하거나 주석을 달려면 어떻게해야합니까?	4		PDF를 강조 표시하거나 주석을 달 수 있습니까?
PDF에서 bedford 이미지를 추출합니다.	3		PDF에서 포함 된 이미지 추출
캐논 mp 오백 육십 우분투 15 점 제로 4를 설치하십시오.	1		Canon MP560 Ubuntu 15.04 설치
12 점 0 사육 십사 비트를 만듭니다.	0		12.04 64 비트로 업그레이드
우분투 용 유선 계산기가 필요합니다.	3		Ubuntu 용 명령 줄 계산기가 있습니까?
빨리 당신에게 넘겨진 것.	3		오디오 / 비디오를 빠르게 자르기 위해 사용하는 것
HP c 400 프린터를 무선으로 설정하려면 어떻게합니까?	1		HP C4140 프린터를 무선으로 설정하려면 어떻게합니까?
터미널을 통해 ubuntu nine point one zero에서 12 point one zero로 업그레이드하는 방법.	0		터미널을 통해 Ubuntu 9.10을 12.10으로 업그레이드하는 방법은 무엇입니까?
제 의뢰인에게 갈까요?	3		좋은 MongoDB GUI 클라이언트는 무엇입니까?
종료 문제를 어떻게 해결합니까?	2		종료 문제를 어떻게 해결합니까?
mobi 파일을 읽는 응용 프로그램이 있습니까?	3		mobi 파일을 읽기위한 응용 프로그램이 있습니까?
5/8 nine zero z 및 네트워크 프린터에 형제 MFC를 설치하는 방법.	1		Brother MFC-5890CN 네트워크 프린터를 설치하는 방법은 무엇입니까?
파란색 2 개의 14 점 0 4에서 15 점 0 4를 만듭니다.	0		Ubuntu 14.04에서 15.04로 업그레이드
우분투 16 0 4의 종료 문제.	2		Ubuntu 16.04의 종료 문제
추가 질문없이 종료합니다.	2		추가 질문없이 종료
IRC 클라이언트를 사용할 수있을 때.	3		어떤 IRC 클라이언트를 사용할 수 있습니까?
특정 시간 후에 시스템을 자동으로 종료하려면 어떻게해야합니까?	2		특정 시간 후에 시스템을 자동으로 종료하려면 어떻게해야합니까?
종료 할 키보드 단축키가 있습니까?	2		종료 할 수있는 키보드 단축키가 있습니까?
12 포인트 0 포 LTS에서 13 제로 4로 업그레이드 할 가치가 있습니다.	0		12.04 LTS에서 13.04로 업그레이드 할 가치가 있습니까?
명령 줄에 대한 토렌트 클라이언트.	4		명령 줄용 토렌트 클라이언트?
LG g 2는 무엇입니까?	3		MySQL GUI 도구
panasonic 및 one nine zero zero 용 드라이버를 설치하여 올인원 프린터 스탠드.	1		Panasonic MB1900CX 올인원 프린터 / 스캐너 용 드라이버를 설치하려면 어떻게합니까?
키보드를 사용하여 어떻게 PC를 종료 할 수 있습니까?	2		키보드를 사용하여 PC를 종료하려면 어떻게해야합니까?
11 점 4 점에서 12 점 4 점 4 윈 사자로 업데이트합니다.	0		LiveCD로 11.04에서 12.04로 업데이트
우분투 10 점 1 점 0 점에서 4 점으로 업그레이드하는 방법.	0		Ubuntu 10.10에서 11.04로 업그레이드하는 방법은 무엇입니까?
우분투에서 업그레이드하는 방법 15 점 제로 사 투사.	0		우분투 15.04에서 15.10으로 업그레이드하는 방법?
어떤 과학적 플로팅 소프트웨어를 사용할 수 있는지.	3		어떤 과학적 플로팅 소프트웨어를 사용할 수 있습니까?
어떤 프로그램을 사용할 수 있지만 PDF 파일입니다.	3		PDF 파일을 편집하는 데 사용할 수있는 프로그램은 무엇입니까?
우분투에서 사용할 수있는 개발자 텍스트 편집기	3		Ubuntu에 사용할 수있는 개발자 텍스트 편집기는 무엇입니까?
문제가있을 때 11 점 1 점에서 1 점 1 점 4 점으로 업그레이드하는 방법.	0		문제가있을 때 11.10에서 12.04로 업그레이드하는 방법은 무엇입니까?
우분투 서버에서 USB를 통해 연결된 프린터에서 무선 인쇄를 설정하는 방법.	1		Ubuntu Server 12.10에서 USB를 통해 연결된 프린터에서 무선 인쇄를 설정하는 방법은 무엇입니까?
사용자가 로그온 할 때 컴퓨터를 종료하는 방법.	2		사용자가 로그온 할 때 컴퓨터를 종료하는 방법은 무엇입니까?
특정 시간 후 종료.	2		일정 시간 후 종료
종료하는 방법의 적절한 용어는 무엇입니까?	2		종료하는 데 적절한 터미널 방법은 무엇입니까?
웹 서버를 모니터링하기 위해 어떤 도구를 사용합니까?	3		웹 서버를 모니터링하기 위해 어떤 도구를 사용합니까?
암호 관리 응용 프로그램.	3		암호 관리 응용 프로그램?
그리고 diy 라이온스가 추천을합니다.	3		UPNP / DLNA (클라이언트) 플레이어 권장 사항?
내가 무엇을하든 ubuntu 15 point zero four는 HP 레이저젯을 인식하지 못합니다.	1		내가 무엇을하든 Ubuntu 15.04는 HP LaserJet 1020을 인식하지 못합니다.
우분투 전화를 업그레이드하는 방법.	0		Ubuntu 14.04.1을 14.04.2로 업그레이드하는 방법은 무엇입니까?
larkin st에서 종료.	2		로그인 화면에서 종료하는 단축키?
이미지를 빠르게 자르는 가벼운 도구가 있습니까?	3		이미지를 빠르게 자르는 간단한 도구가 있습니까?
