sentence	label	missing	target
how can I install a laser printer. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
record my screen. 	4		How to record my screen?
 	2		What graphical utility can I use for Ubuntu auto shutdown?
how can I enable. 	2		How can I enable shutdown verbosity?
how to shutdown the computer after. 	2		How to shutdown the computer after Xsession ends?
 	3		What new games are available for Ubuntu in 2011?
can you recommend a password generator. 	3		Can you recommend a password generator?
screenshot. 	3		What screenshot tools are available?
how do I install. 	1		How do I install drivers for a Konica Minolta 200?
how to setup HP printer scanner. 	1		How to setup HP printer/scanner on ubuntu?
how to install Canon 2900 printer in 14.04 LTS. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
upgrade 12.04 to 12.30 using startups. 	0		Upgrade 12.04 to 12.10 using startup disk
can I highlight or annotate PDF. 	4		How can I highlight or annotate PDFs?
TDS. 	3		Extracting embedded images from a PDF
install Canon mp560. 	1		Install Canon MP560 Ubuntu 15.04
12.04 64-bit. 	0		Upgrade to 12.04 64 bit
command line calculator. 	3		Any command line calculator for Ubuntu?
audio video. 	3		What to use to quickly cut Audio/Video
how do I setup my HP 4100. 	1		How do I setup my HP C4140 printer wirelessly?
upgrade 12.10 terminal. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
what is a good manga. 	3		What is a good MongoDB GUI client?
how do I fix a shutdown problem. 	2		How do I fix a shutdown problem?
is there an application for reading Mobi files. 	3		Is there an application for reading mobi files?
how to install a network printer. 	1		How to install a Brother MFC-5890CN network printer?
upgrade 14.04 to 15.04. 	0		Upgrading from Ubuntu 14.04 to 15.04
shutdown 16.04. 	2		Shutdown problem in Ubuntu 16.04
shut down. 	2		shut down without extra question
what IRC clients are available. 	3		What IRC clients are available?
how can I automatically. 	2		How can I automatically shutdown the system after a specific time?
 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth upgrading from 12.04 LTS to 13.04. 	0		Is it worth upgrading from 12.04 LTS to 13.04
 	4		Torrent client for the command-line?
 	3		MySQL GUI Tools
how do I install drivers for the Panasonic all-in-one printer scanner. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
keyboard. 	2		How can one shutdown a PC using the keyboard?
update 11.04 to 12.04 with live CD. 	0		Update 11.04 to 12.04 with LiveCD
how to upgrade. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
how to upgrade. 	0		how to upgrade from ubuntu 15.04 to 15.10?
what scientific plotting software is available. 	3		What scientific plotting software is available?
which program can I use to edit PDF files. 	3		Which programs can I use to edit PDF files?
develop. 	3		What developer text editors are available for Ubuntu?
upgrade from 11 to 12. 	0		How to Upgrade from 11.10 to 12.04 when you've got a problem?
how to set up wireless printing from a connected via USB. 	1		How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
how to shutdown computer. 	2		How to shutdown computer when users are logged on?
