sentence	label	missing	target
내가 어떻게 설치하고 당신에게 챔피언 레이저 프린터를 5까지 설치할 수 있습니까?	1		Ubuntu에 Pantum 2502W 레이저 프린터를 설치하려면 어떻게해야합니까?
내 화면을 기록하는 방법.	4		화면을 어떻게 녹화하나요?
그래픽 적으로 유틸리티 캐나다인은 무엇입니까?	2		Ubuntu 자동 종료에 사용할 수있는 그래픽 유틸리티는 무엇입니까?
보스니아 종료를 어떻게 활성화 할 수 있습니까?	2		종료 상세 정보를 활성화하려면 어떻게해야합니까?
그것은 원정 후 컴퓨터를 종료합니다.	2		Xsession이 종료 된 후 컴퓨터를 종료하는 방법은 무엇입니까?
reuben julian 이십 일레븐에 대한 새로운 게임처럼.	3		2011 년에 Ubuntu에서 사용할 수있는 새로운 게임은 무엇입니까?
암호 생성기를 권장합니다.	3		암호 생성기를 추천 할 수 있습니까?
어떤 스크린 족쇄를 사용할 수 있는지.	3		어떤 스크린 샷 도구를 사용할 수 있습니까?
콘티넨탈 용 드라이버를 200 개까지 설치했습니다.	1		Konica Minolta 200 용 드라이버는 어떻게 설치합니까?
어떻게 h를 추가합니까? 피. 프린터 스캐너가 날아갔습니다.	1		우분투에서 HP 프린터 / 스캐너를 설정하는 방법은 무엇입니까?
후보 델타 900 억 레바논 파운드 프린터를 14 포인트 제로 4에 설치하는 방법 a. 내가 이천 구백 레바논 파운드에 대한 방법을 시도했지만 작동하지 않았습니다.	1		14.04 LTS에 Canon LBP2900B 프린터를 설치하는 방법은 무엇입니까? LBP2900에 대한 방법을 시도했지만 작동하지 않았습니다.
시작을 사용하여 12 점 0 점 4 점을 12 점 1 점 0 점으로 업그레이드합니다.	0		시동 디스크를 사용하여 12.04를 12.10으로 업그레이드
내가 어떻게 강조하거나 안티 피티 엉덩이를 할 수 있니?	4		PDF를 강조 표시하거나 주석을 달 수 있습니까?
p에서 나이에 박힌 추출. yaffe.	3		PDF에서 포함 된 이미지 추출
설치 대포 및 p. 오백 육십이 보온에서 15 포인트 제로 사로.	1		Canon MP560 Ubuntu 15.04 설치
12 포인트 제로 사육사 일을 업그레이드했습니다.	0		12.04 64 비트로 업그레이드
계산기에 누워있는 모든 명령은 검소하게 수행합니다.	3		Ubuntu 용 명령 줄 계산기가 있습니까?
웬디가 오디오 비디오를 빠르게 잘라냅니다.	3		오디오 / 비디오를 빠르게 자르기 위해 사용하는 것
내 나이 PC에 4 천백 40 프린터 와이어 레슬리에 앉아 있었다면.	1		HP C4140 프린터를 무선으로 설정하려면 어떻게합니까?
pat은 터미널을 통해 2 개의 9 점 1 점 0 점 12 점 1 점 0 점으로 업그레이드되었습니다.	0		터미널을 통해 Ubuntu 9.10을 12.10으로 업그레이드하는 방법은 무엇입니까?
좋은 모델 디 디 쿠웨이트 비행 무엇입니까.	3		좋은 MongoDB GUI 클라이언트는 무엇입니까?
내가 셧다운 문제를 생각했었다	2		종료 문제를 어떻게 해결합니까?
moby 파일을 읽는 응용 프로그램이 있습니까?	3		mobi 파일을 읽기위한 응용 프로그램이 있습니까?
med c five eight nine as c에 형제를 설치하는 방법. 엔. 네트워크 프린터.	1		Brother MFC-5890CN 네트워크 프린터를 설치하는 방법은 무엇입니까?
런던에서 14 점 4 점으로 15 점 0 점 4 점으로 업그레이드했습니다.	0		Ubuntu 14.04에서 15.04로 업그레이드
