sentence	label	missing	target
Garching forschungszentrum에서 커트까지 어떻게 가나 요?	1		Garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
나는 garching에서 odeonsplatz로 여행하고 싶다.	1		garching에서 odeonsplatz로 여행하고 싶습니까?
가칭에서 다음 버스를 보여주세요.	0		Garching에서 다음 버스를 보여줘!
quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
다음 u 6은 언제입니다.	0		다음 u6는 언제입니까?
가칭에서 가칭으로 어떻게 갈 수 있습니까?	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
Garching에서 약 5 번까지가는 버스가 있습니까?	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
여기 오전 8시에 파리에서 이전 계획으로 연결이 필요합니다.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
9시에 가칭해야 해요.	1		나는 9시에 Garching에 있어야합니다
다음 열차는 언제 forschungszentrum에서 출발합니까?	0		다음 기차는 언제 출발합니까?
Garching에서 멜버른까지 어떻게 갈 수 있나요?	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
모든 tidur에서 우리 사이의 가장 빠른 연결을 해주실 수 있습니까?	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
다음 버스는 언제 중앙역에서 출발합니까?	0		다음 버스는 언제 중앙역에서 출발합니까?
보너 플라 츠에서 튀기는 방법.	1		bonnerplatz에서 freimann까지가는 방법
neuperlach centrum에서 carl 's platz까지 어떻게 가능한 한 빨리 갈 수 있습니까?	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
올림피아 센터에서 오후 2 시까 지 연결을 찾을 수 있습니까?	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
