sentence	label	missing	target
how can i install a random two five two w laser printer on ubuntu. 	1		How can I install a Pantum 2502W laser printer on Ubuntu
how to record my screen. 	4		How to record my screen?
what graphical utility can i use for ubuntu auto shutdown. 	2		What graphical utility can I use for Ubuntu auto shutdown?
how can i enable shutdown berbau city. 	2		How can I enable shutdown verbosity?
how to shutdown the computer after expression errands. 	2		How to shutdown the computer after Xsession ends?
what new games are available for ubuntu in two thousand eleven. 	3		What new games are available for Ubuntu in 2011?
can you recommend a password generator. 	3		Can you recommend a password generator?
what screenshot tools are available. 	3		What screenshot tools are available?
how do i install drivers for a konica to two hundred. 	1		How do I install drivers for a Konica Minolta 200?
how to setup HP printer scanner on ubuntu. 	1		How to setup HP printer/scanner on ubuntu?
how do i install canon two thousand nine hundred billion lebanese pounds printer in fourteen point zero four LTS i tried the method for two thousand nine hundred lebanese pounds but i didn't work. 	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
upgrade twelve point zero four to twelve point one zero using startup disk. 	0		Upgrade 12.04 to 12.10 using startup disk
how can i highlight or annotate PDF. 	4		How can I highlight or annotate PDFs?
extracting embedded images from a PDF. 	3		Extracting embedded images from a PDF
install canon mp five hundred sixty ubuntu fifteen point zero four. 	1		Install Canon MP560 Ubuntu 15.04
upgrade to twelve point zero four sixty four bit. 	0		Upgrade to 12.04 64 bit
any command line calculator for ubuntu. 	3		Any command line calculator for Ubuntu?
what do you use to quickly cut audio video. 	3		What to use to quickly cut Audio/Video
how do i setup my HP c four thousand one hundred forty printer wirelessly. 	1		How do I setup my HP C4140 printer wirelessly?
how to upgrade ubuntu nine point one zero to twelve point one zero via terminal. 	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
what is a good mongodb GUI client. 	3		What is a good MongoDB GUI client?
how do i fix a shutdown problem. 	2		How do I fix a shutdown problem?
is there an application for reading mobi files. 	3		Is there an application for reading mobi files?
how do i install a brother MFC five eight nine o see and network printer. 	1		How to install a Brother MFC-5890CN network printer?
upgrading from ubuntu fourteen point zero four to fifteen point zero four. 	0		Upgrading from Ubuntu 14.04 to 15.04
shutdown problem in ubuntu sixteen point zero four. 	2		Shutdown problem in Ubuntu 16.04
shut down without extra question. 	2		shut down without extra question
what IRC clients are available. 	3		What IRC clients are available?
how can i automatically shutdown the system after a specific time. 	2		How can I automatically shutdown the system after a specific time?
are there any keyboard shortcuts to shutdown. 	2		Are there any Keyboard Shortcuts to Shutdown?
is it worth upgrading from twelve point zero four LTS to thirteen point zero four. 	0		Is it worth upgrading from 12.04 LTS to 13.04
torrent client for the command line. 	4		Torrent client for the command-line?
may i ask you well way tools. 	3		MySQL GUI Tools
how do i install drivers for the panasonic nv one i know the axle in one printer scanner. 	1		How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?
how can one shutdown a PC using the keyboard. 	2		How can one shutdown a PC using the keyboard?
update eleven point zero four to twelve point zero four with lifestyle. 	0		Update 11.04 to 12.04 with LiveCD
how to upgrade from ubuntu ten point one zero vodafone. 	0		How to upgrade from Ubuntu 10.10 to 11.04?
how to upgrade from ubuntu fifteen point zero four the phone. 	0		how to upgrade from ubuntu 15.04 to 15.10?
what scientific plotting software is available. 	3		What scientific plotting software is available?
which programs can i use to edit PDF files. 	3		Which programs can I use to edit PDF files?
what developer text editors are available for ubuntu. 	3		What developer text editors are available for Ubuntu?
how to upgrade from eleven point one zero to twelve point zero four when you've got a problem. 	0		How to Upgrade from 11.10 to 12.04 when you've got a problem?
how to setup wireless printing from a printer connected via usb on ubuntu server phone. 	1		How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?
how to shutdown computer when users are logged on. 	2		How to shutdown computer when users are logged on?
shutdown after a certain time. 	2		Shutdown after a certain time
what is the proper terminology to shut down. 	2		What is the proper terminal-way to shutdown?
what tools do you use to monitor a web server. 	3		What tools do you use to monitor a web server?
password management applications. 	3		Password Management Applications?
up and running client player recommendations. 	3		UPNP / DLNA (client) player recommendations?
no matter what i do ubuntu fifteen point zero four does not recognize HP laserjet ten twenty. 	1		No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020
how to upgrade ubuntu phone to phone. 	0		How to upgrade Ubuntu 14.04.1 to 14.04.2?
hockey is down from login screen. 	2		Hotkey to shut down from login screen?
is there a lightweight tool to crop images quickly. 	3		Is there a lightweight tool to crop images quickly?
How can I install a Pantum 2502W laser printer on Ubuntu	1		How can I install a Pantum 2502W laser printer on Ubuntu
How to record my screen?	4		How to record my screen?
What graphical utility can I use for Ubuntu auto shutdown?	2		What graphical utility can I use for Ubuntu auto shutdown?
How can I enable shutdown verbosity?	2		How can I enable shutdown verbosity?
How to shutdown the computer after Xsession ends?	2		How to shutdown the computer after Xsession ends?
What new games are available for Ubuntu in 2011?	3		What new games are available for Ubuntu in 2011?
Can you recommend a password generator?	3		Can you recommend a password generator?
What screenshot tools are available?	3		What screenshot tools are available?
How do I install drivers for a Konica Minolta 200?	1		How do I install drivers for a Konica Minolta 200?
How to setup HP printer/scanner on ubuntu?	1		How to setup HP printer/scanner on ubuntu?
How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work	1		How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work
Upgrade 12.04 to 12.10 using startup disk	0		Upgrade 12.04 to 12.10 using startup disk
How can I highlight or annotate PDFs?	4		How can I highlight or annotate PDFs?
Extracting embedded images from a PDF	3		Extracting embedded images from a PDF
Install Canon MP560 Ubuntu 15.04	1		Install Canon MP560 Ubuntu 15.04
Upgrade to 12.04 64 bit	0		Upgrade to 12.04 64 bit
Any command line calculator for Ubuntu?	3		Any command line calculator for Ubuntu?
What to use to quickly cut Audio/Video	3		What to use to quickly cut Audio/Video
How do I setup my HP C4140 printer wirelessly?	1		How do I setup my HP C4140 printer wirelessly?
How to upgrade Ubuntu 9.10 to 12.10 via terminal?	0		How to upgrade Ubuntu 9.10 to 12.10 via terminal?
What is a good MongoDB GUI client?	3		What is a good MongoDB GUI client?
How do I fix a shutdown problem?	2		How do I fix a shutdown problem?
Is there an application for reading mobi files?	3		Is there an application for reading mobi files?
How to install a Brother MFC-5890CN network printer?	1		How to install a Brother MFC-5890CN network printer?
