sentence	label	missing	target
커트 아이스너 스트라 다에게 그를 비난하는 경비원으로부터 어떻게 얻을 수 있습니까?	1		Garching forschungszentrum에서 kurt-eisner-straße까지 어떻게 가나 요?
나는 가드 체인지 청중 흑인들로부터 여행하고 싶다.	1		garching에서 odeonsplatz로 여행하고 싶습니까?
제인 경비원의 다음 버스를 보여주세요.	0		Garching에서 다음 버스를 보여줘!
당신은 twitch에서 폭발을 찾을 수 있습니까 attila hal.	1		quiddestraße에서 lehel까지 버스를 찾을 수 있습니까?
그 다음 2 년이 언제였습니까?	0		다음 u6는 언제입니까?
가드에서 피하는 방법으로 갈 수 있습니다.	1		가칭에서 가칭으로 어떻게 갈 수 있습니까?
소나기는 빨대를 끊는 것과 흑인과의 관계입니다.	1		quiddestraße와 odeonsplatz 사이의 가장 짧은 연결은 무엇입니까?
경비원에서 소켓으로가는 버스가 약 5 개 있습니다.	1		Garching에서 Moosach까지 5시에 버스가 있습니까?
칼 프리스트가 무슈에 심은 것에 대해 여기서 연결이 필요합니다.	1		오전 8시에 harras에서 karl-preis-platz까지 연결이 필요합니다.
9시에 충전해야합니다.	1		나는 9시에 Garching에 있어야합니다
다음 기차는 언제 남쪽 중앙으로 만화에서 출발합니까.	0		다음 기차는 언제 출발합니까?
다팅에서 멜버른 어린이로 어떻게 갈 수 있습니까?	1		Garching에서 milbertshofen으로 어떻게 갈 수 있습니까?
건강에 도움이되는 트 위치에서 버스를 탈 수 있습니까?	1		quiddestraße에서 hauptbahnhof까지 버스를 탈 수 있습니까?
더 나아가 strossen al-qaeda 사이의 가장 빠른 연결을 주시겠습니까?	1		brudermühlstraße와 alte heide를 가장 빠르게 연결해 주시겠습니까?
헛간 집에서 다음 버스가 떠날 때.	0		다음 버스는 언제 중앙역에서 출발합니까?
fryman에 적용된 bonney에서 얻는 방법.	1		bonnerplatz에서 freimann까지가는 방법
새로운 진주 호수에서 칼의 식물까지 가능한 한 빨리 어떻게 갈 수 있습니까?	1		가능한 한 빨리 neuperlach zentrum에서 karlsplatz로 이동하려면 어떻게해야합니까?
올림피아드 센터에서 오후 2시에 지옥까지 연결을 찾을 수 있습니까?	1		오후 2시에 olympiazentrum에서 lehel까지의 연결을 찾을 수 있습니까?
신뢰를 어떻게 해소 할 수 있습니까?	1		quiddestraße에 어떻게 가나 요?
나는 tupper 호수를 지키고있다.	1		garching에서 perlach로 이동하는 방법?
저것에서 다음 버스를 보여주세요.	0		michaelibad에서 다음 버스를 보여줘.
그리고 나는 가능한 한 빨리 프랭클린 근처에서 마음을 다트에서 얻습니다.	1		Garching에서 münchner freiheit로 최대한 빨리 갈 수있는 방법은 무엇입니까?
다음 단계 숙녀가 오데 온 표시에서 헤어질 때.	0		다음 지하철은 언제 odeonsplatz에서 출발합니까?
klensch의 밴드가 언제 그립니다.	0		quiddestraße에서 버스가 언제예요?
다팅에서 다음 열차에있을 때.	0		가칭에서 다음 기차가 언제 야
가드 징에서 희미한 멜버른 쇼에 어떻게 갈 수 있습니까?	1		Garching에서 milbertshofen에 어떻게 갈 수 있습니까?
다음 열차는 언제 출발합니까.	0		다음 열차는 언제 출발합니까?
스트라우스 앵커 스물은 많은 사람들을 튀기고 싶어합니다.	1		untere strassäcker 21에서 frötmaning으로 이동하는 방법
금색 새총을 앞쪽으로 가져 가려면 어떻게해야하나요?	1		quiddestraße에서 boltzmannstraße까지 어떻게 가나 요?
카팅에서 기차가 떠났을 때.	0		차가 언제 출발합니까?
1pm 작은 철갑 상어가 연결하는 방법의 의무에서 임시로 4 센트를 보호합니다.	1		오후 1시에 hauptbahnhof에 있어야합니다. garching forschungszentrum에서 연결을 검색 할 수 있습니까?
청중 계획의 Darting Force John Center에서 어떻게 얻을 수 있습니까?	1		garching, forschungszentrum에서 odeonsplatz까지 어떻게 가나 요?
