sentence	label	missing	target
I want. 	3		I want to hear some The Roches
 	4		Rate the current essay 4 stars
 	4		rate the current chronicle five stars
play. 	3		Play Noctámbulo playlist
Play-Doh from the 90s. 	3		Play ep from Quasimoto from the nineties
 	4		rate Girls Forever Brave and True zero points
Jonathan Electronics playlist. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top 20 40s movement music. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
 	5		Find The Boys in the Band.
 	1		at 4 am book a bar in the spa in Shamrock for eight
book me a table for me and my nephew near my location. 	1		Book me a table for me and my nephew near my location at an indoor pub
play some music on CVO oq. 	3		Play some nineties music on Zvooq
show me half a life. 	5		Show me Half a Life
read the princess. 	4		rate The Princess Mouse: A Tale of Finland one of 6
Magic Johnson theaters. 	6		find films at Magic Johnson Theatres
is there any hail in Monterey Bay National Marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
CIA World Factbook. 	4		Rate CIA World Factbook five out of 6 stars
current position. 	2		What will the weather by close by the current position at 02:02:30?
Find me the movie theaters. 	6		Find me the movie schedules at Fox Theatres
is the weather going to be colder in to you in 11 years. 	2		Is the weather going to be colder in GU in 11 years 
where can I watch the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
 	0		add artist brenda k starr to frescura indie
The Voyage of the Dawn Treader deserves five-point. 	4		The Voyage of the Dawn Treader deserves 5 points.
behind closed doors. 	5		Look for the novel Behind closed doors
will it be warmer in. 	2		Will it be warmer in Minidoka OK on good friday?
 	4		This current book deserves 1 points
 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of Outlaws nearest movie house. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
romantic playlist. 	0		Add another song to the Cita Romántica playlist. 
I want to hear some. 	3		I want to hear some psychedelic rock
will it be. 	2		Will it be foggy here?
play some eighties movement music. 	3		Play some eighties movement music
I want the original recording. 	5		I want to watch The Original Recordings
find Finally Famous. 	5		find Phinally Phamous
show movie times now. 	6		show movie times now
the fire in the winter future hits playlist. 	0		Add the fire and the wind to my Digster Future Hits playlist.
 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by Gladys Knight. 	3		Play the newest music by Gladys Knight
Journal of the society for American music. 	5		find Journal of the Society for American Music
Sixpoint. 	4		rate the book The Devil in Velvet 4 out of 6 points
shooting stars the current object. 	4		using stars the current object gets four for the textbook out of 6
I need a reservation in Jamaica in 18 seconds. 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
shq. 	5		Find Ek Boond Ishq.
play some music by mutlu. 	3		Play some music by Mutlu
show creativity. 	5		show creativity of Accident Analysis & Prevention
 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
play the video game. 	5		Where do I play the video game The Wild Geese?
Resurrection. 	5		Find Resurrection of Evil.
 	4		this horrible essay gets zero out of 6 stars
show me URL. 	5		Show me KurdishMedia.com
the highly rated. 	1		book a highly rated bar in Burkina for georgia and I
 	6		When is Twentynine Palms playing at Plitt Theatres?
play soundtrack by Benjamin Dube. 	3		play a new soundtrack by Benjamin Darvill on Groove Shark
 	1		Need book a restaurant for this Autumn in Illinois
 	0		Add Rattus at the Roundhouse to my funk playlist.
let me know what animated movies are playing around here. 	6		Let me know what animated movies are playing around here.
Sixpoint. 	4		rate the current chronicle series 4 out of 6 points
play me a 1957 EP. 	3		Play me a 1957 ep
what's the forecast for little silver. 	2		What's the forecast for Little Silver
girl. 	4		rate the book A Girl, a Man, and a River a five
the American Journal of sports medicine picture. 	5		Find the American Journal of Sports Medicine picture
what animated movies are playing nearby. 	6		What animated movies are playing nearby right now?
 	5		Find Stays in Mexico.
playlist. 	0		Put this track from The Edge on my funk soul disco playlist
play some psychedelic music. 	3		Play some psychadelic music.
my indietronica playlist. 	0		add the artist to my indietronic playlist
soundtrack. 	5		Please look up Two More Years soundtrack.
tell me the weather forecast for France. 	2		Tell me the weather forecast for France
highly rated. 	1		book me a reservation at a highly rated tavern in Hornersville
what is the forecast for freezing weather here. 	2		what is the forecast for freezing weather here
animated movies. 	6		find Regal Entertainment Group animated movies
play the video game the Sparrow. 	5		play the video game The Sparrow
table for six weeks at a restaurant. 	1		I'd like a table for six in nine weeks at a restaurant in Tokelau
crowd roars. 	5		find the book The Crowd Roars
what is the weather. 	2		What is the weather looking like in Prosser on feb. the 18th?
my romantic evening playlist. 	0		add robyn hitchcock to my romantic evening playlist
the nightmare 6 hours from the nearest cinema. 	6		Find the schedule for The Nightmare six hours from now at the nearest cinema.
Best Man Holiday. 	5		Find The Best Man Holiday saga
spot for nine at a top rated. 	1		book a spot for nine at a top-rated brasserie that has swiss within the same area of New York
please find the novel. 	5		Please find the novel, Good Doctor
play some music from. 	3		Play some music from Victor Kunonga.
song to my playlist name. 	0		add this song to my playlist named Britpop, etc
can you show me movie times. 	6		I want to see The Happy Thieves at Marcus Corporation, can you show me movie times.
show creativity. 	5		show creativity Cum On Feel the Noize the video game
 	0		Add song to my underground hits
will it be stormy. 	2		Will it be stormy in MA
06 point. 	4		Give Hornblower in the West Indies 0 / 6 points
please look for catch a falling star. 	5		Please look for Catch a Falling Star
tell me the weather forecast for Molina Washington. 	2		Tell me the weather forecast for Molino, Washington
play 90s. 	3		Play nineties
 	0		put take up thy stethoscope and walk onto my verano playlist
is the expected weather temperature here in 1 month. 	2		Is the expected weather temperate here in 1 month
