sentence	label	missing	target
나는 합계가 발생하고 싶다.	3		Roches 좀 듣고 싶어
광선 대 전류는 우리에게 힘이 있습니다.	4		현재 에세이 평가 별 4 개
레이 투 카르멘 르네 석탄은 우리를 발사합니다.	4		현재 연대기 별 5 개 평가
이중 고래 잡이에 누워.	3		Noctámbulo 재생 목록 재생
90 년대의 그럴듯한 지식에서 벗어나	3		90 년대 Quasimoto의 EP 재생
레이 걸즈는 제로 라인을 통해 영원히 뻔뻔 스럽습니다.	4		Girls Forever Brave 및 True 0 점 평가
존은 내 딜러 로니가 느슨해졌습니다.	0		내 Indie Electronics 재생 목록에 Jonathan Arons 추가
24 타이어 운동 음악 난 무하마드 각성 c ..	3		Mohammad Reza Lotfi의 상위 20 대 운동 음악을 재생합니다.
변호사는 그렇지 않습니다.	5		밴드에서 소년을 찾으십시오.
외국 우리 뉴스 새로운 사무라이 a.	1		오전 4시에 Shamrock의 스파에서 8 인용 바 예약
나와 내 조카의 왕실 반역과 다른 문을위한 새로운 날.	1		내 위치 근처의 실내 펍에서 나와 조카를위한 테이블 예약
연락 90 년대 노새는 시간이 lou입니다.	3		Zvooq에서 90 년대 음악 재생
그래서 우리는 거짓말 쟁이를해야합니다.	5		반쯤 보여줘
핀란드의 대부분의 이야기를 재평가하는 레이는 패배자를 이겼습니다.	4		The Princess Mouse : A Tale of Finland 6 개 중 하나
존슨 극장에 남자를 채 웁니다.	6		Magic Johnson Theatres에서 영화 찾기
몬테레이 베이 국립 해양 보호 구역에 흔적이 있습니까?	2		Monterey Bay National Marine Sanctuary에 우박이 있습니까?
레이 시아 월드는 6 시간의 영역을 발사합니다.	4		CIA World Factbook 별 6 개 중 5 개 평가
집에서 현재 위치로 날씨 높은 벽은 무엇입니까?	2		02:02:30 현재 위치에서 가까운 날씨는 어떻습니까?
훌륭한 수잔 영화 줄스 안티 극장.	6		Fox Theatres의 영화 스케줄 찾아 줘
덜 추워 질 것이고 11 년 후에 당신을 보게 될 것입니다.	2		11 년 후 GU의 날씨가 더 추워 질까요
홀만 경제학을위한 예고편은 허용되지 않습니다.	5		가정 경제 트레일러는 어디에서 볼 수 있습니까?
예술은 우리가 염두에 두어야 할 나무 주위에 있습니다.	0		frescura indie에 아티스트 brenda k starr 추가
보물의 항해는 5 점을받을 가치가 있습니다.	4		Dawn Treader의 항해는 5 점을받을 자격이 있습니다.
또는 벽 문 뒤에 네 번째 소설.	5		닫힌 문 뒤의 소설을 찾아보세요
돈이 더 따뜻해지면 좋은 금요일에 갈 것입니다.	2		좋은 금요일에 Minidoka OK에서 더 따뜻할까요?
이 외화는 한 명의 한국인을 보유합니다.	4		이 현재 책은 1 점을받을 자격이 있습니다.
나는 더 많은 프랜시스 헬륨 murai vive les 잃었다.	0		Rockin 'Vibes 플레이리스트에서 더 많은 Francis Healy를 원합니다.
그래서 당신은 우리 법의 보석이 우리 시청자들이 오전 5시에 영화관을 찍습니다.	6		오전 5시에 가장 가까운 영화관에서 고르의 무법자 일정을 보여줘.
고리 대금이 날아가는 손실이라고 말씀 해주세요.	5		TV 시리즈 A Mouse Divided 검색을 도와주세요.
삼나무 로맨스 고래 잡이를위한 또 다른 노래.	0		Cita Romántica 재생 목록에 다른 노래를 추가하십시오.
정말 건조한면을 선택하고 싶어요.	3		사이키델릭 록을 듣고 싶어
저 범인을 봤어요.	2		여기에 안개가 끼겠습니까?
연락 여자 운동 새로운 패자.	3		80 년대 운동 음악 재생
나는 당신의 원래 보고서 시리즈에 거짓말을하고 싶습니다.	5		The Original Recordings를보고 싶습니다
파인 슈타인 엘리 샘.	5		Phinally Phamous 찾기
그래서 영화 시간은 아닙니다.	6		지금 영화 시간보기
불을 잃고 왜 일이 너무 빨리 플레이 할 수 없는지.	0		내 Digster Future Hits 재생 목록에 불과 바람을 추가하십시오.
나는 거절하는 식당을 예약했습니다.	1		오하이오에서 컵 케이크를 제공하는 레스토랑 예약이 필요합니다
레이저 최신 노새 또는 지금 쯤입니다.	3		Gladys Knight의 최신 음악 재생
미국 음악 사회의 훌륭한 저널.	5		미국 음악 협회 저널 찾기
직원에게 벨벳 네 올리브는 변호사입니다.	4		The Devil in Velvet 4의 6 점 만점에 평가
Newsies taras 선생님의 임대를 위해 현재 댄스 플로어.	4		별을 사용하여 현재 개체는 6 개 중 교과서에 대해 4 개를 얻습니다.
나는 종종 사용자 톤을 배치하는 예약입니다.	1		18 초 안에 자메이카의 Berghoff 예약이 필요합니다
좋은 날 패자.	5		Ek Boond Ishq를 찾으십시오.
연락 노새 또는 나는 길다.	3		Mutlu의 음악 재생
그래서 우리는 몇 년 동안 사고 분석과 강이 없습니다.	5		사고 분석 및 예방의 창의력 발휘
Ray to philosophic on Jose Rounds 뮤직 스타.	4		The Philosophic Thought of Ayn Rand을 별 6 개 중 3 개 평가
맷 딜런이 안부를 전한 이유가 바로 젊은이가 필요합니다.	1		미크로네시아의 바에서 tia, madeline, estela를 위해 테이블을 예약해야합니다.
내가 사용할 영혼을 봉인하기 위해 레이저는 어디에 있습니까?	5		비디오 게임 The Wild Geese는 어디에서 플레이합니까?
디젤의 부활을 찾으십시오.	5		악의 부활을 찾으십시오.
차 6 대 중 0 대가 훨씬 적습니다.	4		이 끔찍한 에세이는 별 6 개 중 0 점을 얻습니다.
그래서 우리는 유로입니다.	5		KurdishMedia.com 표시
높은 등급의 r. 균일 한 도라 존스 눈으로.	1		부르 키나에서 조지아와 나에 대한 높은 등급의 바 예약
스물 아홉 개의 손바닥 놀이가 언제인가?	6		Twentynine Palms는 언제 Plitt Theatres에서 공연하나요?
벤자민 서머 빌의 새로운 노래 시도 규칙이 있습니다.	3		Groove Shark에서 Benjamin Darvill의 새 사운드 트랙 재생
일리노이에있는 그녀의 레스토랑.	1		일리노이에서 올 가을 레스토랑 예약 필요
래디슨에서 잘못된 집을 삶에 느슨하게 눕혔습니다.	0		Roundhouse에서 Rattus를 내 펑크 재생 목록에 추가합니다.
여기에 어떤 애니메이션 영화가 놓여 있는지 알고 있습니다.	6		여기에서 어떤 애니메이션 영화가 상영되는지 알려주세요.
Ray to Carmen 연대기 시리즈는 모두 여섯 명의 변호사입니다.	4		현재 연대기 시리즈 6 점 만점에 4 점 평가
월리와 나는 6 월에 암살자를 자백했습니다.	3		1957 년 EP 재생
리틀 실버에 대한 예측은 어떻습니까?	2		리틀 실버에 대한 예측은 어떻습니까
미주리 크기의 소녀에게 레이.	4		책 A Girl, a Man, a River a 5 등급
봉사 할 미국 저널이나 스내치를 찾으십시오.	5		American Journal of Sports Medicine 사진 찾기
어떤 애니메이션 영화가 고층에 놓이는 지 알고 있습니다.	6		지금 근처에서 상영중인 애니메이션 영화는 무엇입니까?
