sentence	label	missing	target
mental her in his or ten. 	5		Mint alternatives for Canada
niceties moya who calendar with new calendar. 	6		How can I sync my Yahoo! Calendar with Google Calendar?
do i believe my roots to say into homes. 	1		How do I delete my Experts Exchange account?
alternatives to rule livor fi jurors. 	5		Alternatives to Google Groups with more features?
you know you all for daily. 	7		Email Google Form daily?
tonight or around and as c. r. o. t. c. l. a. data from tomorrow. 	3		How can I export track.scrobble data from last.fm?
the zooms eighty miles members sent to us and so for me not to raiders and filter. 	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
is are these male faster in juvenile. 	4		Discarding spam mail faster in Gmail
are there any good deal for you to call her the news. 	5		Are there any good Veoh or Youtube alternatives?
all her in his letter. 	5		Alternatives to Twitter
do i go to the deal. 	2		How do I download a YouTube video?
he's the royals and do you know i had him. 	4		Stopping spam emails in Gmail by pattern
not permanently really why why is this a home. 	1		How can I permanently delete my MySpace account?
how is a really hard as homes. 	1		How to disable/delete a Harvest account?
why can't a change my password and lock it was high. 	0		Why can't I change my password and login with Skype?
alternatives for two or in their lives android synchronizing. 	5		Alternatives for Google Reader (with Android synchronizing)
do i really loyal rules no. 	1		How do I delete my Ohloh profile?
no i really my liver or tones. 	1		How can I delete my Twitter account?
for leon and to firings messages. 	4		Correctly Identifying Spam Messages
do i really like to manila tones. 	1		How do I delete my Gmail account?
totally lie trees and to do my own homes. 	4		Totally Blocking Spam To Gmail Account
later and a whole flows. 	4		Twitter and Echofon spam
do i say it's my password and t. for us. 	0		How do I change my password on TV Tropes?
you know our son grow our series difference. 	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
do you not registration by us or alternative that doesn't so. 	5		Bugmenot (registration bypasser) alternative that doesn't suck?
do i see my ruin her were then you'll lose two calendar. 	6		How do I sync my RunKeeper workout schedule with Google Calender?
saying so to live in new zealand calls window. 	7		Change subject line in new Gmail compose window
do i really smiling to calm. 	1		How do I delete my LinkedIn account?
tonight why you are ill tools to law. 	3		How can I backup my wordpress.com hosted blog?
you will sir since no turner is. 	5		Google search engine alternatives
