sentence	label	missing	target
팬텀 2512 W 레이저 프린터를 설치하려면 어떻게해야합니까?	1		Ubuntu에 Pantum 2502W 레이저 프린터를 설치하려면 어떻게해야합니까?
내 화면을 녹화하는 방법.	4		내 화면을 녹화하는 방법?
Uber에 어떤 그래픽 유틸리티를 사용할 수 있습니까?	2		Ubuntu 자동 종료에 사용할 수있는 그래픽 유틸리티는 무엇입니까?
Tenaya Naples에게 전화를 걸어 자세한 내용을 종료했습니다.	2		종료 상세 정보를 활성화하려면 어떻게해야합니까?
운동 후 컴퓨터를 종료하는 방법.	2		Xsession이 종료 된 후 컴퓨터를 종료하는 방법은 무엇입니까?
2011 년에 사용할 수있는 새로운 게임	3		2011 년에 Ubuntu에서 사용할 수있는 새로운 게임은 무엇입니까?
암호 생성기를 추천 해 주시겠습니까?	3		암호 생성기를 추천 할 수 있습니까?
Laura Mae 수준의 스크린 샷.	3		어떤 스크린 샷 도구를 사용할 수 있습니까?
Konica Minolta 200 용 드라이버를 설치하려면 어떻게해야합니까?	1		Konica Minolta 200 용 드라이버는 어떻게 설치합니까?
Uber에서 HP 프린터 스캐너를 설정하는 방법.	1		우분투에서 HP 프린터 / 스캐너를 설정하는 방법은 무엇입니까?
14.04 LTS에서 Canon LBP 2900 프린터를 설치하는 방법.	1		14.04 LTS에 Canon LBP2900B 프린터를 설치하는 방법은 무엇입니까? LBP2900에 대한 방법을 시도했지만 작동하지 않았습니다.
apres 12.04 2.10 사용.	0		시동 디스크를 사용하여 12.04를 12.10으로 업그레이드
PDF를 강조 표시하거나 주석을 달 수 있습니다.	4		PDF를 강조 표시하거나 주석을 달 수 있습니까?
임베디드 이미지 추출 Brahma PDF.	3		PDF에서 포함 된 이미지 추출
Canon mp560 우분투 15.04를 설치하십시오.	1		Canon MP560 Ubuntu 15.04 설치
apres 12.04 64 비트.	0		12.04 64 비트로 업그레이드
Uber 용 온라인 계산기.	3		Ubuntu 용 명령 줄 계산기가 있습니까?
무엇을 빨리 잘라 오디오 비디오를했습니다.	3		오디오 / 비디오를 빠르게 자르기 위해 사용하는 것
HTC 4140을 어떻게 설정합니까?	1		HP C4140 프린터를 무선으로 설정하려면 어떻게합니까?
Ubuntu 9.10을 12.109로 업그레이드하는 방법.	0		터미널을 통해 Ubuntu 9.10을 12.10으로 업그레이드하는 방법은 무엇입니까?
좋은 마음을 환영합니다 ..	3		좋은 MongoDB GUI 클라이언트는 무엇입니까?
종료 문제를 어떻게 해결합니까?	2		종료 문제를 어떻게 해결합니까?
Mobi 파일을 읽는 응용 프로그램이 있습니까?	3		mobi 파일을 읽기위한 응용 프로그램이 있습니까?
Brother MFC 설치 방법-5890 CNA 순 가치.	1		Brother MFC-5890CN 네트워크 프린터를 설치하는 방법은 무엇입니까?
수술실 Ubuntu 14.04 ~ 15.04.	0		Ubuntu 14.04에서 15.04로 업그레이드
Ubuntu 16.04에서 종료 문제.	2		Ubuntu 16.04의 종료 문제
세금 요청없이 종료됩니다.	2		추가 질문없이 종료
IRC 클라이언트를 사용할 수 있습니다.	3		어떤 IRC 클라이언트를 사용할 수 있습니까?
특정 시간 후에 시스템을 자동으로 종료하려면 어떻게해야합니까?	2		특정 시간이 지나면 시스템을 자동으로 종료하려면 어떻게해야합니까?
종료 할 키보드 단축키가 있습니까?	2		종료 할 수있는 키보드 단축키가 있습니까?
12.04 Hellcat 04를 업그레이드 할 가치가 있습니까?	0		12.04 LTS에서 13.04로 업그레이드 할 가치가 있습니까?
주황색은 명령 줄을 위해 비행합니다.	4		명령 줄용 토렌트 클라이언트?
MySQL GUI 도구.	3		MySQL GUI 도구
