sentence	label	missing	target
I want to hear the song The Rock is. 	3		I want to hear some The Roches
Victorian essay for star. 	4		Rate the current essay 4 stars
regulatory Chronicles. 	4		rate the current chronicle five stars
play in October yellow playlist. 	3		Play Noctámbulo playlist
play if he runs wild and Moselle 419. 	3		Play ep from Quasimoto from the nineties
Red Room forever Raven truly Royal coins. 	4		rate Girls Forever Brave and True zero points
Jonathan Aaron from IND Electronics playlist. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top 24 x movement music by Mohammad Reza lotfi. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
find the oil in the pan. 	5		Find The Boys in the Band.
 	1		at 4 am book a bar in the spa in Shamrock for eight
the table for me is my nephew leaving my location. 	1		Book me a table for me and my nephew near my location at an indoor pub
play some 90s music on. 	3		Play some nineties music on Zvooq
show me half a life. 	5		Show me Half a Life
read the princess lost my tail infinitely what I'm saying. 	4		rate The Princess Mouse: A Tale of Finland one of 6
find film at Magic Johnson theater. 	6		find films at Magic Johnson Theatres
is there any hail in Monterey Bay National Marine sanctuary. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
r a c i a World Factbook 500 them fixed. 	4		Rate CIA World Factbook five out of 6 stars
what will the weather be closed by the current position. 	2		What will the weather by close by the current position at 02:02:30?
Find me the movie schedule at Fox Theater. 	6		Find me the movie schedules at Fox Theatres
is the weather going to be colder in G-Unit. 	2		Is the weather going to be colder in GU in 11 years 
where can I watch the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
Brenda K Starr recovery strand. 	0		add artist brenda k starr to frescura indie
The Voyage of the Dawn Treader. 	4		The Voyage of the Dawn Treader deserves 5 points.
look for the novel behind closed doors. 	5		Look for the novel Behind closed doors
will it be warmer in the vanities no it's okay hun. 	2		Will it be warmer in Minidoka OK on good friday?
storybook everyone coins. 	4		This current book deserves 1 points
I want more of round Cecilia and the rocks and Vibes playlist. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule in my lawn go around nearest movie house at 5 a.m.. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
add another song cuz it's either Romantica playlist. 	0		Add another song to the Cita Romántica playlist. 
I want to hear some psychedelic Rock. 	3		I want to hear some psychedelic rock
will it be foggy. 	2		Will it be foggy here?
play some eighties moving music. 	3		Play some eighties movement music
I want to watch the original recording. 	5		I want to watch The Original Recordings
finding Ali family. 	5		find Phinally Phamous
show movie time now. 	6		show movie times now
future hits playlist. 	0		Add the fire and the wind to my Digster Future Hits playlist.
I need a reservation for restaurant do they serve the cupcakes in it. 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by Gladys Knight. 	3		Play the newest music by Gladys Knight
find searing Alyssa society for American music. 	5		find Journal of the Society for American Music
 	4		rate the book The Devil in Velvet 4 out of 6 points
using the current object ask for for the textbook call themselves. 	4		using stars the current object gets four for the textbook out of 6
I need a reservation for the berghoff in Jamaica and 18 seconds. 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
find a foolish. 	5		Find Ek Boond Ishq.
play some music. 	3		Play some music by Mutlu
show creativity am accident analysis and prevention. 	5		show creativity of Accident Analysis & Prevention
greatly philosophic sarcomere + 3 + 6 *. 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
stabilizer bar in Micronesia. 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
where do I play the video game in the wild. 	5		Where do I play the video game The Wild Geese?
find Resurrection of evil. 	5		Find Resurrection of Evil.
this horrible s 8.0 Oldham sex. 	4		this horrible essay gets zero out of 6 stars
show me URL. 	5		Show me KurdishMedia.com
highly rated fire in Burkina for Georgia. 	1		book a highly rated bar in Burkina for georgia and I
when is Gronk playing at Flix theater. 	6		When is Twentynine Palms playing at Plitt Theatres?
play the new soundtrack by Benjamin Tower Bill Hungary. 	3		play a new soundtrack by Benjamin Darvill on Groove Shark
restaurant for lease Illinois. 	1		Need book a restaurant for this Autumn in Illinois
I just had the wrong house can I find playlist. 	0		Add Rattus at the Roundhouse to my funk playlist.
let me know what animated movies are playing around here. 	6		Let me know what animated movies are playing around here.
regulatory Chronicles series 4 out of 6 points. 	4		rate the current chronicle series 4 out of 6 points
play me a 1957. 	3		Play me a 1957 ep
what's the forecast for little Salem. 	2		What's the forecast for Little Silver
okay through the river of Fire. 	4		rate the book A Girl, a Man, and a River a five
find the American Journal of sports medicine pictures. 	5		Find the American Journal of Sports Medicine picture
what animated movies are playing nearby right now. 	6		What animated movies are playing nearby right now?
fine stay then Mexico. 	5		Find Stays in Mexico.
could distract from The Edge on MiFi seoul disco playlist. 	0		Put this track from The Edge on my funk soul disco playlist
play sunset at Lakeview. 	3		Play some psychadelic music.
hardyston IND atronic playlist. 	0		add the artist to my indietronic playlist
please look up two more years on crack. 	5		Please look up Two More Years soundtrack.
tell me the weather forecast for France. 	2		Tell me the weather forecast for France
give me a reservation at the highly rated is Tavern in hornersville. 	1		book me a reservation at a highly rated tavern in Hornersville
what's in the forecast for freezing weather here. 	2		what is the forecast for freezing weather here
find Regal Entertainment Group animated movies. 	6		find Regal Entertainment Group animated movies
play the video game list. 	5		play the video game The Sparrow
I'd like a table for six in 9 weeks at a restaurant can talk hello. 	1		I'd like a table for six in nine weeks at a restaurant in Tokelau
find the crowd Roar. 	5		find the book The Crowd Roars
what is the weather looking like in Prosser on February 18th. 	2		What is the weather looking like in Prosser on feb. the 18th?
add Robyn Hitchcock to my romantic evening playlist. 	0		add robyn hitchcock to my romantic evening playlist
find the schedule for the nightmare 6 hours from now add the nearest cinema. 	6		Find the schedule for The Nightmare six hours from now at the nearest cinema.
find the best man holiday soccer. 	5		Find The Best Man Holiday saga
seriously as well as within the same area of New York. 	1		book a spot for nine at a top-rated brasserie that has swiss within the same area of New York
please find novel it was not. 	5		Please find the novel, Good Doctor
play some music from Victor coulanges. 	3		Play some music from Victor Kunonga.
