sentence	label	missing	target
want to come to you. 	3		I want to hear some The Roches
make a comment post on. 	4		Rate the current essay 4 stars
rate the current chronicle five stars. 	4		rate the current chronicle five stars
play some dj playlist. 	3		Play Noctámbulo playlist
select from plane from the nineties. 	3		Play ep from Quasimoto from the nineties
rate girls forever brave and true zero points. 	4		rate Girls Forever Brave and True zero points
good eight. 	0		Add Jonathan Arons to my Indie Electronics playlist
play top-twenty fourties movement music. 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
is the boys is about you. 	5		Find The Boys in the Band.
i am book a bar in the spa in shamrock for eight. 	1		at 4 am book a bar in the spa in Shamrock for eight
book me a table for me and my nephew near my location. 	1		Book me a table for me and my nephew near my location at an indoor pub
play some eighties music on zvooq. 	3		Play some nineties music on Zvooq
show me off at life. 	5		Show me Half a Life
rate the princess mouse in finland one of six. 	4		rate The Princess Mouse: A Tale of Finland one of 6
i feel not. 	6		find films at Magic Johnson Theatres
randi ka. 	2		Is there any hail in Monterey Bay National Marine Sanctuary
rate CIA world out of six stars. 	4		Rate CIA World Factbook five out of 6 stars
what will the weather by close by the current position though. 	2		What will the weather by close by the current position at 02:02:30?
find me a movie schedules at fox theatres. 	6		Find me the movie schedules at Fox Theatres
what's the weather going to be able to do you deliver here. 	2		Is the weather going to be colder in GU in 11 years 
where can i watch the trailer for home economics. 	5		Where can I watch the trailer for Home Economics
brenda k starr to frescura indie. 	0		add artist brenda k starr to frescura indie
i don't deserve. 	4		The Voyage of the Dawn Treader deserves 5 points.
look for the novel behind closed doors. 	5		Look for the novel Behind closed doors
what will be the light. 	2		Will it be warmer in Minidoka OK on good friday?
book deserves one points. 	4		This current book deserves 1 points
i want more francis healy in the rockin' vibes playlist. 	0		I want more francis healy in the Rockin' Vibes playlist. 
show me the schedule of outlaw of gor at nearest movie house. 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
please help me search the TV series a mouse divided. 	5		Please help me search the TV series A Mouse Divided.
another song to the cita romántica playlist. 	0		Add another song to the Cita Romántica playlist. 
want to hear some psychedelic rock. 	3		I want to hear some psychedelic rock
will it be foggy here. 	2		Will it be foggy here?
play some eighties movement music. 	3		Play some eighties movement music
want to watch the original recordings. 	5		I want to watch The Original Recordings
i am feeling much. 	5		find Phinally Phamous
show movie times out. 	6		show movie times now
i will leave it slightly. 	0		Add the fire and the wind to my Digster Future Hits playlist.
i need a reservation for a restaurant. 	1		I need a reservation for a restaurant that serves cupcakes in OH
play the newest music by gladys knight. 	3		Play the newest music by Gladys Knight
i don't i wouldn't be continued. 	5		find Journal of the Society for American Music
rate the book the devil in velvet four out of six. 	4		rate the book The Devil in Velvet 4 out of 6 points
yo on. 	4		using stars the current object gets four for the textbook out of 6
