sentence	label	missing	target
how can I get from. 	1		how can i get from garching forschungszentrum to kurt-eisner-straße?
 	1		i want to travel from garching to odeonsplatz?
show me the next bus from garching. 	0		show me the next bus from garching!
 	1		can you find a bus from quiddestraße to lehel?
when is the next. 	0		when is the next u6?
 	1		how can i get from garching to garching?
what's the shortest connection between. 	1		what's the shortest connection between quiddestraße and odeonsplatz?
is there a bus from. 	1		is there a bus from garching to moosach at around 5?
connection from Harrah's to call Trace. 	1		i need a connection from harras to karl-preis-platz at 8 am.
 	1		i need to be in garching at 9
when does the next train leave from garching forschungszentrum. 	0		when does the next train leave from garching forschungszentrum
how can I get from. 	1		how can i get from garching to milbertshofen?
can I take a bus from. 	1		can i take a bus from quiddestraße to hauptbahnhof?
could you give me the fastest connection between. 	1		could you give me the fastest connection between brudermühlstraße and alte heide?
when does the next bus leave from house Pinetop. 	0		when does the next bus leaves from hauptbahnhof?
 	1		how to get from bonnerplatz to freimann
how can I get from Newport as fast as possible. 	1		how can i get from neuperlach zentrum to karlsplatz as fast as possible?
connection. 	1		can you find a connection from olympiazentrum to lehel at 2 pm?
 	1		how can i get to quiddestraße?
how to get from. 	1		how to get from garching to perlach?
show me the next bus from my clay bad. 	0		show me the next bus from michaelibad.
how can I get from. 	1		how can i get from garching to münchner freiheit as fast as possible?
when is the next. 	0		when does the next subway departes from odeonsplatz?
when is the. 	0		when is the bus from quiddestraße?
when is the next train from darting. 	0		when is the next train from garching
 	1		how can i get to milbertshofen from garching?
when does the next train leave. 	0		when does the next train leaves?
 	1		how to get from untere strassäcker 21 to frötmaning
 	1		how can i get to boltzmannstraße from quiddestraße?
when is the train leaving. 	0		when is the train leaving in garching?
can you search. 	1		in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?
how can I get from guards. 	1		how can i get from garching, forschungszentrum to odeonsplatz?
when does the next bus leave the Tantrum. 	0		when does the next bus leaves at garching forschungszentrum?
how do I get from Olympia. 	1		how do i get from olympia einkaufszentrum to hauptbahnhof?
is there a train from Newport at 3 p.m.. 	1		is there a train from neuperlach zentrum to garching at 3 pm?
how can I get from Centrum. 	1		how can i get from mossach to garching forschungszentrum?
when is the next subway leaving from. 	0		when is the next subway leaving from garching?
next connection. 	1		what is the next connection from garching forschungszentrum to odeonsplatz?
when does the next bus leave at romance watch. 	0		when does the next bus leaves at romanplatz?
when does the next bus leave. 	0		when does the next bus leave in garching?
