sentence	label	missing	target
 	3		I want to hear some The Roches
 	4		Rate the current essay 4 stars
 	4		rate the current chronicle five stars
 	3		Play Noctámbulo playlist
 	3		Play ep from Quasimoto from the nineties
 	4		rate Girls Forever Brave and True zero points
 	0		Add Jonathan Arons to my Indie Electronics playlist
 	3		Play top-twenty fourties movement music by Mohammad Reza Lotfi.
 	5		Find The Boys in the Band.
 	1		at 4 am book a bar in the spa in Shamrock for eight
 	1		Book me a table for me and my nephew near my location at an indoor pub
 	3		Play some nineties music on Zvooq
 	5		Show me Half a Life
 	4		rate The Princess Mouse: A Tale of Finland one of 6
 	6		find films at Magic Johnson Theatres
 	2		Is there any hail in Monterey Bay National Marine Sanctuary
 	4		Rate CIA World Factbook five out of 6 stars
 	2		What will the weather by close by the current position at 02:02:30?
 	6		Find me the movie schedules at Fox Theatres
 	2		Is the weather going to be colder in GU in 11 years 
 	5		Where can I watch the trailer for Home Economics
 	0		add artist brenda k starr to frescura indie
 	4		The Voyage of the Dawn Treader deserves 5 points.
 	5		Look for the novel Behind closed doors
 	2		Will it be warmer in Minidoka OK on good friday?
 	4		This current book deserves 1 points
 	0		I want more francis healy in the Rockin' Vibes playlist. 
 	6		show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.
 	5		Please help me search the TV series A Mouse Divided.
 	0		Add another song to the Cita Romántica playlist. 
 	3		I want to hear some psychedelic rock
 	2		Will it be foggy here?
 	3		Play some eighties movement music
 	5		I want to watch The Original Recordings
 	5		find Phinally Phamous
 	6		show movie times now
 	0		Add the fire and the wind to my Digster Future Hits playlist.
 	1		I need a reservation for a restaurant that serves cupcakes in OH
 	3		Play the newest music by Gladys Knight
 	5		find Journal of the Society for American Music
 	4		rate the book The Devil in Velvet 4 out of 6 points
 	4		using stars the current object gets four for the textbook out of 6
 	1		I need a reservation for The Berghoff in Jamaica in 18 seconds
 	5		Find Ek Boond Ishq.
 	3		Play some music by Mutlu
 	5		show creativity of Accident Analysis & Prevention
 	4		Rate The Philosophic Thought of Ayn Rand three of 6 stars
 	1		I need to book a table at a bar in Micronesia for tia, madeline and estela
