sentence	label	missing	target
alternatives for Canada. 	5		Mint alternatives for Canada
how can I sync my Yahoo calendar with Google Calendar. 	6		How can I sync my Yahoo! Calendar with Google Calendar?
how do I delete my ex. 	1		How do I delete my Experts Exchange account?
Google Groups with more features. 	5		Alternatives to Google Groups with more features?
Bailey. 	7		Email Google Form daily?
how can I export data from you. 	3		How can I export track.scrobble data from last.fm?
does using Gmail never send it to spam. 	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
Gmail. 	4		Discarding spam mail faster in Gmail
 	5		Are there any good Veoh or Youtube alternatives?
alternative to Twitter. 	5		Alternatives to Twitter
how do I download a YouTube video. 	2		How do I download a YouTube video?
stopping spam emails in Gmail. 	4		Stopping spam emails in Gmail by pattern
can I permanently delete my MySpace account. 	1		How can I permanently delete my MySpace account?
disable delete Harvest account. 	1		How to disable/delete a Harvest account?
 	0		Why can't I change my password and login with Skype?
alternatives for Google Android synchronizing. 	5		Alternatives for Google Reader (with Android synchronizing)
how do I delete my profile. 	1		How do I delete my Ohloh profile?
how can I delete my Twitter account. 	1		How can I delete my Twitter account?
correctly identify messages. 	4		Correctly Identifying Spam Messages
how do I delete my Gmail account. 	1		How do I delete my Gmail account?
totally blocking spam. 	4		Totally Blocking Spam To Gmail Account
 	4		Twitter and Echofon spam
how do I change my password on TV tropes. 	0		How do I change my password on TV Tropes?
Google bookmarks and Chrome bookmarks. 	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
registration by Pastor alternative. 	5		Bugmenot (registration bypasser) alternative that doesn't suck?
how do I sync my calendar. 	6		How do I sync my RunKeeper workout schedule with Google Calender?
change Gmail. 	7		Change subject line in new Gmail compose window
how do I delete my account. 	1		How do I delete my LinkedIn account?
URL. 	3		How can I backup my wordpress.com hosted blog?
Google search alternative. 	5		Google search engine alternatives
Mint alternatives for Canada	5		Mint alternatives for Canada
How can I sync my Yahoo! Calendar with Google Calendar?	6		How can I sync my Yahoo! Calendar with Google Calendar?
How do I delete my Experts Exchange account?	1		How do I delete my Experts Exchange account?
Alternatives to Google Groups with more features?	5		Alternatives to Google Groups with more features?
Email Google Form daily?	7		Email Google Form daily?
How can I export track.scrobble data from last.fm?	3		How can I export track.scrobble data from last.fm?
"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
Discarding spam mail faster in Gmail	4		Discarding spam mail faster in Gmail
Are there any good Veoh or Youtube alternatives?	5		Are there any good Veoh or Youtube alternatives?
Alternatives to Twitter	5		Alternatives to Twitter
How do I download a YouTube video?	2		How do I download a YouTube video?
Stopping spam emails in Gmail by pattern	4		Stopping spam emails in Gmail by pattern
How can I permanently delete my MySpace account?	1		How can I permanently delete my MySpace account?
How to disable/delete a Harvest account?	1		How to disable/delete a Harvest account?
Why can't I change my password and login with Skype?	0		Why can't I change my password and login with Skype?
Alternatives for Google Reader (with Android synchronizing)	5		Alternatives for Google Reader (with Android synchronizing)
How do I delete my Ohloh profile?	1		How do I delete my Ohloh profile?
How can I delete my Twitter account?	1		How can I delete my Twitter account?
Correctly Identifying Spam Messages	4		Correctly Identifying Spam Messages
How do I delete my Gmail account?	1		How do I delete my Gmail account?
Totally Blocking Spam To Gmail Account	4		Totally Blocking Spam To Gmail Account
Twitter and Echofon spam	4		Twitter and Echofon spam
How do I change my password on TV Tropes?	0		How do I change my password on TV Tropes?
Google Bookmarks and Chrome Bookmark Sync -- Different?	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
Bugmenot (registration bypasser) alternative that doesn't suck?	5		Bugmenot (registration bypasser) alternative that doesn't suck?
How do I sync my RunKeeper workout schedule with Google Calender?	6		How do I sync my RunKeeper workout schedule with Google Calender?
Change subject line in new Gmail compose window	7		Change subject line in new Gmail compose window
How do I delete my LinkedIn account?	1		How do I delete my LinkedIn account?
How can I backup my wordpress.com hosted blog?	3		How can I backup my wordpress.com hosted blog?
Google search engine alternatives	5		Google search engine alternatives
